Country,Date,search_index
Russia,2020-01-26,41.0
Russia,2020-02-02,42.0
Russia,2020-02-09,41.0
Russia,2020-02-16,38.0
Russia,2020-02-23,42.0
Russia,2020-03-01,40.0
Russia,2020-03-08,45.0
Russia,2020-03-15,42.0
Russia,2020-03-22,29.0
Russia,2020-03-29,31.0
Russia,2020-04-05,29.0
Russia,2020-04-12,29.0
Russia,2020-04-19,31.0
Russia,2020-04-26,24.0
Russia,2020-05-03,32.0
Russia,2020-05-10,33.0
Russia,2020-05-17,30.0
Russia,2020-05-24,33.0
Russia,2020-05-31,36.0
Russia,2020-06-07,30.0
Russia,2020-06-14,29.0
Russia,2020-06-21,28.0
Russia,2020-06-28,32.0
Russia,2020-07-05,34.0
Russia,2020-07-12,39.0
Russia,2020-07-19,29.0
Russia,2020-07-26,40.0
Russia,2020-08-02,38.0
Russia,2020-08-09,40.0
Russia,2020-08-16,100.0
Russia,2020-08-23,76.0
Russia,2020-08-30,50.0
Russia,2020-09-06,37.0
Russia,2020-09-13,35.0
Russia,2020-09-20,38.0
Russia,2020-09-27,28.0
Russia,2020-10-04,33.0
Russia,2020-10-11,34.0
Russia,2020-10-18,29.0
Russia,2020-10-25,33.0
Russia,2020-11-01,28.0
Russia,2020-11-08,28.0
Russia,2020-11-15,31.0
Russia,2020-11-22,34.0
Russia,2020-11-29,36.0
Russia,2020-12-06,27.0
Russia,2020-12-13,33.0
Russia,2020-12-20,25.0
Russia,2020-12-27,34.0
Russia,2021-01-03,33.0
Russia,2021-01-10,33.0
Russia,2021-01-17,32.0
Russia,2021-01-24,32.0
Russia,2021-01-31,33.0
Russia,2021-02-07,29.0
Russia,2021-02-14,32.0
Russia,2021-02-21,31.0
Russia,2021-02-28,31.0
Russia,2021-03-07,29.0
Russia,2021-03-14,31.0
Russia,2021-03-21,30.0
Russia,2021-03-28,33.0
Russia,2021-04-04,28.0
Russia,2021-04-11,33.0
Russia,2021-04-18,31.0
Russia,2021-04-25,33.0
Russia,2021-05-02,35.0
Russia,2021-05-09,27.0
Russia,2021-05-16,34.0
Russia,2021-05-23,34.0
Russia,2021-05-30,38.0
Russia,2021-06-06,36.0
Russia,2021-06-13,41.0
Russia,2021-06-20,34.0
Russia,2021-06-27,42.0
Russia,2021-07-04,42.0
Russia,2021-07-11,47.0
Russia,2021-07-18,47.0
Russia,2021-07-25,49.0
Russia,2021-08-01,44.0
Russia,2021-08-08,45.0
Russia,2021-08-15,48.0
Russia,2021-08-22,44.0
Russia,2021-08-29,35.0
Russia,2021-09-05,44.0
Russia,2021-09-12,38.0
Russia,2021-09-19,34.0
Russia,2021-09-26,34.0
Russia,2021-10-03,33.0
Russia,2021-10-10,31.0
Russia,2021-10-17,36.0
Russia,2021-10-24,33.0
Russia,2021-10-31,30.0
Russia,2021-11-07,24.0
Russia,2021-11-14,32.0
Russia,2021-11-21,33.0
Russia,2021-11-28,47.0
Russia,2021-12-05,54.0
Russia,2021-12-12,52.0
Russia,2021-12-19,46.0
Russia,2021-12-26,57.0
Russia,2022-01-02,59.0
Russia,2022-01-09,49.0
Russia,2022-01-16,42.0
Russia,2022-01-23,54.0
Russia,2022-01-30,47.0
Russia,2022-02-06,48.0
Russia,2022-02-13,50.0
Russia,2022-02-20,66.0
Russia,2022-02-27,69.0
Russia,2022-03-06,53.0
Russia,2022-03-13,49.0
Russia,2022-03-20,42.0
Russia,2022-03-27,51.0
Russia,2022-04-03,50.0
Russia,2022-04-10,53.0
