Country,Date,search_index
Spain,2020-01-26,31.0
Spain,2020-02-02,59.0
Spain,2020-02-09,83.0
Spain,2020-02-16,74.0
Spain,2020-02-23,67.0
Spain,2020-03-01,43.0
Spain,2020-03-08,81.0
Spain,2020-03-15,100.0
Spain,2020-03-22,23.0
Spain,2020-03-29,9.0
Spain,2020-04-05,11.0
Spain,2020-04-12,9.0
Spain,2020-04-19,8.0
Spain,2020-04-26,15.0
Spain,2020-05-03,12.0
Spain,2020-05-10,8.0
Spain,2020-05-17,7.0
Spain,2020-05-24,4.0
Spain,2020-05-31,6.0
Spain,2020-06-07,4.0
Spain,2020-06-14,8.0
Spain,2020-06-21,16.0
Spain,2020-06-28,14.0
Spain,2020-07-05,15.0
Spain,2020-07-12,19.0
Spain,2020-07-19,30.0
Spain,2020-07-26,41.0
Spain,2020-08-02,24.0
Spain,2020-08-09,26.0
Spain,2020-08-16,15.0
Spain,2020-08-23,20.0
Spain,2020-08-30,15.0
Spain,2020-09-06,8.0
Spain,2020-09-13,11.0
Spain,2020-09-20,10.0
Spain,2020-09-27,16.0
Spain,2020-10-04,12.0
Spain,2020-10-11,12.0
Spain,2020-10-18,14.0
Spain,2020-10-25,16.0
Spain,2020-11-01,23.0
Spain,2020-11-08,11.0
Spain,2020-11-15,12.0
Spain,2020-11-22,14.0
Spain,2020-11-29,10.0
Spain,2020-12-06,9.0
Spain,2020-12-13,17.0
Spain,2020-12-20,21.0
Spain,2020-12-27,17.0
Spain,2021-01-03,14.0
Spain,2021-01-10,19.0
Spain,2021-01-17,11.0
Spain,2021-01-24,11.0
Spain,2021-01-31,8.0
Spain,2021-02-07,15.0
Spain,2021-02-14,13.0
Spain,2021-02-21,5.0
Spain,2021-02-28,10.0
Spain,2021-03-07,3.0
Spain,2021-03-14,11.0
Spain,2021-03-21,12.0
Spain,2021-03-28,10.0
Spain,2021-04-04,3.0
Spain,2021-04-11,14.0
Spain,2021-04-18,13.0
Spain,2021-04-25,5.0
Spain,2021-05-02,6.0
Spain,2021-05-09,7.0
Spain,2021-05-16,14.0
Spain,2021-05-23,14.0
Spain,2021-05-30,21.0
Spain,2021-06-06,17.0
Spain,2021-06-13,15.0
Spain,2021-06-20,23.0
Spain,2021-06-27,30.0
Spain,2021-07-04,25.0
Spain,2021-07-11,38.0
Spain,2021-07-18,53.0
Spain,2021-07-25,35.0
Spain,2021-08-01,52.0
Spain,2021-08-08,57.0
Spain,2021-08-15,47.0
Spain,2021-08-22,33.0
Spain,2021-08-29,32.0
Spain,2021-09-05,44.0
Spain,2021-09-12,40.0
Spain,2021-09-19,43.0
Spain,2021-09-26,43.0
Spain,2021-10-03,42.0
Spain,2021-10-10,35.0
Spain,2021-10-17,37.0
Spain,2021-10-24,49.0
Spain,2021-10-31,38.0
Spain,2021-11-07,34.0
Spain,2021-11-14,31.0
Spain,2021-11-21,35.0
Spain,2021-11-28,39.0
Spain,2021-12-05,37.0
Spain,2021-12-12,37.0
Spain,2021-12-19,33.0
Spain,2021-12-26,50.0
Spain,2022-01-02,51.0
Spain,2022-01-09,17.0
Spain,2022-01-16,37.0
Spain,2022-01-23,26.0
Spain,2022-01-30,40.0
Spain,2022-02-06,32.0
Spain,2022-02-13,62.0
Spain,2022-02-20,66.0
Spain,2022-02-27,44.0
Spain,2022-03-06,36.0
Spain,2022-03-13,64.0
Spain,2022-03-20,48.0
Spain,2022-03-27,63.0
Spain,2022-04-03,70.0
Spain,2022-04-10,65.0
