Country,Date,search_index
Turkey,2020-01-26,47.0
Turkey,2020-02-02,73.0
Turkey,2020-02-09,81.0
Turkey,2020-02-16,50.0
Turkey,2020-02-23,54.0
Turkey,2020-03-01,36.0
Turkey,2020-03-08,54.0
Turkey,2020-03-15,41.0
Turkey,2020-03-22,15.0
Turkey,2020-03-29,12.0
Turkey,2020-04-05,7.0
Turkey,2020-04-12,8.0
Turkey,2020-04-19,18.0
Turkey,2020-04-26,6.0
Turkey,2020-05-03,6.0
Turkey,2020-05-10,4.0
Turkey,2020-05-17,9.0
Turkey,2020-05-24,6.0
Turkey,2020-05-31,10.0
Turkey,2020-06-07,16.0
Turkey,2020-06-14,15.0
Turkey,2020-06-21,18.0
Turkey,2020-06-28,27.0
Turkey,2020-07-05,18.0
Turkey,2020-07-12,22.0
Turkey,2020-07-19,22.0
Turkey,2020-07-26,17.0
Turkey,2020-08-02,35.0
Turkey,2020-08-09,23.0
Turkey,2020-08-16,33.0
Turkey,2020-08-23,24.0
Turkey,2020-08-30,30.0
Turkey,2020-09-06,21.0
Turkey,2020-09-13,17.0
Turkey,2020-09-20,27.0
Turkey,2020-09-27,27.0
Turkey,2020-10-04,24.0
Turkey,2020-10-11,16.0
Turkey,2020-10-18,15.0
Turkey,2020-10-25,16.0
Turkey,2020-11-01,14.0
Turkey,2020-11-08,12.0
Turkey,2020-11-15,18.0
Turkey,2020-11-22,10.0
Turkey,2020-11-29,14.0
Turkey,2020-12-06,9.0
Turkey,2020-12-13,13.0
Turkey,2020-12-20,11.0
Turkey,2020-12-27,11.0
Turkey,2021-01-03,16.0
Turkey,2021-01-10,17.0
Turkey,2021-01-17,35.0
Turkey,2021-01-24,30.0
Turkey,2021-01-31,28.0
Turkey,2021-02-07,15.0
Turkey,2021-02-14,33.0
Turkey,2021-02-21,17.0
Turkey,2021-02-28,21.0
Turkey,2021-03-07,21.0
Turkey,2021-03-14,20.0
Turkey,2021-03-21,31.0
Turkey,2021-03-28,15.0
Turkey,2021-04-04,26.0
Turkey,2021-04-11,15.0
Turkey,2021-04-18,17.0
Turkey,2021-04-25,12.0
Turkey,2021-05-02,11.0
Turkey,2021-05-09,10.0
Turkey,2021-05-16,26.0
Turkey,2021-05-23,21.0
Turkey,2021-05-30,22.0
Turkey,2021-06-06,23.0
Turkey,2021-06-13,35.0
Turkey,2021-06-20,28.0
Turkey,2021-06-27,45.0
Turkey,2021-07-04,45.0
Turkey,2021-07-11,52.0
Turkey,2021-07-18,73.0
Turkey,2021-07-25,58.0
Turkey,2021-08-01,61.0
Turkey,2021-08-08,49.0
Turkey,2021-08-15,47.0
Turkey,2021-08-22,51.0
Turkey,2021-08-29,42.0
Turkey,2021-09-05,41.0
Turkey,2021-09-12,30.0
Turkey,2021-09-19,44.0
Turkey,2021-09-26,44.0
Turkey,2021-10-03,42.0
Turkey,2021-10-10,32.0
Turkey,2021-10-17,36.0
Turkey,2021-10-24,32.0
Turkey,2021-10-31,42.0
Turkey,2021-11-07,34.0
Turkey,2021-11-14,26.0
Turkey,2021-11-21,23.0
Turkey,2021-11-28,47.0
Turkey,2021-12-05,21.0
Turkey,2021-12-12,38.0
Turkey,2021-12-19,36.0
Turkey,2021-12-26,31.0
Turkey,2022-01-02,30.0
Turkey,2022-01-09,37.0
Turkey,2022-01-16,56.0
Turkey,2022-01-23,100.0
Turkey,2022-01-30,46.0
Turkey,2022-02-06,43.0
Turkey,2022-02-13,32.0
Turkey,2022-02-20,46.0
Turkey,2022-02-27,34.0
Turkey,2022-03-06,63.0
Turkey,2022-03-13,68.0
Turkey,2022-03-20,43.0
Turkey,2022-03-27,41.0
Turkey,2022-04-03,35.0
Turkey,2022-04-10,37.0
