Country,Date,search_index
United Kingdom,2020-01-26,49.0
United Kingdom,2020-02-02,53.0
United Kingdom,2020-02-09,100.0
United Kingdom,2020-02-16,71.0
United Kingdom,2020-02-23,57.0
United Kingdom,2020-03-01,48.0
United Kingdom,2020-03-08,55.0
United Kingdom,2020-03-15,83.0
United Kingdom,2020-03-22,54.0
United Kingdom,2020-03-29,35.0
United Kingdom,2020-04-05,44.0
United Kingdom,2020-04-12,36.0
United Kingdom,2020-04-19,37.0
United Kingdom,2020-04-26,30.0
United Kingdom,2020-05-03,36.0
United Kingdom,2020-05-10,23.0
United Kingdom,2020-05-17,29.0
United Kingdom,2020-05-24,44.0
United Kingdom,2020-05-31,23.0
United Kingdom,2020-06-07,18.0
United Kingdom,2020-06-14,25.0
United Kingdom,2020-06-21,24.0
United Kingdom,2020-06-28,18.0
United Kingdom,2020-07-05,21.0
United Kingdom,2020-07-12,25.0
United Kingdom,2020-07-19,26.0
United Kingdom,2020-07-26,28.0
United Kingdom,2020-08-02,31.0
United Kingdom,2020-08-09,33.0
United Kingdom,2020-08-16,27.0
United Kingdom,2020-08-23,25.0
United Kingdom,2020-08-30,29.0
United Kingdom,2020-09-06,24.0
United Kingdom,2020-09-13,27.0
United Kingdom,2020-09-20,22.0
United Kingdom,2020-09-27,23.0
United Kingdom,2020-10-04,20.0
United Kingdom,2020-10-11,19.0
United Kingdom,2020-10-18,18.0
United Kingdom,2020-10-25,16.0
United Kingdom,2020-11-01,15.0
United Kingdom,2020-11-08,16.0
United Kingdom,2020-11-15,11.0
United Kingdom,2020-11-22,13.0
United Kingdom,2020-11-29,14.0
United Kingdom,2020-12-06,16.0
United Kingdom,2020-12-13,17.0
United Kingdom,2020-12-20,25.0
United Kingdom,2020-12-27,17.0
United Kingdom,2021-01-03,18.0
United Kingdom,2021-01-10,15.0
United Kingdom,2021-01-17,19.0
United Kingdom,2021-01-24,15.0
United Kingdom,2021-01-31,14.0
United Kingdom,2021-02-07,17.0
United Kingdom,2021-02-14,14.0
United Kingdom,2021-02-21,15.0
United Kingdom,2021-02-28,14.0
United Kingdom,2021-03-07,16.0
United Kingdom,2021-03-14,16.0
United Kingdom,2021-03-21,17.0
United Kingdom,2021-03-28,18.0
United Kingdom,2021-04-04,17.0
United Kingdom,2021-04-11,14.0
United Kingdom,2021-04-18,16.0
United Kingdom,2021-04-25,14.0
United Kingdom,2021-05-02,13.0
United Kingdom,2021-05-09,12.0
United Kingdom,2021-05-16,15.0
United Kingdom,2021-05-23,17.0
United Kingdom,2021-05-30,23.0
United Kingdom,2021-06-06,26.0
United Kingdom,2021-06-13,24.0
United Kingdom,2021-06-20,19.0
United Kingdom,2021-06-27,20.0
United Kingdom,2021-07-04,21.0
United Kingdom,2021-07-11,25.0
United Kingdom,2021-07-18,33.0
United Kingdom,2021-07-25,31.0
United Kingdom,2021-08-01,29.0
United Kingdom,2021-08-08,34.0
United Kingdom,2021-08-15,39.0
United Kingdom,2021-08-22,39.0
United Kingdom,2021-08-29,33.0
United Kingdom,2021-09-05,35.0
United Kingdom,2021-09-12,35.0
United Kingdom,2021-09-19,34.0
United Kingdom,2021-09-26,31.0
United Kingdom,2021-10-03,32.0
United Kingdom,2021-10-10,34.0
United Kingdom,2021-10-17,34.0
United Kingdom,2021-10-24,33.0
United Kingdom,2021-10-31,37.0
United Kingdom,2021-11-07,35.0
United Kingdom,2021-11-14,30.0
United Kingdom,2021-11-21,32.0
United Kingdom,2021-11-28,32.0
United Kingdom,2021-12-05,30.0
United Kingdom,2021-12-12,34.0
United Kingdom,2021-12-19,38.0
United Kingdom,2021-12-26,31.0
United Kingdom,2022-01-02,32.0
United Kingdom,2022-01-09,29.0
United Kingdom,2022-01-16,29.0
United Kingdom,2022-01-23,29.0
United Kingdom,2022-01-30,33.0
United Kingdom,2022-02-06,37.0
United Kingdom,2022-02-13,63.0
United Kingdom,2022-02-20,96.0
United Kingdom,2022-02-27,77.0
United Kingdom,2022-03-06,56.0
United Kingdom,2022-03-13,56.0
United Kingdom,2022-03-20,53.0
United Kingdom,2022-03-27,59.0
United Kingdom,2022-04-03,76.0
United Kingdom,2022-04-10,71.0
