Category: All categories

Week,covid: (Brazil)
2020-01-26,<1
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,1
2020-03-01,1
2020-03-08,4
2020-03-15,26
2020-03-22,34
2020-03-29,30
2020-04-05,31
2020-04-12,32
2020-04-19,33
2020-04-26,42
2020-05-03,42
2020-05-10,43
2020-05-17,45
2020-05-24,38
2020-05-31,39
2020-06-07,40
2020-06-14,39
2020-06-21,43
2020-06-28,36
2020-07-05,41
2020-07-12,39
2020-07-19,37
2020-07-26,34
2020-08-02,33
2020-08-09,31
2020-08-16,27
2020-08-23,25
2020-08-30,24
2020-09-06,23
2020-09-13,21
2020-09-20,21
2020-09-27,20
2020-10-04,19
2020-10-11,19
2020-10-18,19
2020-10-25,20
2020-11-01,18
2020-11-08,22
2020-11-15,26
2020-11-22,29
2020-11-29,35
2020-12-06,40
2020-12-13,39
2020-12-20,41
2020-12-27,41
2021-01-03,41
2021-01-10,42
2021-01-17,44
2021-01-24,35
2021-01-31,32
2021-02-07,29
2021-02-14,32
2021-02-21,43
2021-02-28,56
2021-03-07,60
2021-03-14,72
2021-03-21,79
2021-03-28,64
2021-04-04,57
2021-04-11,50
2021-04-18,45
2021-04-25,40
2021-05-02,48
2021-05-09,51
2021-05-16,52
2021-05-23,56
2021-05-30,56
2021-06-06,53
2021-06-13,54
2021-06-20,63
2021-06-27,43
2021-07-04,48
2021-07-11,44
2021-07-18,38
2021-07-25,32
2021-08-01,48
2021-08-08,40
2021-08-15,37
2021-08-22,31
2021-08-29,28
2021-09-05,23
2021-09-12,24
2021-09-19,22
2021-09-26,21
2021-10-03,19
2021-10-10,17
2021-10-17,17
2021-10-24,17
2021-10-31,16
2021-11-07,15
2021-11-14,15
2021-11-21,16
2021-11-28,17
2021-12-05,14
2021-12-12,15
2021-12-19,17
2021-12-26,22
2022-01-02,44
2022-01-09,60
2022-01-16,100
2022-01-23,54
2022-01-30,39
2022-02-06,26
2022-02-13,19
2022-02-20,15
2022-02-27,13
2022-03-06,12
2022-03-13,11
2022-03-20,10
2022-03-27,9
2022-04-03,9
2022-04-10,8
