类别：所有类别

周,covid: (加拿大)
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,2
2020-03-01,6
2020-03-08,31
2020-03-15,87
2020-03-22,90
2020-03-29,74
2020-04-05,62
2020-04-12,53
2020-04-19,45
2020-04-26,43
2020-05-03,40
2020-05-10,38
2020-05-17,34
2020-05-24,35
2020-05-31,30
2020-06-07,31
2020-06-14,29
2020-06-21,31
2020-06-28,31
2020-07-05,30
2020-07-12,34
2020-07-19,35
2020-07-26,34
2020-08-02,30
2020-08-09,30
2020-08-16,28
2020-08-23,26
2020-08-30,27
2020-09-06,31
2020-09-13,39
2020-09-20,44
2020-09-27,54
2020-10-04,49
2020-10-11,41
2020-10-18,36
2020-10-25,39
2020-11-01,34
2020-11-08,48
2020-11-15,55
2020-11-22,56
2020-11-29,48
2020-12-06,56
2020-12-13,52
2020-12-20,46
2020-12-27,44
2021-01-03,49
2021-01-10,50
2021-01-17,42
2021-01-24,39
2021-01-31,36
2021-02-07,35
2021-02-14,34
2021-02-21,37
2021-02-28,40
2021-03-07,42
2021-03-14,43
2021-03-21,47
2021-03-28,60
2021-04-04,72
2021-04-11,68
2021-04-18,71
2021-04-25,73
2021-05-02,68
2021-05-09,58
2021-05-16,54
2021-05-23,50
2021-05-30,51
2021-06-06,47
2021-06-13,48
2021-06-20,44
2021-06-27,36
2021-07-04,34
2021-07-11,31
2021-07-18,30
2021-07-25,32
2021-08-01,38
2021-08-08,35
2021-08-15,52
2021-08-22,44
2021-08-29,46
2021-09-05,37
2021-09-12,44
2021-09-19,42
2021-09-26,41
2021-10-03,38
2021-10-10,34
2021-10-17,33
2021-10-24,28
2021-10-31,28
2021-11-07,28
2021-11-14,27
2021-11-21,30
2021-11-28,34
2021-12-05,33
2021-12-12,66
2021-12-19,100
2021-12-26,87
2022-01-02,81
2022-01-09,56
2022-01-16,60
2022-01-23,35
2022-01-30,29
2022-02-06,27
2022-02-13,22
2022-02-20,18
2022-02-27,17
2022-03-06,17
2022-03-13,17
2022-03-20,17
2022-03-27,19
2022-04-03,22
2022-04-10,20
