Category: All categories

Week,COVID: (Israel)
2020-01-26,0
2020-02-02,0
2020-02-09,3
2020-02-16,4
2020-02-23,8
2020-03-01,16
2020-03-08,36
2020-03-15,47
2020-03-22,57
2020-03-29,54
2020-04-05,52
2020-04-12,49
2020-04-19,40
2020-04-26,38
2020-05-03,40
2020-05-10,36
2020-05-17,33
2020-05-24,35
2020-05-31,28
2020-06-07,28
2020-06-14,29
2020-06-21,38
2020-06-28,37
2020-07-05,44
2020-07-12,47
2020-07-19,38
2020-07-26,35
2020-08-02,33
2020-08-09,31
2020-08-16,32
2020-08-23,27
2020-08-30,36
2020-09-06,41
2020-09-13,42
2020-09-20,47
2020-09-27,47
2020-10-04,46
2020-10-11,38
2020-10-18,40
2020-10-25,36
2020-11-01,32
2020-11-08,36
2020-11-15,31
2020-11-22,30
2020-11-29,31
2020-12-06,39
2020-12-13,46
2020-12-20,60
2020-12-27,63
2021-01-03,66
2021-01-10,60
2021-01-17,59
2021-01-24,57
2021-01-31,52
2021-02-07,47
2021-02-14,48
2021-02-21,47
2021-02-28,44
2021-03-07,41
2021-03-14,41
2021-03-21,35
2021-03-28,43
2021-04-04,41
2021-04-11,45
2021-04-18,46
2021-04-25,47
2021-05-02,45
2021-05-09,30
2021-05-16,35
2021-05-23,43
2021-05-30,45
2021-06-06,42
2021-06-13,42
2021-06-20,56
2021-06-27,54
2021-07-04,55
2021-07-11,64
2021-07-18,68
2021-07-25,63
2021-08-01,89
2021-08-08,80
2021-08-15,100
2021-08-22,79
2021-08-29,83
2021-09-05,70
2021-09-12,58
2021-09-19,53
2021-09-26,52
2021-10-03,51
2021-10-10,41
2021-10-17,43
2021-10-24,46
2021-10-31,43
2021-11-07,50
2021-11-14,60
2021-11-21,70
2021-11-28,64
2021-12-05,51
2021-12-12,65
2021-12-19,65
2021-12-26,62
2022-01-02,77
2022-01-09,84
2022-01-16,69
2022-01-23,61
2022-01-30,59
2022-02-06,52
2022-02-13,45
2022-02-20,38
2022-02-27,34
2022-03-06,40
2022-03-13,38
2022-03-20,37
2022-03-27,39
2022-04-03,36
2022-04-10,33
