Category: All categories

Week,COVID: (Qatar)
2020-01-26,0
2020-02-02,0
2020-02-09,1
2020-02-16,1
2020-02-23,4
2020-03-01,11
2020-03-08,36
2020-03-15,46
2020-03-22,74
2020-03-29,76
2020-04-05,83
2020-04-12,79
2020-04-19,71
2020-04-26,73
2020-05-03,64
2020-05-10,64
2020-05-17,59
2020-05-24,60
2020-05-31,47
2020-06-07,44
2020-06-14,42
2020-06-21,38
2020-06-28,36
2020-07-05,36
2020-07-12,36
2020-07-19,37
2020-07-26,32
2020-08-02,30
2020-08-09,34
2020-08-16,29
2020-08-23,30
2020-08-30,29
2020-09-06,29
2020-09-13,25
2020-09-20,22
2020-09-27,22
2020-10-04,24
2020-10-11,24
2020-10-18,21
2020-10-25,20
2020-11-01,17
2020-11-08,22
2020-11-15,21
2020-11-22,20
2020-11-29,19
2020-12-06,23
2020-12-13,19
2020-12-20,37
2020-12-27,23
2021-01-03,24
2021-01-10,23
2021-01-17,33
2021-01-24,34
2021-01-31,41
2021-02-07,36
2021-02-14,38
2021-02-21,43
2021-02-28,48
2021-03-07,50
2021-03-14,50
2021-03-21,69
2021-03-28,68
2021-04-04,71
2021-04-11,58
2021-04-18,70
2021-04-25,71
2021-05-02,55
2021-05-09,58
2021-05-16,66
2021-05-23,63
2021-05-30,51
2021-06-06,40
2021-06-13,41
2021-06-20,49
2021-06-27,42
2021-07-04,48
2021-07-11,42
2021-07-18,35
2021-07-25,39
2021-08-01,37
2021-08-08,34
2021-08-15,33
2021-08-22,35
2021-08-29,28
2021-09-05,29
2021-09-12,26
2021-09-19,22
2021-09-26,23
2021-10-03,23
2021-10-10,19
2021-10-17,17
2021-10-24,16
2021-10-31,17
2021-11-07,18
2021-11-14,19
2021-11-21,25
2021-11-28,29
2021-12-05,22
2021-12-12,24
2021-12-19,28
2021-12-26,63
2022-01-02,100
2022-01-09,70
2022-01-16,41
2022-01-23,33
2022-01-30,26
2022-02-06,20
2022-02-13,19
2022-02-20,19
2022-02-27,14
2022-03-06,16
2022-03-13,21
2022-03-20,16
2022-03-27,11
2022-04-03,14
2022-04-10,12
