Category: All categories

Week,covid: (Turkey)
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,1
2020-02-23,2
2020-03-01,2
2020-03-08,12
2020-03-15,34
2020-03-22,65
2020-03-29,85
2020-04-05,73
2020-04-12,58
2020-04-19,45
2020-04-26,42
2020-05-03,35
2020-05-10,35
2020-05-17,29
2020-05-24,31
2020-05-31,31
2020-06-07,29
2020-06-14,33
2020-06-21,28
2020-06-28,26
2020-07-05,24
2020-07-12,25
2020-07-19,29
2020-07-26,32
2020-08-02,55
2020-08-09,64
2020-08-16,66
2020-08-23,69
2020-08-30,71
2020-09-06,75
2020-09-13,62
2020-09-20,46
2020-09-27,39
2020-10-04,33
2020-10-11,43
2020-10-18,52
2020-10-25,63
2020-11-01,67
2020-11-08,77
2020-11-15,99
2020-11-22,100
2020-11-29,84
2020-12-06,65
2020-12-13,52
2020-12-20,45
2020-12-27,31
2021-01-03,27
2021-01-10,44
2021-01-17,37
2021-01-24,35
2021-01-31,30
2021-02-07,36
2021-02-14,35
2021-02-21,36
2021-02-28,47
2021-03-07,46
2021-03-14,50
2021-03-21,58
2021-03-28,82
2021-04-04,94
2021-04-11,89
2021-04-18,92
2021-04-25,70
2021-05-02,60
2021-05-09,59
2021-05-16,52
2021-05-23,42
2021-05-30,44
2021-06-06,57
2021-06-13,85
2021-06-20,63
2021-06-27,55
2021-07-04,47
2021-07-11,42
2021-07-18,53
2021-07-25,71
2021-08-01,59
2021-08-08,65
2021-08-15,67
2021-08-22,68
2021-08-29,66
2021-09-05,67
2021-09-12,58
2021-09-19,55
2021-09-26,50
2021-10-03,41
2021-10-10,40
2021-10-17,37
2021-10-24,31
2021-10-31,34
2021-11-07,33
2021-11-14,29
2021-11-21,27
2021-11-28,26
2021-12-05,27
2021-12-12,25
2021-12-19,24
2021-12-26,46
2022-01-02,66
2022-01-09,56
2022-01-16,38
2022-01-23,43
2022-01-30,61
2022-02-06,53
2022-02-13,45
2022-02-20,35
2022-02-27,28
2022-03-06,22
2022-03-13,19
2022-03-20,19
2022-03-27,20
2022-04-03,17
2022-04-10,15
