Category: All categories

Week,COVID: (United Arab Emirates)
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,1
2020-02-23,5
2020-03-01,11
2020-03-08,27
2020-03-15,46
2020-03-22,87
2020-03-29,87
2020-04-05,93
2020-04-12,88
2020-04-19,80
2020-04-26,76
2020-05-03,67
2020-05-10,67
2020-05-17,61
2020-05-24,54
2020-05-31,45
2020-06-07,43
2020-06-14,42
2020-06-21,40
2020-06-28,43
2020-07-05,44
2020-07-12,45
2020-07-19,44
2020-07-26,40
2020-08-02,39
2020-08-09,40
2020-08-16,46
2020-08-23,47
2020-08-30,43
2020-09-06,47
2020-09-13,46
2020-09-20,39
2020-09-27,40
2020-10-04,38
2020-10-11,37
2020-10-18,36
2020-10-25,36
2020-11-01,35
2020-11-08,34
2020-11-15,35
2020-11-22,35
2020-11-29,35
2020-12-06,41
2020-12-13,43
2020-12-20,52
2020-12-27,47
2021-01-03,65
2021-01-10,85
2021-01-17,95
2021-01-24,98
2021-01-31,85
2021-02-07,65
2021-02-14,50
2021-02-21,48
2021-02-28,43
2021-03-07,43
2021-03-14,43
2021-03-21,45
2021-03-28,44
2021-04-04,44
2021-04-11,43
2021-04-18,67
2021-04-25,73
2021-05-02,57
2021-05-09,48
2021-05-16,48
2021-05-23,46
2021-05-30,42
2021-06-06,41
2021-06-13,43
2021-06-20,42
2021-06-27,43
2021-07-04,42
2021-07-11,41
2021-07-18,37
2021-07-25,38
2021-08-01,38
2021-08-08,34
2021-08-15,36
2021-08-22,37
2021-08-29,33
2021-09-05,27
2021-09-12,27
2021-09-19,25
2021-09-26,21
2021-10-03,22
2021-10-10,22
2021-10-17,23
2021-10-24,21
2021-10-31,18
2021-11-07,20
2021-11-14,20
2021-11-21,25
2021-11-28,34
2021-12-05,26
2021-12-12,32
2021-12-19,51
2021-12-26,84
2022-01-02,100
2022-01-09,62
2022-01-16,44
2022-01-23,36
2022-01-30,29
2022-02-06,22
2022-02-13,22
2022-02-20,20
2022-02-27,16
2022-03-06,15
2022-03-13,17
2022-03-20,15
2022-03-27,12
2022-04-03,12
2022-04-10,11
