Category: All categories

Week,COVID: (Vietnam)
2020-01-26,0
2020-02-02,0
2020-02-09,1
2020-02-16,4
2020-02-23,6
2020-03-01,12
2020-03-08,35
2020-03-15,33
2020-03-22,40
2020-03-29,40
2020-04-05,31
2020-04-12,83
2020-04-19,31
2020-04-26,14
2020-05-03,11
2020-05-10,8
2020-05-17,7
2020-05-24,6
2020-05-31,5
2020-06-07,5
2020-06-14,5
2020-06-21,5
2020-06-28,5
2020-07-05,4
2020-07-12,4
2020-07-19,7
2020-07-26,56
2020-08-02,51
2020-08-09,29
2020-08-16,22
2020-08-23,12
2020-08-30,7
2020-09-06,5
2020-09-13,4
2020-09-20,4
2020-09-27,4
2020-10-04,4
2020-10-11,3
2020-10-18,3
2020-10-25,4
2020-11-01,3
2020-11-08,3
2020-11-15,4
2020-11-22,3
2020-11-29,17
2020-12-06,6
2020-12-13,4
2020-12-20,4
2020-12-27,6
2021-01-03,5
2021-01-10,5
2021-01-17,4
2021-01-24,38
2021-01-31,57
2021-02-07,39
2021-02-14,29
2021-02-21,16
2021-02-28,8
2021-03-07,6
2021-03-14,5
2021-03-21,6
2021-03-28,4
2021-04-04,9
2021-04-11,4
2021-04-18,5
2021-04-25,22
2021-05-02,47
2021-05-09,43
2021-05-16,33
2021-05-23,38
2021-05-30,56
2021-06-06,33
2021-06-13,35
2021-06-20,57
2021-06-27,47
2021-07-04,61
2021-07-11,84
2021-07-18,96
2021-07-25,98
2021-08-01,99
2021-08-08,100
2021-08-15,85
2021-08-22,83
2021-08-29,74
2021-09-05,75
2021-09-12,62
2021-09-19,52
2021-09-26,59
2021-10-03,46
2021-10-10,42
2021-10-17,40
2021-10-24,38
2021-10-31,46
2021-11-07,45
2021-11-14,49
2021-11-21,48
2021-11-28,43
2021-12-05,38
2021-12-12,38
2021-12-19,35
2021-12-26,33
2022-01-02,33
2022-01-09,30
2022-01-16,30
2022-01-23,25
2022-01-30,22
2022-02-06,39
2022-02-13,59
2022-02-20,75
2022-02-27,75
2022-03-06,62
2022-03-13,47
2022-03-20,33
2022-03-27,23
2022-04-03,17
2022-04-10,12
