Country,Date,search_index
Cuba,2020-01-26,0.0
Cuba,2020-02-02,0.0
Cuba,2020-02-09,0.0
Cuba,2020-02-16,1.0
Cuba,2020-02-23,1.0
Cuba,2020-03-01,4.0
Cuba,2020-03-08,21.0
Cuba,2020-03-15,48.0
Cuba,2020-03-22,81.0
Cuba,2020-03-29,71.0
Cuba,2020-04-05,74.0
Cuba,2020-04-12,66.0
Cuba,2020-04-19,58.0
Cuba,2020-04-26,49.0
Cuba,2020-05-03,48.0
Cuba,2020-05-10,36.0
Cuba,2020-05-17,37.0
Cuba,2020-05-24,32.0
Cuba,2020-05-31,36.0
Cuba,2020-06-07,37.0
Cuba,2020-06-14,32.0
Cuba,2020-06-21,39.0
Cuba,2020-06-28,37.0
Cuba,2020-07-05,37.0
Cuba,2020-07-12,33.0
Cuba,2020-07-19,34.0
Cuba,2020-07-26,49.0
Cuba,2020-08-02,63.0
Cuba,2020-08-09,88.0
Cuba,2020-08-16,60.0
Cuba,2020-08-23,48.0
Cuba,2020-08-30,55.0
Cuba,2020-09-06,51.0
Cuba,2020-09-13,49.0
Cuba,2020-09-20,44.0
Cuba,2020-09-27,45.0
Cuba,2020-10-04,38.0
Cuba,2020-10-11,48.0
Cuba,2020-10-18,50.0
Cuba,2020-10-25,44.0
Cuba,2020-11-01,32.0
Cuba,2020-11-08,37.0
Cuba,2020-11-15,37.0
Cuba,2020-11-22,41.0
Cuba,2020-11-29,45.0
Cuba,2020-12-06,38.0
Cuba,2020-12-13,39.0
Cuba,2020-12-20,52.0
Cuba,2020-12-27,39.0
Cuba,2021-01-03,61.0
Cuba,2021-01-10,100.0
Cuba,2021-01-17,85.0
Cuba,2021-01-24,89.0
Cuba,2021-01-31,77.0
Cuba,2021-02-07,60.0
Cuba,2021-02-14,55.0
Cuba,2021-02-21,56.0
Cuba,2021-02-28,48.0
Cuba,2021-03-07,42.0
Cuba,2021-03-14,40.0
Cuba,2021-03-21,38.0
Cuba,2021-03-28,42.0
Cuba,2021-04-04,49.0
Cuba,2021-04-11,48.0
Cuba,2021-04-18,46.0
Cuba,2021-04-25,49.0
Cuba,2021-05-02,38.0
Cuba,2021-05-09,41.0
Cuba,2021-05-16,36.0
Cuba,2021-05-23,38.0
Cuba,2021-05-30,37.0
Cuba,2021-06-06,35.0
Cuba,2021-06-13,44.0
Cuba,2021-06-20,70.0
Cuba,2021-06-27,76.0
Cuba,2021-07-04,96.0
Cuba,2021-07-11,76.0
Cuba,2021-07-18,65.0
Cuba,2021-07-25,74.0
Cuba,2021-08-01,79.0
Cuba,2021-08-08,69.0
Cuba,2021-08-15,67.0
Cuba,2021-08-22,66.0
Cuba,2021-08-29,66.0
Cuba,2021-09-05,62.0
Cuba,2021-09-12,51.0
Cuba,2021-09-19,42.0
Cuba,2021-09-26,39.0
Cuba,2021-10-03,36.0
Cuba,2021-10-10,34.0
Cuba,2021-10-17,28.0
Cuba,2021-10-24,23.0
Cuba,2021-10-31,30.0
Cuba,2021-11-07,25.0
Cuba,2021-11-14,27.0
Cuba,2021-11-21,25.0
Cuba,2021-11-28,35.0
Cuba,2021-12-05,21.0
Cuba,2021-12-12,20.0
Cuba,2021-12-19,20.0
Cuba,2021-12-26,34.0
Cuba,2022-01-02,60.0
Cuba,2022-01-09,49.0
Cuba,2022-01-16,32.0
Cuba,2022-01-23,25.0
Cuba,2022-01-30,19.0
Cuba,2022-02-06,17.0
Cuba,2022-02-13,18.0
Cuba,2022-02-20,15.0
Cuba,2022-02-27,12.0
Cuba,2022-03-06,13.0
Cuba,2022-03-13,14.0
Cuba,2022-03-20,16.0
Cuba,2022-03-27,16.0
Cuba,2022-04-03,13.0
Cuba,2022-04-10,10.0
