Country,Date,search_index
Saudi Arabia,2020-01-26,0.0
Saudi Arabia,2020-02-02,0.0
Saudi Arabia,2020-02-09,0
Saudi Arabia,2020-02-16,1.0
Saudi Arabia,2020-02-23,5.0
Saudi Arabia,2020-03-01,9.0
Saudi Arabia,2020-03-08,27.0
Saudi Arabia,2020-03-15,48.0
Saudi Arabia,2020-03-22,77.0
Saudi Arabia,2020-03-29,74.0
Saudi Arabia,2020-04-05,100.0
Saudi Arabia,2020-04-12,80.0
Saudi Arabia,2020-04-19,73.0
Saudi Arabia,2020-04-26,58.0
Saudi Arabia,2020-05-03,58.0
Saudi Arabia,2020-05-10,52.0
Saudi Arabia,2020-05-17,53.0
Saudi Arabia,2020-05-24,56.0
Saudi Arabia,2020-05-31,55.0
Saudi Arabia,2020-06-07,58.0
Saudi Arabia,2020-06-14,53.0
Saudi Arabia,2020-06-21,47.0
Saudi Arabia,2020-06-28,42.0
Saudi Arabia,2020-07-05,38.0
Saudi Arabia,2020-07-12,36.0
Saudi Arabia,2020-07-19,35.0
Saudi Arabia,2020-07-26,30.0
Saudi Arabia,2020-08-02,33.0
Saudi Arabia,2020-08-09,28.0
Saudi Arabia,2020-08-16,27.0
Saudi Arabia,2020-08-23,22.0
Saudi Arabia,2020-08-30,18.0
Saudi Arabia,2020-09-06,16.0
Saudi Arabia,2020-09-13,18.0
Saudi Arabia,2020-09-20,18.0
Saudi Arabia,2020-09-27,17.0
Saudi Arabia,2020-10-04,16.0
Saudi Arabia,2020-10-11,16.0
Saudi Arabia,2020-10-18,15.0
Saudi Arabia,2020-10-25,16.0
Saudi Arabia,2020-11-01,13.0
Saudi Arabia,2020-11-08,15.0
Saudi Arabia,2020-11-15,16.0
Saudi Arabia,2020-11-22,15.0
Saudi Arabia,2020-11-29,13.0
Saudi Arabia,2020-12-06,15.0
Saudi Arabia,2020-12-13,17.0
Saudi Arabia,2020-12-20,25.0
Saudi Arabia,2020-12-27,17.0
Saudi Arabia,2021-01-03,21.0
Saudi Arabia,2021-01-10,20.0
Saudi Arabia,2021-01-17,17.0
Saudi Arabia,2021-01-24,16.0
Saudi Arabia,2021-01-31,22.0
Saudi Arabia,2021-02-07,18.0
Saudi Arabia,2021-02-14,15.0
Saudi Arabia,2021-02-21,17.0
Saudi Arabia,2021-02-28,23.0
Saudi Arabia,2021-03-07,30.0
Saudi Arabia,2021-03-14,30.0
Saudi Arabia,2021-03-21,28.0
Saudi Arabia,2021-03-28,28.0
Saudi Arabia,2021-04-04,30.0
Saudi Arabia,2021-04-11,28.0
Saudi Arabia,2021-04-18,39.0
Saudi Arabia,2021-04-25,46.0
Saudi Arabia,2021-05-02,37.0
Saudi Arabia,2021-05-09,36.0
Saudi Arabia,2021-05-16,41.0
Saudi Arabia,2021-05-23,33.0
Saudi Arabia,2021-05-30,29.0
Saudi Arabia,2021-06-06,27.0
Saudi Arabia,2021-06-13,26.0
Saudi Arabia,2021-06-20,26.0
Saudi Arabia,2021-06-27,27.0
Saudi Arabia,2021-07-04,28.0
Saudi Arabia,2021-07-11,30.0
Saudi Arabia,2021-07-18,24.0
Saudi Arabia,2021-07-25,26.0
Saudi Arabia,2021-08-01,27.0
Saudi Arabia,2021-08-08,21.0
Saudi Arabia,2021-08-15,20.0
Saudi Arabia,2021-08-22,18.0
Saudi Arabia,2021-08-29,17.0
Saudi Arabia,2021-09-05,14.0
Saudi Arabia,2021-09-12,13.0
Saudi Arabia,2021-09-19,11.0
Saudi Arabia,2021-09-26,10.0
Saudi Arabia,2021-10-03,12.0
Saudi Arabia,2021-10-10,11.0
Saudi Arabia,2021-10-17,13.0
Saudi Arabia,2021-10-24,10.0
Saudi Arabia,2021-10-31,9.0
Saudi Arabia,2021-11-07,10.0
Saudi Arabia,2021-11-14,10.0
Saudi Arabia,2021-11-21,13.0
Saudi Arabia,2021-11-28,17.0
Saudi Arabia,2021-12-05,11.0
Saudi Arabia,2021-12-12,12.0
Saudi Arabia,2021-12-19,18.0
Saudi Arabia,2021-12-26,24.0
Saudi Arabia,2022-01-02,35.0
Saudi Arabia,2022-01-09,33.0
Saudi Arabia,2022-01-16,29.0
Saudi Arabia,2022-01-23,21.0
Saudi Arabia,2022-01-30,18.0
Saudi Arabia,2022-02-06,14.0
Saudi Arabia,2022-02-13,12.0
Saudi Arabia,2022-02-20,9.0
Saudi Arabia,2022-02-27,9.0
Saudi Arabia,2022-03-06,9.0
Saudi Arabia,2022-03-13,8.0
Saudi Arabia,2022-03-20,7.0
Saudi Arabia,2022-03-27,6.0
Saudi Arabia,2022-04-03,6.0
Saudi Arabia,2022-04-10,5.0
