Country,Date,search_index
South Korea,2020-01-26,0.0
South Korea,2020-02-02,0.0
South Korea,2020-02-09,5.0
South Korea,2020-02-16,17.0
South Korea,2020-02-23,49.0
South Korea,2020-03-01,41.0
South Korea,2020-03-08,48.0
South Korea,2020-03-15,75.0
South Korea,2020-03-22,93.0
South Korea,2020-03-29,96.0
South Korea,2020-04-05,81.0
South Korea,2020-04-12,69.0
South Korea,2020-04-19,72.0
South Korea,2020-04-26,62.0
South Korea,2020-05-03,61.0
South Korea,2020-05-10,59.0
South Korea,2020-05-17,55.0
South Korea,2020-05-24,61.0
South Korea,2020-05-31,58.0
South Korea,2020-06-07,54.0
South Korea,2020-06-14,51.0
South Korea,2020-06-21,62.0
South Korea,2020-06-28,59.0
South Korea,2020-07-05,61.0
South Korea,2020-07-12,58.0
South Korea,2020-07-19,51.0
South Korea,2020-07-26,60.0
South Korea,2020-08-02,56.0
South Korea,2020-08-09,57.0
South Korea,2020-08-16,72.0
South Korea,2020-08-23,70.0
South Korea,2020-08-30,57.0
South Korea,2020-09-06,55.0
South Korea,2020-09-13,55.0
South Korea,2020-09-20,49.0
South Korea,2020-09-27,54.0
South Korea,2020-10-04,54.0
South Korea,2020-10-11,49.0
South Korea,2020-10-18,48.0
South Korea,2020-10-25,50.0
South Korea,2020-11-01,46.0
South Korea,2020-11-08,58.0
South Korea,2020-11-15,66.0
South Korea,2020-11-22,62.0
South Korea,2020-11-29,68.0
South Korea,2020-12-06,66.0
South Korea,2020-12-13,72.0
South Korea,2020-12-20,76.0
South Korea,2020-12-27,63.0
South Korea,2021-01-03,64.0
South Korea,2021-01-10,61.0
South Korea,2021-01-17,54.0
South Korea,2021-01-24,55.0
South Korea,2021-01-31,47.0
South Korea,2021-02-07,45.0
South Korea,2021-02-14,53.0
South Korea,2021-02-21,46.0
South Korea,2021-02-28,45.0
South Korea,2021-03-07,47.0
South Korea,2021-03-14,54.0
South Korea,2021-03-21,48.0
South Korea,2021-03-28,45.0
South Korea,2021-04-04,54.0
South Korea,2021-04-11,53.0
South Korea,2021-04-18,58.0
South Korea,2021-04-25,70.0
South Korea,2021-05-02,62.0
South Korea,2021-05-09,58.0
South Korea,2021-05-16,53.0
South Korea,2021-05-23,57.0
South Korea,2021-05-30,62.0
South Korea,2021-06-06,52.0
South Korea,2021-06-13,60.0
South Korea,2021-06-20,76.0
South Korea,2021-06-27,60.0
South Korea,2021-07-04,78.0
South Korea,2021-07-11,83.0
South Korea,2021-07-18,71.0
South Korea,2021-07-25,82.0
South Korea,2021-08-01,90.0
South Korea,2021-08-08,93.0
South Korea,2021-08-15,82.0
South Korea,2021-08-22,76.0
South Korea,2021-08-29,78.0
South Korea,2021-09-05,69.0
South Korea,2021-09-12,65.0
South Korea,2021-09-19,68.0
South Korea,2021-09-26,68.0
South Korea,2021-10-03,55.0
South Korea,2021-10-10,51.0
South Korea,2021-10-17,53.0
South Korea,2021-10-24,48.0
South Korea,2021-10-31,48.0
South Korea,2021-11-07,43.0
South Korea,2021-11-14,45.0
South Korea,2021-11-21,60.0
South Korea,2021-11-28,66.0
South Korea,2021-12-05,73.0
South Korea,2021-12-12,100.0
South Korea,2021-12-19,66.0
South Korea,2021-12-26,64.0
South Korea,2022-01-02,76.0
South Korea,2022-01-09,65.0
South Korea,2022-01-16,77.0
South Korea,2022-01-23,64.0
South Korea,2022-01-30,69.0
South Korea,2022-02-06,75.0
South Korea,2022-02-13,67.0
South Korea,2022-02-20,67.0
South Korea,2022-02-27,67.0
South Korea,2022-03-06,69.0
South Korea,2022-03-13,80.0
South Korea,2022-03-20,67.0
South Korea,2022-03-27,59.0
South Korea,2022-04-03,55.0
South Korea,2022-04-10,51.0
