Country,Date,search_index
United Arab Emirates,2020-01-26,0.0
United Arab Emirates,2020-02-02,0.0
United Arab Emirates,2020-02-09,0
United Arab Emirates,2020-02-16,1.0
United Arab Emirates,2020-02-23,5.0
United Arab Emirates,2020-03-01,11.0
United Arab Emirates,2020-03-08,27.0
United Arab Emirates,2020-03-15,46.0
United Arab Emirates,2020-03-22,87.0
United Arab Emirates,2020-03-29,87.0
United Arab Emirates,2020-04-05,93.0
United Arab Emirates,2020-04-12,88.0
United Arab Emirates,2020-04-19,80.0
United Arab Emirates,2020-04-26,76.0
United Arab Emirates,2020-05-03,67.0
United Arab Emirates,2020-05-10,67.0
United Arab Emirates,2020-05-17,61.0
United Arab Emirates,2020-05-24,54.0
United Arab Emirates,2020-05-31,45.0
United Arab Emirates,2020-06-07,43.0
United Arab Emirates,2020-06-14,42.0
United Arab Emirates,2020-06-21,40.0
United Arab Emirates,2020-06-28,43.0
United Arab Emirates,2020-07-05,44.0
United Arab Emirates,2020-07-12,45.0
United Arab Emirates,2020-07-19,44.0
United Arab Emirates,2020-07-26,40.0
United Arab Emirates,2020-08-02,39.0
United Arab Emirates,2020-08-09,40.0
United Arab Emirates,2020-08-16,46.0
United Arab Emirates,2020-08-23,47.0
United Arab Emirates,2020-08-30,43.0
United Arab Emirates,2020-09-06,47.0
United Arab Emirates,2020-09-13,46.0
United Arab Emirates,2020-09-20,39.0
United Arab Emirates,2020-09-27,40.0
United Arab Emirates,2020-10-04,38.0
United Arab Emirates,2020-10-11,37.0
United Arab Emirates,2020-10-18,36.0
United Arab Emirates,2020-10-25,36.0
United Arab Emirates,2020-11-01,35.0
United Arab Emirates,2020-11-08,34.0
United Arab Emirates,2020-11-15,35.0
United Arab Emirates,2020-11-22,35.0
United Arab Emirates,2020-11-29,35.0
United Arab Emirates,2020-12-06,41.0
United Arab Emirates,2020-12-13,43.0
United Arab Emirates,2020-12-20,52.0
United Arab Emirates,2020-12-27,47.0
United Arab Emirates,2021-01-03,65.0
United Arab Emirates,2021-01-10,85.0
United Arab Emirates,2021-01-17,95.0
United Arab Emirates,2021-01-24,98.0
United Arab Emirates,2021-01-31,85.0
United Arab Emirates,2021-02-07,65.0
United Arab Emirates,2021-02-14,50.0
United Arab Emirates,2021-02-21,48.0
United Arab Emirates,2021-02-28,43.0
United Arab Emirates,2021-03-07,43.0
United Arab Emirates,2021-03-14,43.0
United Arab Emirates,2021-03-21,45.0
United Arab Emirates,2021-03-28,44.0
United Arab Emirates,2021-04-04,44.0
United Arab Emirates,2021-04-11,43.0
United Arab Emirates,2021-04-18,67.0
United Arab Emirates,2021-04-25,73.0
United Arab Emirates,2021-05-02,57.0
United Arab Emirates,2021-05-09,48.0
United Arab Emirates,2021-05-16,48.0
United Arab Emirates,2021-05-23,46.0
United Arab Emirates,2021-05-30,42.0
United Arab Emirates,2021-06-06,41.0
United Arab Emirates,2021-06-13,43.0
United Arab Emirates,2021-06-20,42.0
United Arab Emirates,2021-06-27,43.0
United Arab Emirates,2021-07-04,42.0
United Arab Emirates,2021-07-11,41.0
United Arab Emirates,2021-07-18,37.0
United Arab Emirates,2021-07-25,38.0
United Arab Emirates,2021-08-01,38.0
United Arab Emirates,2021-08-08,34.0
United Arab Emirates,2021-08-15,36.0
United Arab Emirates,2021-08-22,37.0
United Arab Emirates,2021-08-29,33.0
United Arab Emirates,2021-09-05,27.0
United Arab Emirates,2021-09-12,27.0
United Arab Emirates,2021-09-19,25.0
United Arab Emirates,2021-09-26,21.0
United Arab Emirates,2021-10-03,22.0
United Arab Emirates,2021-10-10,22.0
United Arab Emirates,2021-10-17,23.0
United Arab Emirates,2021-10-24,21.0
United Arab Emirates,2021-10-31,18.0
United Arab Emirates,2021-11-07,20.0
United Arab Emirates,2021-11-14,20.0
United Arab Emirates,2021-11-21,25.0
United Arab Emirates,2021-11-28,34.0
United Arab Emirates,2021-12-05,26.0
United Arab Emirates,2021-12-12,32.0
United Arab Emirates,2021-12-19,51.0
United Arab Emirates,2021-12-26,84.0
United Arab Emirates,2022-01-02,100.0
United Arab Emirates,2022-01-09,62.0
United Arab Emirates,2022-01-16,44.0
United Arab Emirates,2022-01-23,36.0
United Arab Emirates,2022-01-30,29.0
United Arab Emirates,2022-02-06,22.0
United Arab Emirates,2022-02-13,22.0
United Arab Emirates,2022-02-20,20.0
United Arab Emirates,2022-02-27,16.0
United Arab Emirates,2022-03-06,15.0
United Arab Emirates,2022-03-13,17.0
United Arab Emirates,2022-03-20,15.0
United Arab Emirates,2022-03-27,12.0
United Arab Emirates,2022-04-03,12.0
United Arab Emirates,2022-04-10,11.0
