Category: All categories

Week,Immigration: (Belgium)
2020-01-26,81
2020-02-02,36
2020-02-09,73
2020-02-16,86
2020-02-23,62
2020-03-01,58
2020-03-08,74
2020-03-15,34
2020-03-22,36
2020-03-29,33
2020-04-05,66
2020-04-12,55
2020-04-19,81
2020-04-26,42
2020-05-03,61
2020-05-10,53
2020-05-17,58
2020-05-24,63
2020-05-31,31
2020-06-07,61
2020-06-14,45
2020-06-21,39
2020-06-28,41
2020-07-05,67
2020-07-12,64
2020-07-19,71
2020-07-26,49
2020-08-02,62
2020-08-09,64
2020-08-16,48
2020-08-23,49
2020-08-30,46
2020-09-06,56
2020-09-13,56
2020-09-20,71
2020-09-27,60
2020-10-04,29
2020-10-11,71
2020-10-18,49
2020-10-25,92
2020-11-01,89
2020-11-08,76
2020-11-15,34
2020-11-22,62
2020-11-29,44
2020-12-06,55
2020-12-13,56
2020-12-20,42
2020-12-27,37
2021-01-03,49
2021-01-10,58
2021-01-17,60
2021-01-24,67
2021-01-31,38
2021-02-07,52
2021-02-14,51
2021-02-21,37
2021-02-28,51
2021-03-07,72
2021-03-14,45
2021-03-21,48
2021-03-28,60
2021-04-04,45
2021-04-11,43
2021-04-18,38
2021-04-25,51
2021-05-02,52
2021-05-09,40
2021-05-16,60
2021-05-23,38
2021-05-30,69
2021-06-06,38
2021-06-13,44
2021-06-20,62
2021-06-27,49
2021-07-04,69
2021-07-11,66
2021-07-18,51
2021-07-25,45
2021-08-01,32
2021-08-08,52
2021-08-15,70
2021-08-22,40
2021-08-29,30
2021-09-05,69
2021-09-12,74
2021-09-19,53
2021-09-26,42
2021-10-03,72
2021-10-10,83
2021-10-17,58
2021-10-24,61
2021-10-31,54
2021-11-07,72
2021-11-14,88
2021-11-21,59
2021-11-28,46
2021-12-05,69
2021-12-12,75
2021-12-19,85
2021-12-26,61
2022-01-02,52
2022-01-09,79
2022-01-16,67
2022-01-23,64
2022-01-30,59
2022-02-06,53
2022-02-13,59
2022-02-20,69
2022-02-27,73
2022-03-06,77
2022-03-13,63
2022-03-20,43
2022-03-27,100
2022-04-03,50
2022-04-10,75
