Category: All categories

Week,immigration: (Brazil)
2020-01-26,83
2020-02-02,69
2020-02-09,68
2020-02-16,81
2020-02-23,81
2020-03-01,63
2020-03-08,64
2020-03-15,56
2020-03-22,42
2020-03-29,41
2020-04-05,43
2020-04-12,69
2020-04-19,87
2020-04-26,71
2020-05-03,48
2020-05-10,60
2020-05-17,71
2020-05-24,70
2020-05-31,61
2020-06-07,68
2020-06-14,77
2020-06-21,82
2020-06-28,73
2020-07-05,73
2020-07-12,64
2020-07-19,66
2020-07-26,57
2020-08-02,68
2020-08-09,73
2020-08-16,70
2020-08-23,50
2020-08-30,71
2020-09-06,58
2020-09-13,70
2020-09-20,78
2020-09-27,74
2020-10-04,92
2020-10-11,78
2020-10-18,75
2020-10-25,75
2020-11-01,100
2020-11-08,88
2020-11-15,76
2020-11-22,63
2020-11-29,59
2020-12-06,55
2020-12-13,60
2020-12-20,82
2020-12-27,67
2021-01-03,53
2021-01-10,69
2021-01-17,70
2021-01-24,88
2021-01-31,63
2021-02-07,68
2021-02-14,68
2021-02-21,55
2021-02-28,90
2021-03-07,58
2021-03-14,58
2021-03-21,61
2021-03-28,59
2021-04-04,65
2021-04-11,75
2021-04-18,61
2021-04-25,59
2021-05-02,59
2021-05-09,54
2021-05-16,61
2021-05-23,71
2021-05-30,62
2021-06-06,58
2021-06-13,61
2021-06-20,71
2021-06-27,73
2021-07-04,54
2021-07-11,60
2021-07-18,58
2021-07-25,43
2021-08-01,52
2021-08-08,38
2021-08-15,46
2021-08-22,47
2021-08-29,46
2021-09-05,50
2021-09-12,62
2021-09-19,60
2021-09-26,71
2021-10-03,52
2021-10-10,47
2021-10-17,75
2021-10-24,67
2021-10-31,55
2021-11-07,70
2021-11-14,88
2021-11-21,56
2021-11-28,73
2021-12-05,68
2021-12-12,68
2021-12-19,36
2021-12-26,40
2022-01-02,50
2022-01-09,55
2022-01-16,59
2022-01-23,64
2022-01-30,60
2022-02-06,55
2022-02-13,71
2022-02-20,63
2022-02-27,62
2022-03-06,57
2022-03-13,49
2022-03-20,75
2022-03-27,57
2022-04-03,81
2022-04-10,56
