Week,Immigration: (Brazil)
2020-01-26,23
2020-02-02,21
2020-02-09,27
2020-02-16,32
2020-02-23,27
2020-03-01,33
2020-03-08,37
2020-03-15,26
2020-03-22,26
2020-03-29,27
2020-04-05,23
2020-04-12,28
2020-04-19,35
2020-04-26,37
2020-05-03,40
2020-05-10,37
2020-05-17,44
2020-05-24,45
2020-05-31,43
2020-06-07,39
2020-06-14,47
2020-06-21,46
2020-06-28,36
2020-07-05,37
2020-07-12,36
2020-07-19,34
2020-07-26,34
2020-08-02,33
2020-08-09,34
2020-08-16,43
2020-08-23,37
2020-08-30,100
2020-09-06,37
2020-09-13,42
2020-09-20,44
2020-09-27,41
2020-10-04,39
2020-10-11,28
2020-10-18,40
2020-10-25,41
2020-11-01,41
2020-11-08,40
2020-11-15,35
2020-11-22,41
2020-11-29,40
2020-12-06,39
2020-12-13,33
2020-12-20,22
2020-12-27,18
2021-01-03,18
2021-01-10,20
2021-01-17,20
2021-01-24,19
2021-01-31,18
2021-02-07,23
2021-02-14,24
2021-02-21,29
2021-02-28,34
2021-03-07,35
2021-03-14,37
2021-03-21,41
2021-03-28,33
2021-04-04,45
2021-04-11,44
2021-04-18,44
2021-04-25,45
2021-05-02,42
2021-05-09,43
2021-05-16,49
2021-05-23,47
2021-05-30,38
2021-06-06,46
2021-06-13,48
2021-06-20,44
2021-06-27,39
2021-07-04,34
2021-07-11,30
2021-07-18,27
2021-07-25,24
2021-08-01,27
2021-08-08,32
2021-08-15,38
2021-08-22,37
2021-08-29,38
2021-09-05,34
2021-09-12,43
2021-09-19,44
2021-09-26,40
2021-10-03,35
2021-10-10,28
2021-10-17,41
2021-10-24,43
2021-10-31,36
2021-11-07,48
2021-11-14,42
2021-11-21,42
2021-11-28,39
2021-12-05,34
2021-12-12,24
2021-12-19,17
2021-12-26,18
2022-01-02,20
2022-01-09,18
2022-01-16,19
2022-01-23,19
2022-01-30,23
2022-02-06,25
2022-02-13,29
2022-02-20,29
2022-02-27,25
2022-03-06,31
2022-03-13,36
2022-03-20,39
2022-03-27,39
2022-04-03,43
2022-04-10,33
