Category: All categories

Week,Immigration: (Saudi Arabia)
2020-01-26,76
2020-02-02,81
2020-02-09,69
2020-02-16,100
2020-02-23,88
2020-03-01,67
2020-03-08,56
2020-03-15,62
2020-03-22,56
2020-03-29,32
2020-04-05,34
2020-04-12,38
2020-04-19,63
2020-04-26,27
2020-05-03,56
2020-05-10,53
2020-05-17,69
2020-05-24,81
2020-05-31,61
2020-06-07,77
2020-06-14,49
2020-06-21,60
2020-06-28,67
2020-07-05,84
2020-07-12,64
2020-07-19,83
2020-07-26,68
2020-08-02,99
2020-08-09,88
2020-08-16,85
2020-08-23,71
2020-08-30,46
2020-09-06,67
2020-09-13,76
2020-09-20,79
2020-09-27,72
2020-10-04,54
2020-10-11,63
2020-10-18,52
2020-10-25,62
2020-11-01,44
2020-11-08,62
2020-11-15,60
2020-11-22,32
2020-11-29,59
2020-12-06,64
2020-12-13,55
2020-12-20,47
2020-12-27,41
2021-01-03,68
2021-01-10,84
2021-01-17,64
2021-01-24,68
2021-01-31,56
2021-02-07,52
2021-02-14,36
2021-02-21,63
2021-02-28,50
2021-03-07,39
2021-03-14,57
2021-03-21,30
2021-03-28,46
2021-04-04,35
2021-04-11,38
2021-04-18,46
2021-04-25,52
2021-05-02,62
2021-05-09,54
2021-05-16,77
2021-05-23,43
2021-05-30,67
2021-06-06,60
2021-06-13,57
2021-06-20,59
2021-06-27,61
2021-07-04,58
2021-07-11,78
2021-07-18,76
2021-07-25,75
2021-08-01,77
2021-08-08,46
2021-08-15,64
2021-08-22,61
2021-08-29,68
2021-09-05,47
2021-09-12,56
2021-09-19,63
2021-09-26,44
2021-10-03,54
2021-10-10,55
2021-10-17,50
2021-10-24,58
2021-10-31,37
2021-11-07,47
2021-11-14,49
2021-11-21,53
2021-11-28,54
2021-12-05,50
2021-12-12,52
2021-12-19,47
2021-12-26,27
2022-01-02,35
2022-01-09,44
2022-01-16,50
2022-01-23,32
2022-01-30,46
2022-02-06,46
2022-02-13,42
2022-02-20,45
2022-02-27,31
2022-03-06,32
2022-03-13,54
2022-03-20,58
2022-03-27,43
2022-04-03,37
2022-04-10,38
