Category: All categories

Week,immigration: (Singapore)
2020-01-26,48
2020-02-02,57
2020-02-09,61
2020-02-16,62
2020-02-23,55
2020-03-01,55
2020-03-08,69
2020-03-15,100
2020-03-22,47
2020-03-29,40
2020-04-05,32
2020-04-12,25
2020-04-19,51
2020-04-26,32
2020-05-03,34
2020-05-10,38
2020-05-17,39
2020-05-24,41
2020-05-31,43
2020-06-07,48
2020-06-14,50
2020-06-21,41
2020-06-28,40
2020-07-05,41
2020-07-12,49
2020-07-19,39
2020-07-26,36
2020-08-02,48
2020-08-09,43
2020-08-16,47
2020-08-23,56
2020-08-30,49
2020-09-06,47
2020-09-13,43
2020-09-20,38
2020-09-27,47
2020-10-04,35
2020-10-11,42
2020-10-18,34
2020-10-25,38
2020-11-01,40
2020-11-08,31
2020-11-15,31
2020-11-22,31
2020-11-29,29
2020-12-06,34
2020-12-13,34
2020-12-20,27
2020-12-27,28
2021-01-03,33
2021-01-10,29
2021-01-17,38
2021-01-24,27
2021-01-31,28
2021-02-07,36
2021-02-14,34
2021-02-21,31
2021-02-28,34
2021-03-07,35
2021-03-14,19
2021-03-21,30
2021-03-28,27
2021-04-04,41
2021-04-11,39
2021-04-18,38
2021-04-25,38
2021-05-02,37
2021-05-09,31
2021-05-16,33
2021-05-23,33
2021-05-30,29
2021-06-06,32
2021-06-13,34
2021-06-20,32
2021-06-27,29
2021-07-04,40
2021-07-11,32
2021-07-18,30
2021-07-25,33
2021-08-01,34
2021-08-08,29
2021-08-15,35
2021-08-22,26
2021-08-29,36
2021-09-05,27
2021-09-12,24
2021-09-19,34
2021-09-26,36
2021-10-03,29
2021-10-10,42
2021-10-17,44
2021-10-24,41
2021-10-31,35
2021-11-07,48
2021-11-14,43
2021-11-21,37
2021-11-28,34
2021-12-05,39
2021-12-12,42
2021-12-19,39
2021-12-26,30
2022-01-02,42
2022-01-09,40
2022-01-16,36
2022-01-23,28
2022-01-30,38
2022-02-06,37
2022-02-13,43
2022-02-20,40
2022-02-27,32
2022-03-06,49
2022-03-13,39
2022-03-20,37
2022-03-27,48
2022-04-03,64
2022-04-10,64
