Country,Date,search_index
Australia,2020-01-26,67.0
Australia,2020-02-02,71.0
Australia,2020-02-09,64.0
Australia,2020-02-16,76.0
Australia,2020-02-23,72.0
Australia,2020-03-01,69.0
Australia,2020-03-08,73.0
Australia,2020-03-15,100.0
Australia,2020-03-22,63.0
Australia,2020-03-29,53.0
Australia,2020-04-05,53.0
Australia,2020-04-12,48.0
Australia,2020-04-19,64.0
Australia,2020-04-26,49.0
Australia,2020-05-03,57.0
Australia,2020-05-10,55.0
Australia,2020-05-17,61.0
Australia,2020-05-24,57.0
Australia,2020-05-31,57.0
Australia,2020-06-07,60.0
Australia,2020-06-14,58.0
Australia,2020-06-21,56.0
Australia,2020-06-28,58.0
Australia,2020-07-05,55.0
Australia,2020-07-12,55.0
Australia,2020-07-19,51.0
Australia,2020-07-26,50.0
Australia,2020-08-02,55.0
Australia,2020-08-09,57.0
Australia,2020-08-16,56.0
Australia,2020-08-23,58.0
Australia,2020-08-30,49.0
Australia,2020-09-06,55.0
Australia,2020-09-13,51.0
Australia,2020-09-20,48.0
Australia,2020-09-27,42.0
Australia,2020-10-04,67.0
Australia,2020-10-11,57.0
Australia,2020-10-18,52.0
Australia,2020-10-25,45.0
Australia,2020-11-01,45.0
Australia,2020-11-08,49.0
Australia,2020-11-15,43.0
Australia,2020-11-22,40.0
Australia,2020-11-29,52.0
Australia,2020-12-06,46.0
Australia,2020-12-13,41.0
Australia,2020-12-20,35.0
Australia,2020-12-27,31.0
Australia,2021-01-03,46.0
Australia,2021-01-10,47.0
Australia,2021-01-17,53.0
Australia,2021-01-24,49.0
Australia,2021-01-31,52.0
Australia,2021-02-07,48.0
Australia,2021-02-14,51.0
Australia,2021-02-21,42.0
Australia,2021-02-28,52.0
Australia,2021-03-07,49.0
Australia,2021-03-14,49.0
Australia,2021-03-21,51.0
Australia,2021-03-28,42.0
Australia,2021-04-04,40.0
Australia,2021-04-11,45.0
Australia,2021-04-18,45.0
Australia,2021-04-25,43.0
Australia,2021-05-02,44.0
Australia,2021-05-09,54.0
Australia,2021-05-16,51.0
Australia,2021-05-23,46.0
Australia,2021-05-30,45.0
Australia,2021-06-06,45.0
Australia,2021-06-13,47.0
Australia,2021-06-20,48.0
Australia,2021-06-27,53.0
Australia,2021-07-04,48.0
Australia,2021-07-11,44.0
Australia,2021-07-18,43.0
Australia,2021-07-25,41.0
Australia,2021-08-01,43.0
Australia,2021-08-08,43.0
Australia,2021-08-15,46.0
Australia,2021-08-22,50.0
Australia,2021-08-29,43.0
Australia,2021-09-05,39.0
Australia,2021-09-12,43.0
Australia,2021-09-19,34.0
Australia,2021-09-26,46.0
Australia,2021-10-03,36.0
Australia,2021-10-10,46.0
Australia,2021-10-17,47.0
Australia,2021-10-24,43.0
Australia,2021-10-31,49.0
Australia,2021-11-07,47.0
Australia,2021-11-14,48.0
Australia,2021-11-21,49.0
Australia,2021-11-28,47.0
Australia,2021-12-05,42.0
Australia,2021-12-12,41.0
Australia,2021-12-19,36.0
Australia,2021-12-26,28.0
Australia,2022-01-02,47.0
Australia,2022-01-09,73.0
Australia,2022-01-16,49.0
Australia,2022-01-23,46.0
Australia,2022-01-30,51.0
Australia,2022-02-06,53.0
Australia,2022-02-13,50.0
Australia,2022-02-20,52.0
Australia,2022-02-27,49.0
Australia,2022-03-06,51.0
Australia,2022-03-13,57.0
Australia,2022-03-20,57.0
Australia,2022-03-27,48.0
Australia,2022-04-03,54.0
Australia,2022-04-10,48.0
