Country,Date,search_index
Belgium,2020-01-26,81.0
Belgium,2020-02-02,36.0
Belgium,2020-02-09,73.0
Belgium,2020-02-16,86.0
Belgium,2020-02-23,62.0
Belgium,2020-03-01,58.0
Belgium,2020-03-08,74.0
Belgium,2020-03-15,34.0
Belgium,2020-03-22,36.0
Belgium,2020-03-29,33.0
Belgium,2020-04-05,66.0
Belgium,2020-04-12,55.0
Belgium,2020-04-19,81.0
Belgium,2020-04-26,42.0
Belgium,2020-05-03,61.0
Belgium,2020-05-10,53.0
Belgium,2020-05-17,58.0
Belgium,2020-05-24,63.0
Belgium,2020-05-31,31.0
Belgium,2020-06-07,61.0
Belgium,2020-06-14,45.0
Belgium,2020-06-21,39.0
Belgium,2020-06-28,41.0
Belgium,2020-07-05,67.0
Belgium,2020-07-12,64.0
Belgium,2020-07-19,71.0
Belgium,2020-07-26,49.0
Belgium,2020-08-02,62.0
Belgium,2020-08-09,64.0
Belgium,2020-08-16,48.0
Belgium,2020-08-23,49.0
Belgium,2020-08-30,46.0
Belgium,2020-09-06,56.0
Belgium,2020-09-13,56.0
Belgium,2020-09-20,71.0
Belgium,2020-09-27,60.0
Belgium,2020-10-04,29.0
Belgium,2020-10-11,71.0
Belgium,2020-10-18,49.0
Belgium,2020-10-25,92.0
Belgium,2020-11-01,89.0
Belgium,2020-11-08,76.0
Belgium,2020-11-15,34.0
Belgium,2020-11-22,62.0
Belgium,2020-11-29,44.0
Belgium,2020-12-06,55.0
Belgium,2020-12-13,56.0
Belgium,2020-12-20,42.0
Belgium,2020-12-27,37.0
Belgium,2021-01-03,49.0
Belgium,2021-01-10,58.0
Belgium,2021-01-17,60.0
Belgium,2021-01-24,67.0
Belgium,2021-01-31,38.0
Belgium,2021-02-07,52.0
Belgium,2021-02-14,51.0
Belgium,2021-02-21,37.0
Belgium,2021-02-28,51.0
Belgium,2021-03-07,72.0
Belgium,2021-03-14,45.0
Belgium,2021-03-21,48.0
Belgium,2021-03-28,60.0
Belgium,2021-04-04,45.0
Belgium,2021-04-11,43.0
Belgium,2021-04-18,38.0
Belgium,2021-04-25,51.0
Belgium,2021-05-02,52.0
Belgium,2021-05-09,40.0
Belgium,2021-05-16,60.0
Belgium,2021-05-23,38.0
Belgium,2021-05-30,69.0
Belgium,2021-06-06,38.0
Belgium,2021-06-13,44.0
Belgium,2021-06-20,62.0
Belgium,2021-06-27,49.0
Belgium,2021-07-04,69.0
Belgium,2021-07-11,66.0
Belgium,2021-07-18,51.0
Belgium,2021-07-25,45.0
Belgium,2021-08-01,32.0
Belgium,2021-08-08,52.0
Belgium,2021-08-15,70.0
Belgium,2021-08-22,40.0
Belgium,2021-08-29,30.0
Belgium,2021-09-05,69.0
Belgium,2021-09-12,74.0
Belgium,2021-09-19,53.0
Belgium,2021-09-26,42.0
Belgium,2021-10-03,72.0
Belgium,2021-10-10,83.0
Belgium,2021-10-17,58.0
Belgium,2021-10-24,61.0
Belgium,2021-10-31,54.0
Belgium,2021-11-07,72.0
Belgium,2021-11-14,88.0
Belgium,2021-11-21,59.0
Belgium,2021-11-28,46.0
Belgium,2021-12-05,69.0
Belgium,2021-12-12,75.0
Belgium,2021-12-19,85.0
Belgium,2021-12-26,61.0
Belgium,2022-01-02,52.0
Belgium,2022-01-09,79.0
Belgium,2022-01-16,67.0
Belgium,2022-01-23,64.0
Belgium,2022-01-30,59.0
Belgium,2022-02-06,53.0
Belgium,2022-02-13,59.0
Belgium,2022-02-20,69.0
Belgium,2022-02-27,73.0
Belgium,2022-03-06,77.0
Belgium,2022-03-13,63.0
Belgium,2022-03-20,43.0
Belgium,2022-03-27,100.0
Belgium,2022-04-03,50.0
Belgium,2022-04-10,75.0
