Country,Date,search_index
Brazil,2020-01-26,23.0
Brazil,2020-02-02,21.0
Brazil,2020-02-09,27.0
Brazil,2020-02-16,32.0
Brazil,2020-02-23,27.0
Brazil,2020-03-01,33.0
Brazil,2020-03-08,37.0
Brazil,2020-03-15,26.0
Brazil,2020-03-22,26.0
Brazil,2020-03-29,27.0
Brazil,2020-04-05,23.0
Brazil,2020-04-12,28.0
Brazil,2020-04-19,35.0
Brazil,2020-04-26,37.0
Brazil,2020-05-03,40.0
Brazil,2020-05-10,37.0
Brazil,2020-05-17,44.0
Brazil,2020-05-24,45.0
Brazil,2020-05-31,43.0
Brazil,2020-06-07,39.0
Brazil,2020-06-14,47.0
Brazil,2020-06-21,46.0
Brazil,2020-06-28,36.0
Brazil,2020-07-05,37.0
Brazil,2020-07-12,36.0
Brazil,2020-07-19,34.0
Brazil,2020-07-26,34.0
Brazil,2020-08-02,33.0
Brazil,2020-08-09,34.0
Brazil,2020-08-16,43.0
Brazil,2020-08-23,37.0
Brazil,2020-08-30,100.0
Brazil,2020-09-06,37.0
Brazil,2020-09-13,42.0
Brazil,2020-09-20,44.0
Brazil,2020-09-27,41.0
Brazil,2020-10-04,39.0
Brazil,2020-10-11,28.0
Brazil,2020-10-18,40.0
Brazil,2020-10-25,41.0
Brazil,2020-11-01,41.0
Brazil,2020-11-08,40.0
Brazil,2020-11-15,35.0
Brazil,2020-11-22,41.0
Brazil,2020-11-29,40.0
Brazil,2020-12-06,39.0
Brazil,2020-12-13,33.0
Brazil,2020-12-20,22.0
Brazil,2020-12-27,18.0
Brazil,2021-01-03,18.0
Brazil,2021-01-10,20.0
Brazil,2021-01-17,20.0
Brazil,2021-01-24,19.0
Brazil,2021-01-31,18.0
Brazil,2021-02-07,23.0
Brazil,2021-02-14,24.0
Brazil,2021-02-21,29.0
Brazil,2021-02-28,34.0
Brazil,2021-03-07,35.0
Brazil,2021-03-14,37.0
Brazil,2021-03-21,41.0
Brazil,2021-03-28,33.0
Brazil,2021-04-04,45.0
Brazil,2021-04-11,44.0
Brazil,2021-04-18,44.0
Brazil,2021-04-25,45.0
Brazil,2021-05-02,42.0
Brazil,2021-05-09,43.0
Brazil,2021-05-16,49.0
Brazil,2021-05-23,47.0
Brazil,2021-05-30,38.0
Brazil,2021-06-06,46.0
Brazil,2021-06-13,48.0
Brazil,2021-06-20,44.0
Brazil,2021-06-27,39.0
Brazil,2021-07-04,34.0
Brazil,2021-07-11,30.0
Brazil,2021-07-18,27.0
Brazil,2021-07-25,24.0
Brazil,2021-08-01,27.0
Brazil,2021-08-08,32.0
Brazil,2021-08-15,38.0
Brazil,2021-08-22,37.0
Brazil,2021-08-29,38.0
Brazil,2021-09-05,34.0
Brazil,2021-09-12,43.0
Brazil,2021-09-19,44.0
Brazil,2021-09-26,40.0
Brazil,2021-10-03,35.0
Brazil,2021-10-10,28.0
Brazil,2021-10-17,41.0
Brazil,2021-10-24,43.0
Brazil,2021-10-31,36.0
Brazil,2021-11-07,48.0
Brazil,2021-11-14,42.0
Brazil,2021-11-21,42.0
Brazil,2021-11-28,39.0
Brazil,2021-12-05,34.0
Brazil,2021-12-12,24.0
Brazil,2021-12-19,17.0
Brazil,2021-12-26,18.0
Brazil,2022-01-02,20.0
Brazil,2022-01-09,18.0
Brazil,2022-01-16,19.0
Brazil,2022-01-23,19.0
Brazil,2022-01-30,23.0
Brazil,2022-02-06,25.0
Brazil,2022-02-13,29.0
Brazil,2022-02-20,29.0
Brazil,2022-02-27,25.0
Brazil,2022-03-06,31.0
Brazil,2022-03-13,36.0
Brazil,2022-03-20,39.0
Brazil,2022-03-27,39.0
Brazil,2022-04-03,43.0
Brazil,2022-04-10,33.0
