Country,Date,search_index
China HongKong,2020-01-26,83.0
China HongKong,2020-02-02,100.0
China HongKong,2020-02-09,78.0
China HongKong,2020-02-16,68.0
China HongKong,2020-02-23,72.0
China HongKong,2020-03-01,82.0
China HongKong,2020-03-08,67.0
China HongKong,2020-03-15,78.0
China HongKong,2020-03-22,56.0
China HongKong,2020-03-29,56.0
China HongKong,2020-04-05,47.0
China HongKong,2020-04-12,50.0
China HongKong,2020-04-19,53.0
China HongKong,2020-04-26,47.0
China HongKong,2020-05-03,55.0
China HongKong,2020-05-10,46.0
China HongKong,2020-05-17,71.0
China HongKong,2020-05-24,77.0
China HongKong,2020-05-31,75.0
China HongKong,2020-06-07,66.0
China HongKong,2020-06-14,65.0
China HongKong,2020-06-21,52.0
China HongKong,2020-06-28,84.0
China HongKong,2020-07-05,97.0
China HongKong,2020-07-12,72.0
China HongKong,2020-07-19,95.0
China HongKong,2020-07-26,70.0
China HongKong,2020-08-02,74.0
China HongKong,2020-08-09,69.0
China HongKong,2020-08-16,74.0
China HongKong,2020-08-23,88.0
China HongKong,2020-08-30,77.0
China HongKong,2020-09-06,72.0
China HongKong,2020-09-13,62.0
China HongKong,2020-09-20,61.0
China HongKong,2020-09-27,45.0
China HongKong,2020-10-04,55.0
China HongKong,2020-10-11,44.0
China HongKong,2020-10-18,54.0
China HongKong,2020-10-25,46.0
China HongKong,2020-11-01,51.0
China HongKong,2020-11-08,54.0
China HongKong,2020-11-15,60.0
China HongKong,2020-11-22,49.0
China HongKong,2020-11-29,56.0
China HongKong,2020-12-06,60.0
China HongKong,2020-12-13,55.0
China HongKong,2020-12-20,43.0
China HongKong,2020-12-27,49.0
China HongKong,2021-01-03,67.0
China HongKong,2021-01-10,56.0
China HongKong,2021-01-17,51.0
China HongKong,2021-01-24,57.0
China HongKong,2021-01-31,79.0
China HongKong,2021-02-07,68.0
China HongKong,2021-02-14,62.0
China HongKong,2021-02-21,67.0
China HongKong,2021-02-28,66.0
China HongKong,2021-03-07,63.0
China HongKong,2021-03-14,55.0
China HongKong,2021-03-21,56.0
China HongKong,2021-03-28,51.0
China HongKong,2021-04-04,45.0
China HongKong,2021-04-11,54.0
China HongKong,2021-04-18,52.0
China HongKong,2021-04-25,53.0
China HongKong,2021-05-02,62.0
China HongKong,2021-05-09,52.0
China HongKong,2021-05-16,57.0
China HongKong,2021-05-23,52.0
China HongKong,2021-05-30,55.0
China HongKong,2021-06-06,59.0
China HongKong,2021-06-13,48.0
China HongKong,2021-06-20,52.0
China HongKong,2021-06-27,55.0
China HongKong,2021-07-04,61.0
China HongKong,2021-07-11,62.0
China HongKong,2021-07-18,49.0
China HongKong,2021-07-25,51.0
China HongKong,2021-08-01,52.0
China HongKong,2021-08-08,59.0
China HongKong,2021-08-15,59.0
China HongKong,2021-08-22,45.0
China HongKong,2021-08-29,45.0
China HongKong,2021-09-05,47.0
China HongKong,2021-09-12,45.0
China HongKong,2021-09-19,43.0
China HongKong,2021-09-26,42.0
China HongKong,2021-10-03,53.0
China HongKong,2021-10-10,44.0
China HongKong,2021-10-17,49.0
China HongKong,2021-10-24,49.0
China HongKong,2021-10-31,52.0
China HongKong,2021-11-07,56.0
China HongKong,2021-11-14,47.0
China HongKong,2021-11-21,38.0
China HongKong,2021-11-28,43.0
China HongKong,2021-12-05,41.0
China HongKong,2021-12-12,38.0
China HongKong,2021-12-19,37.0
China HongKong,2021-12-26,30.0
China HongKong,2022-01-02,48.0
China HongKong,2022-01-09,51.0
China HongKong,2022-01-16,46.0
China HongKong,2022-01-23,44.0
China HongKong,2022-01-30,39.0
China HongKong,2022-02-06,45.0
China HongKong,2022-02-13,49.0
China HongKong,2022-02-20,44.0
China HongKong,2022-02-27,44.0
China HongKong,2022-03-06,41.0
China HongKong,2022-03-13,44.0
China HongKong,2022-03-20,51.0
China HongKong,2022-03-27,57.0
China HongKong,2022-04-03,48.0
China HongKong,2022-04-10,49.0
