Country,Date,search_index
Germany,2020-01-26,73.0
Germany,2020-02-02,75.0
Germany,2020-02-09,71.0
Germany,2020-02-16,86.0
Germany,2020-02-23,84.0
Germany,2020-03-01,97.0
Germany,2020-03-08,97.0
Germany,2020-03-15,72.0
Germany,2020-03-22,68.0
Germany,2020-03-29,61.0
Germany,2020-04-05,47.0
Germany,2020-04-12,53.0
Germany,2020-04-19,88.0
Germany,2020-04-26,60.0
Germany,2020-05-03,77.0
Germany,2020-05-10,74.0
Germany,2020-05-17,65.0
Germany,2020-05-24,73.0
Germany,2020-05-31,80.0
Germany,2020-06-07,66.0
Germany,2020-06-14,76.0
Germany,2020-06-21,66.0
Germany,2020-06-28,60.0
Germany,2020-07-05,64.0
Germany,2020-07-12,61.0
Germany,2020-07-19,59.0
Germany,2020-07-26,55.0
Germany,2020-08-02,63.0
Germany,2020-08-09,50.0
Germany,2020-08-16,65.0
Germany,2020-08-23,73.0
Germany,2020-08-30,64.0
Germany,2020-09-06,66.0
Germany,2020-09-13,86.0
Germany,2020-09-20,80.0
Germany,2020-09-27,76.0
Germany,2020-10-04,64.0
Germany,2020-10-11,57.0
Germany,2020-10-18,64.0
Germany,2020-10-25,68.0
Germany,2020-11-01,75.0
Germany,2020-11-08,82.0
Germany,2020-11-15,77.0
Germany,2020-11-22,67.0
Germany,2020-11-29,70.0
Germany,2020-12-06,70.0
Germany,2020-12-13,65.0
Germany,2020-12-20,46.0
Germany,2020-12-27,56.0
Germany,2021-01-03,67.0
Germany,2021-01-10,79.0
Germany,2021-01-17,88.0
Germany,2021-01-24,82.0
Germany,2021-01-31,75.0
Germany,2021-02-07,71.0
Germany,2021-02-14,70.0
Germany,2021-02-21,68.0
Germany,2021-02-28,78.0
Germany,2021-03-07,72.0
Germany,2021-03-14,73.0
Germany,2021-03-21,66.0
Germany,2021-03-28,53.0
Germany,2021-04-04,55.0
Germany,2021-04-11,74.0
Germany,2021-04-18,73.0
Germany,2021-04-25,74.0
Germany,2021-05-02,76.0
Germany,2021-05-09,64.0
Germany,2021-05-16,68.0
Germany,2021-05-23,66.0
Germany,2021-05-30,53.0
Germany,2021-06-06,73.0
Germany,2021-06-13,56.0
Germany,2021-06-20,56.0
Germany,2021-06-27,57.0
Germany,2021-07-04,55.0
Germany,2021-07-11,52.0
Germany,2021-07-18,48.0
Germany,2021-07-25,52.0
Germany,2021-08-01,57.0
Germany,2021-08-08,52.0
Germany,2021-08-15,75.0
Germany,2021-08-22,62.0
Germany,2021-08-29,62.0
Germany,2021-09-05,73.0
Germany,2021-09-12,64.0
Germany,2021-09-19,83.0
Germany,2021-09-26,79.0
Germany,2021-10-03,67.0
Germany,2021-10-10,64.0
Germany,2021-10-17,62.0
Germany,2021-10-24,69.0
Germany,2021-10-31,73.0
Germany,2021-11-07,93.0
Germany,2021-11-14,86.0
Germany,2021-11-21,83.0
Germany,2021-11-28,85.0
Germany,2021-12-05,85.0
Germany,2021-12-12,66.0
Germany,2021-12-19,80.0
Germany,2021-12-26,69.0
Germany,2022-01-02,74.0
Germany,2022-01-09,99.0
Germany,2022-01-16,91.0
Germany,2022-01-23,85.0
Germany,2022-01-30,82.0
Germany,2022-02-06,83.0
Germany,2022-02-13,71.0
Germany,2022-02-20,87.0
Germany,2022-02-27,93.0
Germany,2022-03-06,95.0
Germany,2022-03-13,100.0
Germany,2022-03-20,95.0
Germany,2022-03-27,84.0
Germany,2022-04-03,73.0
Germany,2022-04-10,78.0
