Country,Date,search_index
Saudi Arabia,2020-01-26,76.0
Saudi Arabia,2020-02-02,81.0
Saudi Arabia,2020-02-09,69.0
Saudi Arabia,2020-02-16,100.0
Saudi Arabia,2020-02-23,88.0
Saudi Arabia,2020-03-01,67.0
Saudi Arabia,2020-03-08,56.0
Saudi Arabia,2020-03-15,62.0
Saudi Arabia,2020-03-22,56.0
Saudi Arabia,2020-03-29,32.0
Saudi Arabia,2020-04-05,34.0
Saudi Arabia,2020-04-12,38.0
Saudi Arabia,2020-04-19,63.0
Saudi Arabia,2020-04-26,27.0
Saudi Arabia,2020-05-03,56.0
Saudi Arabia,2020-05-10,53.0
Saudi Arabia,2020-05-17,69.0
Saudi Arabia,2020-05-24,81.0
Saudi Arabia,2020-05-31,61.0
Saudi Arabia,2020-06-07,77.0
Saudi Arabia,2020-06-14,49.0
Saudi Arabia,2020-06-21,60.0
Saudi Arabia,2020-06-28,67.0
Saudi Arabia,2020-07-05,84.0
Saudi Arabia,2020-07-12,64.0
Saudi Arabia,2020-07-19,83.0
Saudi Arabia,2020-07-26,68.0
Saudi Arabia,2020-08-02,99.0
Saudi Arabia,2020-08-09,88.0
Saudi Arabia,2020-08-16,85.0
Saudi Arabia,2020-08-23,71.0
Saudi Arabia,2020-08-30,46.0
Saudi Arabia,2020-09-06,67.0
Saudi Arabia,2020-09-13,76.0
Saudi Arabia,2020-09-20,79.0
Saudi Arabia,2020-09-27,72.0
Saudi Arabia,2020-10-04,54.0
Saudi Arabia,2020-10-11,63.0
Saudi Arabia,2020-10-18,52.0
Saudi Arabia,2020-10-25,62.0
Saudi Arabia,2020-11-01,44.0
Saudi Arabia,2020-11-08,62.0
Saudi Arabia,2020-11-15,60.0
Saudi Arabia,2020-11-22,32.0
Saudi Arabia,2020-11-29,59.0
Saudi Arabia,2020-12-06,64.0
Saudi Arabia,2020-12-13,55.0
Saudi Arabia,2020-12-20,47.0
Saudi Arabia,2020-12-27,41.0
Saudi Arabia,2021-01-03,68.0
Saudi Arabia,2021-01-10,84.0
Saudi Arabia,2021-01-17,64.0
Saudi Arabia,2021-01-24,68.0
Saudi Arabia,2021-01-31,56.0
Saudi Arabia,2021-02-07,52.0
Saudi Arabia,2021-02-14,36.0
Saudi Arabia,2021-02-21,63.0
Saudi Arabia,2021-02-28,50.0
Saudi Arabia,2021-03-07,39.0
Saudi Arabia,2021-03-14,57.0
Saudi Arabia,2021-03-21,30.0
Saudi Arabia,2021-03-28,46.0
Saudi Arabia,2021-04-04,35.0
Saudi Arabia,2021-04-11,38.0
Saudi Arabia,2021-04-18,46.0
Saudi Arabia,2021-04-25,52.0
Saudi Arabia,2021-05-02,62.0
Saudi Arabia,2021-05-09,54.0
Saudi Arabia,2021-05-16,77.0
Saudi Arabia,2021-05-23,43.0
Saudi Arabia,2021-05-30,67.0
Saudi Arabia,2021-06-06,60.0
Saudi Arabia,2021-06-13,57.0
Saudi Arabia,2021-06-20,59.0
Saudi Arabia,2021-06-27,61.0
Saudi Arabia,2021-07-04,58.0
Saudi Arabia,2021-07-11,78.0
Saudi Arabia,2021-07-18,76.0
Saudi Arabia,2021-07-25,75.0
Saudi Arabia,2021-08-01,77.0
Saudi Arabia,2021-08-08,46.0
Saudi Arabia,2021-08-15,64.0
Saudi Arabia,2021-08-22,61.0
Saudi Arabia,2021-08-29,68.0
Saudi Arabia,2021-09-05,47.0
Saudi Arabia,2021-09-12,56.0
Saudi Arabia,2021-09-19,63.0
Saudi Arabia,2021-09-26,44.0
Saudi Arabia,2021-10-03,54.0
Saudi Arabia,2021-10-10,55.0
Saudi Arabia,2021-10-17,50.0
Saudi Arabia,2021-10-24,58.0
Saudi Arabia,2021-10-31,37.0
Saudi Arabia,2021-11-07,47.0
Saudi Arabia,2021-11-14,49.0
Saudi Arabia,2021-11-21,53.0
Saudi Arabia,2021-11-28,54.0
Saudi Arabia,2021-12-05,50.0
Saudi Arabia,2021-12-12,52.0
Saudi Arabia,2021-12-19,47.0
Saudi Arabia,2021-12-26,27.0
Saudi Arabia,2022-01-02,35.0
Saudi Arabia,2022-01-09,44.0
Saudi Arabia,2022-01-16,50.0
Saudi Arabia,2022-01-23,32.0
Saudi Arabia,2022-01-30,46.0
Saudi Arabia,2022-02-06,46.0
Saudi Arabia,2022-02-13,42.0
Saudi Arabia,2022-02-20,45.0
Saudi Arabia,2022-02-27,31.0
Saudi Arabia,2022-03-06,32.0
Saudi Arabia,2022-03-13,54.0
Saudi Arabia,2022-03-20,58.0
Saudi Arabia,2022-03-27,43.0
Saudi Arabia,2022-04-03,37.0
Saudi Arabia,2022-04-10,38.0
