Country,Date,search_index
Turkey,2020-01-26,18.0
Turkey,2020-02-02,21.0
Turkey,2020-02-09,18.0
Turkey,2020-02-16,21.0
Turkey,2020-02-23,63.0
Turkey,2020-03-01,100.0
Turkey,2020-03-08,28.0
Turkey,2020-03-15,17.0
Turkey,2020-03-22,14.0
Turkey,2020-03-29,17.0
Turkey,2020-04-05,17.0
Turkey,2020-04-12,17.0
Turkey,2020-04-19,18.0
Turkey,2020-04-26,18.0
Turkey,2020-05-03,16.0
Turkey,2020-05-10,15.0
Turkey,2020-05-17,17.0
Turkey,2020-05-24,18.0
Turkey,2020-05-31,16.0
Turkey,2020-06-07,17.0
Turkey,2020-06-14,16.0
Turkey,2020-06-21,19.0
Turkey,2020-06-28,18.0
Turkey,2020-07-05,20.0
Turkey,2020-07-12,17.0
Turkey,2020-07-19,19.0
Turkey,2020-07-26,14.0
Turkey,2020-08-02,19.0
Turkey,2020-08-09,19.0
Turkey,2020-08-16,20.0
Turkey,2020-08-23,19.0
Turkey,2020-08-30,18.0
Turkey,2020-09-06,20.0
Turkey,2020-09-13,17.0
Turkey,2020-09-20,19.0
Turkey,2020-09-27,18.0
Turkey,2020-10-04,19.0
Turkey,2020-10-11,18.0
Turkey,2020-10-18,17.0
Turkey,2020-10-25,17.0
Turkey,2020-11-01,22.0
Turkey,2020-11-08,21.0
Turkey,2020-11-15,17.0
Turkey,2020-11-22,15.0
Turkey,2020-11-29,16.0
Turkey,2020-12-06,18.0
Turkey,2020-12-13,20.0
Turkey,2020-12-20,17.0
Turkey,2020-12-27,15.0
Turkey,2021-01-03,16.0
Turkey,2021-01-10,17.0
Turkey,2021-01-17,19.0
Turkey,2021-01-24,20.0
Turkey,2021-01-31,18.0
Turkey,2021-02-07,17.0
Turkey,2021-02-14,13.0
Turkey,2021-02-21,18.0
Turkey,2021-02-28,17.0
Turkey,2021-03-07,14.0
Turkey,2021-03-14,16.0
Turkey,2021-03-21,18.0
Turkey,2021-03-28,17.0
Turkey,2021-04-04,16.0
Turkey,2021-04-11,16.0
Turkey,2021-04-18,18.0
Turkey,2021-04-25,17.0
Turkey,2021-05-02,17.0
Turkey,2021-05-09,16.0
Turkey,2021-05-16,20.0
Turkey,2021-05-23,23.0
Turkey,2021-05-30,19.0
Turkey,2021-06-06,19.0
Turkey,2021-06-13,18.0
Turkey,2021-06-20,21.0
Turkey,2021-06-27,20.0
Turkey,2021-07-04,19.0
Turkey,2021-07-11,25.0
Turkey,2021-07-18,28.0
Turkey,2021-07-25,44.0
Turkey,2021-08-01,34.0
Turkey,2021-08-08,41.0
Turkey,2021-08-15,39.0
Turkey,2021-08-22,32.0
Turkey,2021-08-29,26.0
Turkey,2021-09-05,26.0
Turkey,2021-09-12,23.0
Turkey,2021-09-19,24.0
Turkey,2021-09-26,23.0
Turkey,2021-10-03,23.0
Turkey,2021-10-10,22.0
Turkey,2021-10-17,22.0
Turkey,2021-10-24,21.0
Turkey,2021-10-31,22.0
Turkey,2021-11-07,21.0
Turkey,2021-11-14,20.0
Turkey,2021-11-21,21.0
Turkey,2021-11-28,19.0
Turkey,2021-12-05,24.0
Turkey,2021-12-12,21.0
Turkey,2021-12-19,20.0
Turkey,2021-12-26,20.0
Turkey,2022-01-02,22.0
Turkey,2022-01-09,21.0
Turkey,2022-01-16,20.0
Turkey,2022-01-23,19.0
Turkey,2022-01-30,25.0
Turkey,2022-02-06,20.0
Turkey,2022-02-13,23.0
Turkey,2022-02-20,21.0
Turkey,2022-02-27,18.0
Turkey,2022-03-06,18.0
Turkey,2022-03-13,21.0
Turkey,2022-03-20,23.0
Turkey,2022-03-27,22.0
Turkey,2022-04-03,21.0
Turkey,2022-04-10,22.0
