Category: All categories

Week,Lockdown: (Australia)
2020-01-26,1
2020-02-02,1
2020-02-09,1
2020-02-16,<1
2020-02-23,1
2020-03-01,1
2020-03-08,9
2020-03-15,37
2020-03-22,77
2020-03-29,30
2020-04-05,12
2020-04-12,10
2020-04-19,8
2020-04-26,7
2020-05-03,6
2020-05-10,6
2020-05-17,3
2020-05-24,3
2020-05-31,2
2020-06-07,2
2020-06-14,2
2020-06-21,3
2020-06-28,27
2020-07-05,43
2020-07-12,18
2020-07-19,9
2020-07-26,11
2020-08-02,25
2020-08-09,9
2020-08-16,9
2020-08-23,8
2020-08-30,8
2020-09-06,10
2020-09-13,8
2020-09-20,6
2020-09-27,5
2020-10-04,4
2020-10-11,6
2020-10-18,4
2020-10-25,6
2020-11-01,4
2020-11-08,2
2020-11-15,12
2020-11-22,2
2020-11-29,1
2020-12-06,1
2020-12-13,5
2020-12-20,6
2020-12-27,4
2021-01-03,23
2021-01-10,8
2021-01-17,2
2021-01-24,1
2021-01-31,30
2021-02-07,38
2021-02-14,20
2021-02-21,3
2021-02-28,2
2021-03-07,2
2021-03-14,3
2021-03-21,3
2021-03-28,41
2021-04-04,2
2021-04-11,1
2021-04-18,18
2021-04-25,12
2021-05-02,5
2021-05-09,2
2021-05-16,1
2021-05-23,45
2021-05-30,38
2021-06-06,16
2021-06-13,5
2021-06-20,41
2021-06-27,99
2021-07-04,31
2021-07-11,79
2021-07-18,75
2021-07-25,79
2021-08-01,100
2021-08-08,89
2021-08-15,79
2021-08-22,43
2021-08-29,42
2021-09-05,42
2021-09-12,31
2021-09-19,35
2021-09-26,34
2021-10-03,22
2021-10-10,18
2021-10-17,15
2021-10-24,6
2021-10-31,4
2021-11-07,3
2021-11-14,4
2021-11-21,3
2021-11-28,3
2021-12-05,4
2021-12-12,4
2021-12-19,7
2021-12-26,4
2022-01-02,9
2022-01-09,4
2022-01-16,2
2022-01-23,1
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,1
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
