Category: All categories

Week,Lockdown: (Germany)
2020-01-26,1
2020-02-02,<1
2020-02-09,<1
2020-02-16,<1
2020-02-23,1
2020-03-01,1
2020-03-08,15
2020-03-15,29
2020-03-22,20
2020-03-29,12
2020-04-05,14
2020-04-12,17
2020-04-19,11
2020-04-26,12
2020-05-03,11
2020-05-10,10
2020-05-17,7
2020-05-24,7
2020-05-31,4
2020-06-07,5
2020-06-14,4
2020-06-21,13
2020-06-28,6
2020-07-05,6
2020-07-12,5
2020-07-19,4
2020-07-26,5
2020-08-02,7
2020-08-09,7
2020-08-16,6
2020-08-23,6
2020-08-30,5
2020-09-06,5
2020-09-13,7
2020-09-20,7
2020-09-27,7
2020-10-04,8
2020-10-11,14
2020-10-18,23
2020-10-25,83
2020-11-01,30
2020-11-08,16
2020-11-15,17
2020-11-22,16
2020-11-29,12
2020-12-06,51
2020-12-13,100
2020-12-20,22
2020-12-27,25
2021-01-03,59
2021-01-10,37
2021-01-17,39
2021-01-24,18
2021-01-31,27
2021-02-07,48
2021-02-14,18
2021-02-21,19
2021-02-28,40
2021-03-07,13
2021-03-14,18
2021-03-21,45
2021-03-28,19
2021-04-04,27
2021-04-11,26
2021-04-18,22
2021-04-25,16
2021-05-02,10
2021-05-09,11
2021-05-16,8
2021-05-23,6
2021-05-30,5
2021-06-06,3
2021-06-13,4
2021-06-20,3
2021-06-27,5
2021-07-04,4
2021-07-11,4
2021-07-18,5
2021-07-25,5
2021-08-01,4
2021-08-08,5
2021-08-15,5
2021-08-22,4
2021-08-29,3
2021-09-05,3
2021-09-12,3
2021-09-19,2
2021-09-26,3
2021-10-03,2
2021-10-10,2
2021-10-17,3
2021-10-24,4
2021-10-31,5
2021-11-07,10
2021-11-14,25
2021-11-21,24
2021-11-28,25
2021-12-05,10
2021-12-12,8
2021-12-19,21
2021-12-26,10
2022-01-02,7
2022-01-09,6
2022-01-16,4
2022-01-23,4
2022-01-30,3
2022-02-06,2
2022-02-13,2
2022-02-20,1
2022-02-27,2
2022-03-06,2
2022-03-13,3
2022-03-20,1
2022-03-27,6
2022-04-03,4
2022-04-10,5
