Category: All categories

Week,lockdown: (Israel)
2020-01-26,1
2020-02-02,1
2020-02-09,3
2020-02-16,1
2020-02-23,1
2020-03-01,2
2020-03-08,20
2020-03-15,40
2020-03-22,43
2020-03-29,22
2020-04-05,36
2020-04-12,26
2020-04-19,21
2020-04-26,20
2020-05-03,24
2020-05-10,17
2020-05-17,13
2020-05-24,24
2020-05-31,12
2020-06-07,6
2020-06-14,13
2020-06-21,8
2020-06-28,8
2020-07-05,20
2020-07-12,28
2020-07-19,11
2020-07-26,7
2020-08-02,8
2020-08-09,7
2020-08-16,3
2020-08-23,5
2020-08-30,6
2020-09-06,44
2020-09-13,97
2020-09-20,61
2020-09-27,43
2020-10-04,42
2020-10-11,49
2020-10-18,26
2020-10-25,31
2020-11-01,21
2020-11-08,12
2020-11-15,5
2020-11-22,14
2020-11-29,17
2020-12-06,21
2020-12-13,16
2020-12-20,68
2020-12-27,36
2021-01-03,59
2021-01-10,29
2021-01-17,33
2021-01-24,45
2021-01-31,100
2021-02-07,34
2021-02-14,19
2021-02-21,20
2021-02-28,11
2021-03-07,9
2021-03-14,10
2021-03-21,15
2021-03-28,11
2021-04-04,9
2021-04-11,8
2021-04-18,8
2021-04-25,8
2021-05-02,10
2021-05-09,7
2021-05-16,6
2021-05-23,3
2021-05-30,2
2021-06-06,2
2021-06-13,8
2021-06-20,3
2021-06-27,7
2021-07-04,5
2021-07-11,6
2021-07-18,8
2021-07-25,7
2021-08-01,11
2021-08-08,15
2021-08-15,11
2021-08-22,8
2021-08-29,5
2021-09-05,7
2021-09-12,6
2021-09-19,2
2021-09-26,4
2021-10-03,3
2021-10-10,5
2021-10-17,5
2021-10-24,4
2021-10-31,5
2021-11-07,4
2021-11-14,18
2021-11-21,12
2021-11-28,7
2021-12-05,3
2021-12-12,11
2021-12-19,10
2021-12-26,9
2022-01-02,8
2022-01-09,4
2022-01-16,5
2022-01-23,1
2022-01-30,2
2022-02-06,1
2022-02-13,1
2022-02-20,4
2022-02-27,0
2022-03-06,3
2022-03-13,1
2022-03-20,1
2022-03-27,3
2022-04-03,3
2022-04-10,4
