Category: All categories

Week,lockdown: (South Korea)
2020-01-26,14
2020-02-02,8
2020-02-09,7
2020-02-16,14
2020-02-23,8
2020-03-01,7
2020-03-08,30
2020-03-15,88
2020-03-22,95
2020-03-29,85
2020-04-05,90
2020-04-12,100
2020-04-19,85
2020-04-26,86
2020-05-03,76
2020-05-10,87
2020-05-17,59
2020-05-24,68
2020-05-31,57
2020-06-07,41
2020-06-14,41
2020-06-21,41
2020-06-28,29
2020-07-05,37
2020-07-12,32
2020-07-19,25
2020-07-26,23
2020-08-02,31
2020-08-09,36
2020-08-16,24
2020-08-23,26
2020-08-30,16
2020-09-06,20
2020-09-13,18
2020-09-20,24
2020-09-27,18
2020-10-04,7
2020-10-11,16
2020-10-18,33
2020-10-25,29
2020-11-01,44
2020-11-08,39
2020-11-15,36
2020-11-22,27
2020-11-29,22
2020-12-06,39
2020-12-13,40
2020-12-20,33
2020-12-27,19
2021-01-03,33
2021-01-10,31
2021-01-17,14
2021-01-24,19
2021-01-31,23
2021-02-07,24
2021-02-14,25
2021-02-21,18
2021-02-28,18
2021-03-07,19
2021-03-14,17
2021-03-21,23
2021-03-28,17
2021-04-04,27
2021-04-11,30
2021-04-18,34
2021-04-25,30
2021-05-02,19
2021-05-09,22
2021-05-16,14
2021-05-23,16
2021-05-30,30
2021-06-06,27
2021-06-13,27
2021-06-20,28
2021-06-27,29
2021-07-04,26
2021-07-11,21
2021-07-18,30
2021-07-25,22
2021-08-01,28
2021-08-08,27
2021-08-15,22
2021-08-22,13
2021-08-29,26
2021-09-05,14
2021-09-12,19
2021-09-19,13
2021-09-26,12
2021-10-03,2
2021-10-10,13
2021-10-17,11
2021-10-24,17
2021-10-31,5
2021-11-07,6
2021-11-14,17
2021-11-21,22
2021-11-28,14
2021-12-05,8
2021-12-12,11
2021-12-19,16
2021-12-26,7
2022-01-02,21
2022-01-09,15
2022-01-16,5
2022-01-23,20
2022-01-30,8
2022-02-06,9
2022-02-13,6
2022-02-20,3
2022-02-27,7
2022-03-06,6
2022-03-13,15
2022-03-20,13
2022-03-27,14
2022-04-03,22
2022-04-10,23
