Category: All categories

Week,lockdown: (Thailand)
2020-01-26,3
2020-02-02,3
2020-02-09,2
2020-02-16,2
2020-02-23,2
2020-03-01,3
2020-03-08,22
2020-03-15,100
2020-03-22,88
2020-03-29,52
2020-04-05,55
2020-04-12,46
2020-04-19,50
2020-04-26,49
2020-05-03,31
2020-05-10,30
2020-05-17,26
2020-05-24,22
2020-05-31,21
2020-06-07,13
2020-06-14,11
2020-06-21,10
2020-06-28,11
2020-07-05,12
2020-07-12,15
2020-07-19,6
2020-07-26,9
2020-08-02,9
2020-08-09,8
2020-08-16,6
2020-08-23,6
2020-08-30,6
2020-09-06,7
2020-09-13,7
2020-09-20,8
2020-09-27,6
2020-10-04,6
2020-10-11,6
2020-10-18,5
2020-10-25,13
2020-11-01,14
2020-11-08,6
2020-11-15,7
2020-11-22,8
2020-11-29,5
2020-12-06,7
2020-12-13,14
2020-12-20,78
2020-12-27,51
2021-01-03,52
2021-01-10,15
2021-01-17,10
2021-01-24,9
2021-01-31,8
2021-02-07,6
2021-02-14,6
2021-02-21,3
2021-02-28,3
2021-03-07,5
2021-03-14,9
2021-03-21,5
2021-03-28,7
2021-04-04,17
2021-04-11,29
2021-04-18,19
2021-04-25,42
2021-05-02,17
2021-05-09,13
2021-05-16,11
2021-05-23,11
2021-05-30,13
2021-06-06,9
2021-06-13,8
2021-06-20,26
2021-06-27,43
2021-07-04,94
2021-07-11,46
2021-07-18,62
2021-07-25,37
2021-08-01,34
2021-08-08,23
2021-08-15,21
2021-08-22,21
2021-08-29,17
2021-09-05,10
2021-09-12,8
2021-09-19,10
2021-09-26,13
2021-10-03,11
2021-10-10,7
2021-10-17,7
2021-10-24,6
2021-10-31,12
2021-11-07,9
2021-11-14,8
2021-11-21,6
2021-11-28,11
2021-12-05,6
2021-12-12,6
2021-12-19,8
2021-12-26,7
2022-01-02,14
2022-01-09,12
2022-01-16,3
2022-01-23,7
2022-01-30,5
2022-02-06,4
2022-02-13,4
2022-02-20,7
2022-02-27,5
2022-03-06,3
2022-03-13,9
2022-03-20,4
2022-03-27,9
2022-04-03,8
2022-04-10,7
