Category: All categories

Week,lockdown: (United Arab Emirates)
2020-01-26,2
2020-02-02,1
2020-02-09,1
2020-02-16,<1
2020-02-23,3
2020-03-01,2
2020-03-08,25
2020-03-15,46
2020-03-22,100
2020-03-29,62
2020-04-05,81
2020-04-12,90
2020-04-19,72
2020-04-26,46
2020-05-03,37
2020-05-10,45
2020-05-17,62
2020-05-24,67
2020-05-31,40
2020-06-07,42
2020-06-14,44
2020-06-21,45
2020-06-28,29
2020-07-05,20
2020-07-12,16
2020-07-19,15
2020-07-26,15
2020-08-02,10
2020-08-09,8
2020-08-16,15
2020-08-23,20
2020-08-30,11
2020-09-06,13
2020-09-13,10
2020-09-20,12
2020-09-27,9
2020-10-04,8
2020-10-11,9
2020-10-18,8
2020-10-25,13
2020-11-01,18
2020-11-08,10
2020-11-15,12
2020-11-22,16
2020-11-29,9
2020-12-06,6
2020-12-13,13
2020-12-20,31
2020-12-27,14
2021-01-03,20
2021-01-10,11
2021-01-17,12
2021-01-24,17
2021-01-31,15
2021-02-07,11
2021-02-14,9
2021-02-21,12
2021-02-28,6
2021-03-07,9
2021-03-14,13
2021-03-21,16
2021-03-28,15
2021-04-04,18
2021-04-11,17
2021-04-18,21
2021-04-25,19
2021-05-02,18
2021-05-09,14
2021-05-16,12
2021-05-23,12
2021-05-30,11
2021-06-06,10
2021-06-13,10
2021-06-20,7
2021-06-27,7
2021-07-04,8
2021-07-11,11
2021-07-18,15
2021-07-25,11
2021-08-01,9
2021-08-08,5
2021-08-15,9
2021-08-22,4
2021-08-29,3
2021-09-05,4
2021-09-12,3
2021-09-19,3
2021-09-26,3
2021-10-03,2
2021-10-10,2
2021-10-17,3
2021-10-24,4
2021-10-31,3
2021-11-07,3
2021-11-14,7
2021-11-21,8
2021-11-28,11
2021-12-05,7
2021-12-12,7
2021-12-19,10
2021-12-26,8
2022-01-02,12
2022-01-09,7
2022-01-16,4
2022-01-23,2
2022-01-30,3
2022-02-06,2
2022-02-13,2
2022-02-20,1
2022-02-27,2
2022-03-06,2
2022-03-13,5
2022-03-20,3
2022-03-27,2
2022-04-03,2
2022-04-10,4
