Category: All categories

Week,lockdown: (Vietnam)
2020-01-26,3
2020-02-02,2
2020-02-09,2
2020-02-16,1
2020-02-23,2
2020-03-01,2
2020-03-08,8
2020-03-15,18
2020-03-22,26
2020-03-29,35
2020-04-05,18
2020-04-12,20
2020-04-19,17
2020-04-26,11
2020-05-03,12
2020-05-10,9
2020-05-17,9
2020-05-24,9
2020-05-31,6
2020-06-07,7
2020-06-14,4
2020-06-21,6
2020-06-28,5
2020-07-05,6
2020-07-12,9
2020-07-19,6
2020-07-26,17
2020-08-02,9
2020-08-09,5
2020-08-16,6
2020-08-23,5
2020-08-30,4
2020-09-06,5
2020-09-13,4
2020-09-20,4
2020-09-27,3
2020-10-04,2
2020-10-11,4
2020-10-18,2
2020-10-25,7
2020-11-01,8
2020-11-08,4
2020-11-15,6
2020-11-22,3
2020-11-29,5
2020-12-06,4
2020-12-13,7
2020-12-20,6
2020-12-27,4
2021-01-03,5
2021-01-10,4
2021-01-17,4
2021-01-24,4
2021-01-31,8
2021-02-07,14
2021-02-14,7
2021-02-21,4
2021-02-28,4
2021-03-07,2
2021-03-14,3
2021-03-21,3
2021-03-28,5
2021-04-04,4
2021-04-11,5
2021-04-18,4
2021-04-25,7
2021-05-02,10
2021-05-09,8
2021-05-16,10
2021-05-23,10
2021-05-30,20
2021-06-06,8
2021-06-13,11
2021-06-20,10
2021-06-27,10
2021-07-04,59
2021-07-11,39
2021-07-18,29
2021-07-25,23
2021-08-01,22
2021-08-08,16
2021-08-15,100
2021-08-22,33
2021-08-29,20
2021-09-05,15
2021-09-12,13
2021-09-19,10
2021-09-26,10
2021-10-03,6
2021-10-10,5
2021-10-17,5
2021-10-24,7
2021-10-31,6
2021-11-07,8
2021-11-14,6
2021-11-21,6
2021-11-28,4
2021-12-05,2
2021-12-12,4
2021-12-19,5
2021-12-26,3
2022-01-02,5
2022-01-09,6
2022-01-16,5
2022-01-23,5
2022-01-30,3
2022-02-06,3
2022-02-13,4
2022-02-20,2
2022-02-27,2
2022-03-06,2
2022-03-13,4
2022-03-20,6
2022-03-27,4
2022-04-03,4
2022-04-10,4
