Country,Date,search_index
Australia,2020-01-26,1.0
Australia,2020-02-02,1.0
Australia,2020-02-09,1.0
Australia,2020-02-16,0
Australia,2020-02-23,1.0
Australia,2020-03-01,1.0
Australia,2020-03-08,9.0
Australia,2020-03-15,37.0
Australia,2020-03-22,77.0
Australia,2020-03-29,30.0
Australia,2020-04-05,12.0
Australia,2020-04-12,10.0
Australia,2020-04-19,8.0
Australia,2020-04-26,7.0
Australia,2020-05-03,6.0
Australia,2020-05-10,6.0
Australia,2020-05-17,3.0
Australia,2020-05-24,3.0
Australia,2020-05-31,2.0
Australia,2020-06-07,2.0
Australia,2020-06-14,2.0
Australia,2020-06-21,3.0
Australia,2020-06-28,27.0
Australia,2020-07-05,43.0
Australia,2020-07-12,18.0
Australia,2020-07-19,9.0
Australia,2020-07-26,11.0
Australia,2020-08-02,25.0
Australia,2020-08-09,9.0
Australia,2020-08-16,9.0
Australia,2020-08-23,8.0
Australia,2020-08-30,8.0
Australia,2020-09-06,10.0
Australia,2020-09-13,8.0
Australia,2020-09-20,6.0
Australia,2020-09-27,5.0
Australia,2020-10-04,4.0
Australia,2020-10-11,6.0
Australia,2020-10-18,4.0
Australia,2020-10-25,6.0
Australia,2020-11-01,4.0
Australia,2020-11-08,2.0
Australia,2020-11-15,12.0
Australia,2020-11-22,2.0
Australia,2020-11-29,1.0
Australia,2020-12-06,1.0
Australia,2020-12-13,5.0
Australia,2020-12-20,6.0
Australia,2020-12-27,4.0
Australia,2021-01-03,23.0
Australia,2021-01-10,8.0
Australia,2021-01-17,2.0
Australia,2021-01-24,1.0
Australia,2021-01-31,30.0
Australia,2021-02-07,38.0
Australia,2021-02-14,20.0
Australia,2021-02-21,3.0
Australia,2021-02-28,2.0
Australia,2021-03-07,2.0
Australia,2021-03-14,3.0
Australia,2021-03-21,3.0
Australia,2021-03-28,41.0
Australia,2021-04-04,2.0
Australia,2021-04-11,1.0
Australia,2021-04-18,18.0
Australia,2021-04-25,12.0
Australia,2021-05-02,5.0
Australia,2021-05-09,2.0
Australia,2021-05-16,1.0
Australia,2021-05-23,45.0
Australia,2021-05-30,38.0
Australia,2021-06-06,16.0
Australia,2021-06-13,5.0
Australia,2021-06-20,41.0
Australia,2021-06-27,99.0
Australia,2021-07-04,31.0
Australia,2021-07-11,79.0
Australia,2021-07-18,75.0
Australia,2021-07-25,79.0
Australia,2021-08-01,100.0
Australia,2021-08-08,89.0
Australia,2021-08-15,79.0
Australia,2021-08-22,43.0
Australia,2021-08-29,42.0
Australia,2021-09-05,42.0
Australia,2021-09-12,31.0
Australia,2021-09-19,35.0
Australia,2021-09-26,34.0
Australia,2021-10-03,22.0
Australia,2021-10-10,18.0
Australia,2021-10-17,15.0
Australia,2021-10-24,6.0
Australia,2021-10-31,4.0
Australia,2021-11-07,3.0
Australia,2021-11-14,4.0
Australia,2021-11-21,3.0
Australia,2021-11-28,3.0
Australia,2021-12-05,4.0
Australia,2021-12-12,4.0
Australia,2021-12-19,7.0
Australia,2021-12-26,4.0
Australia,2022-01-02,9.0
Australia,2022-01-09,4.0
Australia,2022-01-16,2.0
Australia,2022-01-23,1.0
Australia,2022-01-30,1.0
Australia,2022-02-06,1.0
Australia,2022-02-13,1.0
Australia,2022-02-20,1.0
Australia,2022-02-27,1.0
Australia,2022-03-06,1.0
Australia,2022-03-13,1.0
Australia,2022-03-20,1.0
Australia,2022-03-27,1.0
Australia,2022-04-03,1.0
Australia,2022-04-10,1.0
