Country,Date,search_index
Canada,2020-01-26,1.0
Canada,2020-02-02,1.0
Canada,2020-02-09,0
Canada,2020-02-16,1.0
Canada,2020-02-23,1.0
Canada,2020-03-01,1.0
Canada,2020-03-08,8.0
Canada,2020-03-15,28.0
Canada,2020-03-22,28.0
Canada,2020-03-29,12.0
Canada,2020-04-05,9.0
Canada,2020-04-12,8.0
Canada,2020-04-19,8.0
Canada,2020-04-26,7.0
Canada,2020-05-03,6.0
Canada,2020-05-10,6.0
Canada,2020-05-17,5.0
Canada,2020-05-24,3.0
Canada,2020-05-31,3.0
Canada,2020-06-07,2.0
Canada,2020-06-14,2.0
Canada,2020-06-21,2.0
Canada,2020-06-28,2.0
Canada,2020-07-05,2.0
Canada,2020-07-12,2.0
Canada,2020-07-19,2.0
Canada,2020-07-26,1.0
Canada,2020-08-02,2.0
Canada,2020-08-09,2.0
Canada,2020-08-16,1.0
Canada,2020-08-23,1.0
Canada,2020-08-30,1.0
Canada,2020-09-06,2.0
Canada,2020-09-13,3.0
Canada,2020-09-20,3.0
Canada,2020-09-27,5.0
Canada,2020-10-04,4.0
Canada,2020-10-11,4.0
Canada,2020-10-18,3.0
Canada,2020-10-25,5.0
Canada,2020-11-01,7.0
Canada,2020-11-08,13.0
Canada,2020-11-15,36.0
Canada,2020-11-22,30.0
Canada,2020-11-29,12.0
Canada,2020-12-06,21.0
Canada,2020-12-13,36.0
Canada,2020-12-20,100.0
Canada,2020-12-27,24.0
Canada,2021-01-03,36.0
Canada,2021-01-10,48.0
Canada,2021-01-17,22.0
Canada,2021-01-24,21.0
Canada,2021-01-31,23.0
Canada,2021-02-07,23.0
Canada,2021-02-14,15.0
Canada,2021-02-21,11.0
Canada,2021-02-28,15.0
Canada,2021-03-07,9.0
Canada,2021-03-14,10.0
Canada,2021-03-21,11.0
Canada,2021-03-28,64.0
Canada,2021-04-04,42.0
Canada,2021-04-11,32.0
Canada,2021-04-18,17.0
Canada,2021-04-25,17.0
Canada,2021-05-02,19.0
Canada,2021-05-09,27.0
Canada,2021-05-16,14.0
Canada,2021-05-23,13.0
Canada,2021-05-30,17.0
Canada,2021-06-06,7.0
Canada,2021-06-13,3.0
Canada,2021-06-20,3.0
Canada,2021-06-27,3.0
Canada,2021-07-04,2.0
Canada,2021-07-11,2.0
Canada,2021-07-18,2.0
Canada,2021-07-25,2.0
Canada,2021-08-01,3.0
Canada,2021-08-08,3.0
Canada,2021-08-15,3.0
Canada,2021-08-22,4.0
Canada,2021-08-29,3.0
Canada,2021-09-05,3.0
Canada,2021-09-12,3.0
Canada,2021-09-19,2.0
Canada,2021-09-26,5.0
Canada,2021-10-03,2.0
Canada,2021-10-10,1.0
Canada,2021-10-17,3.0
Canada,2021-10-24,3.0
Canada,2021-10-31,2.0
Canada,2021-11-07,3.0
Canada,2021-11-14,5.0
Canada,2021-11-21,3.0
Canada,2021-11-28,5.0
Canada,2021-12-05,4.0
Canada,2021-12-12,10.0
Canada,2021-12-19,16.0
Canada,2021-12-26,10.0
Canada,2022-01-02,17.0
Canada,2022-01-09,9.0
Canada,2022-01-16,7.0
Canada,2022-01-23,4.0
Canada,2022-01-30,4.0
Canada,2022-02-06,3.0
Canada,2022-02-13,2.0
Canada,2022-02-20,2.0
Canada,2022-02-27,2.0
Canada,2022-03-06,2.0
Canada,2022-03-13,3.0
Canada,2022-03-20,1.0
Canada,2022-03-27,3.0
Canada,2022-04-03,2.0
Canada,2022-04-10,2.0
