Country,Date,search_index
India,2020-01-26,0
India,2020-02-02,0
India,2020-02-09,0
India,2020-02-16,0
India,2020-02-23,0
India,2020-03-01,0
India,2020-03-08,1.0
India,2020-03-15,8.0
India,2020-03-22,76.0
India,2020-03-29,56.0
India,2020-04-05,100.0
India,2020-04-12,73.0
India,2020-04-19,59.0
India,2020-04-26,96.0
India,2020-05-03,68.0
India,2020-05-10,74.0
India,2020-05-17,83.0
India,2020-05-24,57.0
India,2020-05-31,36.0
India,2020-06-07,42.0
India,2020-06-14,27.0
India,2020-06-21,24.0
India,2020-06-28,33.0
India,2020-07-05,34.0
India,2020-07-12,39.0
India,2020-07-19,29.0
India,2020-07-26,29.0
India,2020-08-02,17.0
India,2020-08-09,12.0
India,2020-08-16,15.0
India,2020-08-23,17.0
India,2020-08-30,15.0
India,2020-09-06,12.0
India,2020-09-13,11.0
India,2020-09-20,11.0
India,2020-09-27,7.0
India,2020-10-04,4.0
India,2020-10-11,3.0
India,2020-10-18,3.0
India,2020-10-25,5.0
India,2020-11-01,5.0
India,2020-11-08,3.0
India,2020-11-15,14.0
India,2020-11-22,20.0
India,2020-11-29,7.0
India,2020-12-06,3.0
India,2020-12-13,3.0
India,2020-12-20,7.0
India,2020-12-27,4.0
India,2021-01-03,3.0
India,2021-01-10,2.0
India,2021-01-17,2.0
India,2021-01-24,3.0
India,2021-01-31,2.0
India,2021-02-07,2.0
India,2021-02-14,8.0
India,2021-02-21,22.0
India,2021-02-28,9.0
India,2021-03-07,12.0
India,2021-03-14,26.0
India,2021-03-21,32.0
India,2021-03-28,26.0
India,2021-04-04,43.0
India,2021-04-11,58.0
India,2021-04-18,76.0
India,2021-04-25,62.0
India,2021-05-02,82.0
India,2021-05-09,60.0
India,2021-05-16,47.0
India,2021-05-23,51.0
India,2021-05-30,55.0
India,2021-06-06,39.0
India,2021-06-13,30.0
India,2021-06-20,18.0
India,2021-06-27,19.0
India,2021-07-04,10.0
India,2021-07-11,9.0
India,2021-07-18,6.0
India,2021-07-25,9.0
India,2021-08-01,10.0
India,2021-08-08,7.0
India,2021-08-15,5.0
India,2021-08-22,3.0
India,2021-08-29,4.0
India,2021-09-05,3.0
India,2021-09-12,3.0
India,2021-09-19,2.0
India,2021-09-26,2.0
India,2021-10-03,2.0
India,2021-10-10,1.0
India,2021-10-17,2.0
India,2021-10-24,3.0
India,2021-10-31,2.0
India,2021-11-07,2.0
India,2021-11-14,3.0
India,2021-11-21,2.0
India,2021-11-28,10.0
India,2021-12-05,6.0
India,2021-12-12,3.0
India,2021-12-19,6.0
India,2021-12-26,12.0
India,2022-01-02,33.0
India,2022-01-09,17.0
India,2022-01-16,10.0
India,2022-01-23,5.0
India,2022-01-30,3.0
India,2022-02-06,2.0
India,2022-02-13,1.0
India,2022-02-20,1.0
India,2022-02-27,1.0
India,2022-03-06,1.0
India,2022-03-13,2.0
India,2022-03-20,2.0
India,2022-03-27,1.0
India,2022-04-03,1.0
India,2022-04-10,1.0
