Country,Date,search_index
Mexico,2020-01-26,3.0
Mexico,2020-02-02,5.0
Mexico,2020-02-09,4.0
Mexico,2020-02-16,4.0
Mexico,2020-02-23,5.0
Mexico,2020-03-01,6.0
Mexico,2020-03-08,19.0
Mexico,2020-03-15,60.0
Mexico,2020-03-22,58.0
Mexico,2020-03-29,50.0
Mexico,2020-04-05,72.0
Mexico,2020-04-12,100.0
Mexico,2020-04-19,88.0
Mexico,2020-04-26,79.0
Mexico,2020-05-03,74.0
Mexico,2020-05-10,82.0
Mexico,2020-05-17,74.0
Mexico,2020-05-24,61.0
Mexico,2020-05-31,55.0
Mexico,2020-06-07,51.0
Mexico,2020-06-14,39.0
Mexico,2020-06-21,34.0
Mexico,2020-06-28,38.0
Mexico,2020-07-05,34.0
Mexico,2020-07-12,41.0
Mexico,2020-07-19,38.0
Mexico,2020-07-26,30.0
Mexico,2020-08-02,24.0
Mexico,2020-08-09,22.0
Mexico,2020-08-16,25.0
Mexico,2020-08-23,63.0
Mexico,2020-08-30,47.0
Mexico,2020-09-06,44.0
Mexico,2020-09-13,23.0
Mexico,2020-09-20,33.0
Mexico,2020-09-27,25.0
Mexico,2020-10-04,26.0
Mexico,2020-10-11,37.0
Mexico,2020-10-18,34.0
Mexico,2020-10-25,58.0
Mexico,2020-11-01,36.0
Mexico,2020-11-08,29.0
Mexico,2020-11-15,27.0
Mexico,2020-11-22,25.0
Mexico,2020-11-29,23.0
Mexico,2020-12-06,28.0
Mexico,2020-12-13,28.0
Mexico,2020-12-20,29.0
Mexico,2020-12-27,33.0
Mexico,2021-01-03,41.0
Mexico,2021-01-10,33.0
Mexico,2021-01-17,28.0
Mexico,2021-01-24,29.0
Mexico,2021-01-31,21.0
Mexico,2021-02-07,21.0
Mexico,2021-02-14,18.0
Mexico,2021-02-21,20.0
Mexico,2021-02-28,21.0
Mexico,2021-03-07,22.0
Mexico,2021-03-14,27.0
Mexico,2021-03-21,28.0
Mexico,2021-03-28,19.0
Mexico,2021-04-04,16.0
Mexico,2021-04-11,19.0
Mexico,2021-04-18,17.0
Mexico,2021-04-25,14.0
Mexico,2021-05-02,12.0
Mexico,2021-05-09,12.0
Mexico,2021-05-16,18.0
Mexico,2021-05-23,19.0
Mexico,2021-05-30,20.0
Mexico,2021-06-06,14.0
Mexico,2021-06-13,16.0
Mexico,2021-06-20,13.0
Mexico,2021-06-27,13.0
Mexico,2021-07-04,11.0
Mexico,2021-07-11,10.0
Mexico,2021-07-18,13.0
Mexico,2021-07-25,10.0
Mexico,2021-08-01,19.0
Mexico,2021-08-08,11.0
Mexico,2021-08-15,15.0
Mexico,2021-08-22,15.0
Mexico,2021-08-29,29.0
Mexico,2021-09-05,24.0
Mexico,2021-09-12,20.0
Mexico,2021-09-19,13.0
Mexico,2021-09-26,14.0
Mexico,2021-10-03,12.0
Mexico,2021-10-10,10.0
Mexico,2021-10-17,10.0
Mexico,2021-10-24,12.0
Mexico,2021-10-31,11.0
Mexico,2021-11-07,13.0
Mexico,2021-11-14,19.0
Mexico,2021-11-21,24.0
Mexico,2021-11-28,14.0
Mexico,2021-12-05,10.0
Mexico,2021-12-12,12.0
Mexico,2021-12-19,17.0
Mexico,2021-12-26,10.0
Mexico,2022-01-02,23.0
Mexico,2022-01-09,18.0
Mexico,2022-01-16,13.0
Mexico,2022-01-23,12.0
Mexico,2022-01-30,9.0
Mexico,2022-02-06,9.0
Mexico,2022-02-13,7.0
Mexico,2022-02-20,6.0
Mexico,2022-02-27,5.0
Mexico,2022-03-06,6.0
Mexico,2022-03-13,17.0
Mexico,2022-03-20,11.0
Mexico,2022-03-27,13.0
Mexico,2022-04-03,10.0
Mexico,2022-04-10,12.0
