Country,Date,search_index
Saudi Arabia,2020-01-26,2.0
Saudi Arabia,2020-02-02,1.0
Saudi Arabia,2020-02-09,0.0
Saudi Arabia,2020-02-16,1.0
Saudi Arabia,2020-02-23,2.0
Saudi Arabia,2020-03-01,3.0
Saudi Arabia,2020-03-08,40.0
Saudi Arabia,2020-03-15,46.0
Saudi Arabia,2020-03-22,80.0
Saudi Arabia,2020-03-29,84.0
Saudi Arabia,2020-04-05,100.0
Saudi Arabia,2020-04-12,73.0
Saudi Arabia,2020-04-19,70.0
Saudi Arabia,2020-04-26,66.0
Saudi Arabia,2020-05-03,58.0
Saudi Arabia,2020-05-10,73.0
Saudi Arabia,2020-05-17,90.0
Saudi Arabia,2020-05-24,95.0
Saudi Arabia,2020-05-31,44.0
Saudi Arabia,2020-06-07,43.0
Saudi Arabia,2020-06-14,39.0
Saudi Arabia,2020-06-21,20.0
Saudi Arabia,2020-06-28,12.0
Saudi Arabia,2020-07-05,14.0
Saudi Arabia,2020-07-12,15.0
Saudi Arabia,2020-07-19,17.0
Saudi Arabia,2020-07-26,11.0
Saudi Arabia,2020-08-02,11.0
Saudi Arabia,2020-08-09,6.0
Saudi Arabia,2020-08-16,7.0
Saudi Arabia,2020-08-23,8.0
Saudi Arabia,2020-08-30,5.0
Saudi Arabia,2020-09-06,8.0
Saudi Arabia,2020-09-13,8.0
Saudi Arabia,2020-09-20,10.0
Saudi Arabia,2020-09-27,7.0
Saudi Arabia,2020-10-04,9.0
Saudi Arabia,2020-10-11,9.0
Saudi Arabia,2020-10-18,9.0
Saudi Arabia,2020-10-25,12.0
Saudi Arabia,2020-11-01,16.0
Saudi Arabia,2020-11-08,6.0
Saudi Arabia,2020-11-15,11.0
Saudi Arabia,2020-11-22,12.0
Saudi Arabia,2020-11-29,6.0
Saudi Arabia,2020-12-06,12.0
Saudi Arabia,2020-12-13,11.0
Saudi Arabia,2020-12-20,25.0
Saudi Arabia,2020-12-27,10.0
Saudi Arabia,2021-01-03,11.0
Saudi Arabia,2021-01-10,9.0
Saudi Arabia,2021-01-17,7.0
Saudi Arabia,2021-01-24,6.0
Saudi Arabia,2021-01-31,63.0
Saudi Arabia,2021-02-07,17.0
Saudi Arabia,2021-02-14,7.0
Saudi Arabia,2021-02-21,8.0
Saudi Arabia,2021-02-28,10.0
Saudi Arabia,2021-03-07,6.0
Saudi Arabia,2021-03-14,10.0
Saudi Arabia,2021-03-21,11.0
Saudi Arabia,2021-03-28,9.0
Saudi Arabia,2021-04-04,13.0
Saudi Arabia,2021-04-11,12.0
Saudi Arabia,2021-04-18,13.0
Saudi Arabia,2021-04-25,20.0
Saudi Arabia,2021-05-02,19.0
Saudi Arabia,2021-05-09,19.0
Saudi Arabia,2021-05-16,9.0
Saudi Arabia,2021-05-23,12.0
Saudi Arabia,2021-05-30,12.0
Saudi Arabia,2021-06-06,11.0
Saudi Arabia,2021-06-13,9.0
Saudi Arabia,2021-06-20,6.0
Saudi Arabia,2021-06-27,7.0
Saudi Arabia,2021-07-04,7.0
Saudi Arabia,2021-07-11,5.0
Saudi Arabia,2021-07-18,11.0
Saudi Arabia,2021-07-25,7.0
Saudi Arabia,2021-08-01,12.0
Saudi Arabia,2021-08-08,5.0
Saudi Arabia,2021-08-15,4.0
Saudi Arabia,2021-08-22,5.0
Saudi Arabia,2021-08-29,6.0
Saudi Arabia,2021-09-05,6.0
Saudi Arabia,2021-09-12,2.0
Saudi Arabia,2021-09-19,4.0
Saudi Arabia,2021-09-26,2.0
Saudi Arabia,2021-10-03,4.0
Saudi Arabia,2021-10-10,2.0
Saudi Arabia,2021-10-17,2.0
Saudi Arabia,2021-10-24,3.0
Saudi Arabia,2021-10-31,1.0
Saudi Arabia,2021-11-07,3.0
Saudi Arabia,2021-11-14,4.0
Saudi Arabia,2021-11-21,5.0
Saudi Arabia,2021-11-28,10.0
Saudi Arabia,2021-12-05,4.0
Saudi Arabia,2021-12-12,4.0
Saudi Arabia,2021-12-19,13.0
Saudi Arabia,2021-12-26,9.0
Saudi Arabia,2022-01-02,19.0
Saudi Arabia,2022-01-09,6.0
Saudi Arabia,2022-01-16,5.0
Saudi Arabia,2022-01-23,4.0
Saudi Arabia,2022-01-30,4.0
Saudi Arabia,2022-02-06,2.0
Saudi Arabia,2022-02-13,2.0
Saudi Arabia,2022-02-20,2.0
Saudi Arabia,2022-02-27,2.0
Saudi Arabia,2022-03-06,1.0
Saudi Arabia,2022-03-13,4.0
Saudi Arabia,2022-03-20,2.0
Saudi Arabia,2022-03-27,3.0
Saudi Arabia,2022-04-03,1.0
Saudi Arabia,2022-04-10,3.0
