Country,Date,search_index
Singapore,2020-01-26,6.0
Singapore,2020-02-02,4.0
Singapore,2020-02-09,4.0
Singapore,2020-02-16,2.0
Singapore,2020-02-23,2.0
Singapore,2020-03-01,1.0
Singapore,2020-03-08,17.0
Singapore,2020-03-15,100.0
Singapore,2020-03-22,68.0
Singapore,2020-03-29,70.0
Singapore,2020-04-05,54.0
Singapore,2020-04-12,38.0
Singapore,2020-04-19,32.0
Singapore,2020-04-26,22.0
Singapore,2020-05-03,18.0
Singapore,2020-05-10,19.0
Singapore,2020-05-17,16.0
Singapore,2020-05-24,14.0
Singapore,2020-05-31,12.0
Singapore,2020-06-07,10.0
Singapore,2020-06-14,9.0
Singapore,2020-06-21,6.0
Singapore,2020-06-28,7.0
Singapore,2020-07-05,16.0
Singapore,2020-07-12,7.0
Singapore,2020-07-19,5.0
Singapore,2020-07-26,5.0
Singapore,2020-08-02,6.0
Singapore,2020-08-09,4.0
Singapore,2020-08-16,3.0
Singapore,2020-08-23,3.0
Singapore,2020-08-30,3.0
Singapore,2020-09-06,4.0
Singapore,2020-09-13,4.0
Singapore,2020-09-20,4.0
Singapore,2020-09-27,4.0
Singapore,2020-10-04,4.0
Singapore,2020-10-11,6.0
Singapore,2020-10-18,3.0
Singapore,2020-10-25,7.0
Singapore,2020-11-01,6.0
Singapore,2020-11-08,4.0
Singapore,2020-11-15,4.0
Singapore,2020-11-22,3.0
Singapore,2020-11-29,2.0
Singapore,2020-12-06,2.0
Singapore,2020-12-13,4.0
Singapore,2020-12-20,6.0
Singapore,2020-12-27,4.0
Singapore,2021-01-03,8.0
Singapore,2021-01-10,9.0
Singapore,2021-01-17,5.0
Singapore,2021-01-24,4.0
Singapore,2021-01-31,5.0
Singapore,2021-02-07,4.0
Singapore,2021-02-14,3.0
Singapore,2021-02-21,3.0
Singapore,2021-02-28,2.0
Singapore,2021-03-07,2.0
Singapore,2021-03-14,3.0
Singapore,2021-03-21,3.0
Singapore,2021-03-28,3.0
Singapore,2021-04-04,3.0
Singapore,2021-04-11,4.0
Singapore,2021-04-18,6.0
Singapore,2021-04-25,7.0
Singapore,2021-05-02,12.0
Singapore,2021-05-09,17.0
Singapore,2021-05-16,18.0
Singapore,2021-05-23,14.0
Singapore,2021-05-30,11.0
Singapore,2021-06-06,6.0
Singapore,2021-06-13,5.0
Singapore,2021-06-20,4.0
Singapore,2021-06-27,7.0
Singapore,2021-07-04,5.0
Singapore,2021-07-11,6.0
Singapore,2021-07-18,8.0
Singapore,2021-07-25,6.0
Singapore,2021-08-01,7.0
Singapore,2021-08-08,3.0
Singapore,2021-08-15,4.0
Singapore,2021-08-22,4.0
Singapore,2021-08-29,4.0
Singapore,2021-09-05,4.0
Singapore,2021-09-12,7.0
Singapore,2021-09-19,4.0
Singapore,2021-09-26,4.0
Singapore,2021-10-03,3.0
Singapore,2021-10-10,2.0
Singapore,2021-10-17,2.0
Singapore,2021-10-24,2.0
Singapore,2021-10-31,1.0
Singapore,2021-11-07,2.0
Singapore,2021-11-14,3.0
Singapore,2021-11-21,3.0
Singapore,2021-11-28,3.0
Singapore,2021-12-05,2.0
Singapore,2021-12-12,2.0
Singapore,2021-12-19,3.0
Singapore,2021-12-26,2.0
Singapore,2022-01-02,3.0
Singapore,2022-01-09,2.0
Singapore,2022-01-16,2.0
Singapore,2022-01-23,1.0
Singapore,2022-01-30,2.0
Singapore,2022-02-06,2.0
Singapore,2022-02-13,1.0
Singapore,2022-02-20,1.0
Singapore,2022-02-27,2.0
Singapore,2022-03-06,1.0
Singapore,2022-03-13,5.0
Singapore,2022-03-20,3.0
Singapore,2022-03-27,3.0
Singapore,2022-04-03,5.0
Singapore,2022-04-10,4.0
