Country,Date,search_index
Switzerland,2020-01-26,0
Switzerland,2020-02-02,1.0
Switzerland,2020-02-09,0
Switzerland,2020-02-16,0
Switzerland,2020-02-23,1.0
Switzerland,2020-03-01,1.0
Switzerland,2020-03-08,9.0
Switzerland,2020-03-15,97.0
Switzerland,2020-03-22,24.0
Switzerland,2020-03-29,29.0
Switzerland,2020-04-05,33.0
Switzerland,2020-04-12,42.0
Switzerland,2020-04-19,30.0
Switzerland,2020-04-26,29.0
Switzerland,2020-05-03,26.0
Switzerland,2020-05-10,22.0
Switzerland,2020-05-17,17.0
Switzerland,2020-05-24,15.0
Switzerland,2020-05-31,11.0
Switzerland,2020-06-07,10.0
Switzerland,2020-06-14,10.0
Switzerland,2020-06-21,12.0
Switzerland,2020-06-28,10.0
Switzerland,2020-07-05,8.0
Switzerland,2020-07-12,7.0
Switzerland,2020-07-19,6.0
Switzerland,2020-07-26,8.0
Switzerland,2020-08-02,8.0
Switzerland,2020-08-09,7.0
Switzerland,2020-08-16,8.0
Switzerland,2020-08-23,10.0
Switzerland,2020-08-30,5.0
Switzerland,2020-09-06,8.0
Switzerland,2020-09-13,11.0
Switzerland,2020-09-20,10.0
Switzerland,2020-09-27,7.0
Switzerland,2020-10-04,12.0
Switzerland,2020-10-11,22.0
Switzerland,2020-10-18,57.0
Switzerland,2020-10-25,66.0
Switzerland,2020-11-01,60.0
Switzerland,2020-11-08,25.0
Switzerland,2020-11-15,27.0
Switzerland,2020-11-22,19.0
Switzerland,2020-11-29,16.0
Switzerland,2020-12-06,29.0
Switzerland,2020-12-13,100.0
Switzerland,2020-12-20,35.0
Switzerland,2020-12-27,22.0
Switzerland,2021-01-03,35.0
Switzerland,2021-01-10,66.0
Switzerland,2021-01-17,38.0
Switzerland,2021-01-24,27.0
Switzerland,2021-01-31,26.0
Switzerland,2021-02-07,51.0
Switzerland,2021-02-14,32.0
Switzerland,2021-02-21,19.0
Switzerland,2021-02-28,17.0
Switzerland,2021-03-07,14.0
Switzerland,2021-03-14,18.0
Switzerland,2021-03-21,20.0
Switzerland,2021-03-28,13.0
Switzerland,2021-04-04,14.0
Switzerland,2021-04-11,13.0
Switzerland,2021-04-18,10.0
Switzerland,2021-04-25,8.0
Switzerland,2021-05-02,6.0
Switzerland,2021-05-09,5.0
Switzerland,2021-05-16,3.0
Switzerland,2021-05-23,4.0
Switzerland,2021-05-30,5.0
Switzerland,2021-06-06,3.0
Switzerland,2021-06-13,3.0
Switzerland,2021-06-20,3.0
Switzerland,2021-06-27,4.0
Switzerland,2021-07-04,4.0
Switzerland,2021-07-11,4.0
Switzerland,2021-07-18,5.0
Switzerland,2021-07-25,4.0
Switzerland,2021-08-01,4.0
Switzerland,2021-08-08,3.0
Switzerland,2021-08-15,5.0
Switzerland,2021-08-22,4.0
Switzerland,2021-08-29,3.0
Switzerland,2021-09-05,2.0
Switzerland,2021-09-12,3.0
Switzerland,2021-09-19,2.0
Switzerland,2021-09-26,2.0
Switzerland,2021-10-03,3.0
Switzerland,2021-10-10,3.0
Switzerland,2021-10-17,4.0
Switzerland,2021-10-24,5.0
Switzerland,2021-10-31,3.0
Switzerland,2021-11-07,9.0
Switzerland,2021-11-14,31.0
Switzerland,2021-11-21,24.0
Switzerland,2021-11-28,15.0
Switzerland,2021-12-05,15.0
Switzerland,2021-12-12,11.0
Switzerland,2021-12-19,14.0
Switzerland,2021-12-26,9.0
Switzerland,2022-01-02,7.0
Switzerland,2022-01-09,4.0
Switzerland,2022-01-16,3.0
Switzerland,2022-01-23,2.0
Switzerland,2022-01-30,2.0
Switzerland,2022-02-06,1.0
Switzerland,2022-02-13,1.0
Switzerland,2022-02-20,1.0
Switzerland,2022-02-27,2.0
Switzerland,2022-03-06,2.0
Switzerland,2022-03-13,3.0
Switzerland,2022-03-20,2.0
Switzerland,2022-03-27,3.0
Switzerland,2022-04-03,2.0
Switzerland,2022-04-10,4.0
