Country,Date,search_index
United Arab Emirates,2020-01-26,2.0
United Arab Emirates,2020-02-02,1.0
United Arab Emirates,2020-02-09,1.0
United Arab Emirates,2020-02-16,0
United Arab Emirates,2020-02-23,3.0
United Arab Emirates,2020-03-01,2.0
United Arab Emirates,2020-03-08,25.0
United Arab Emirates,2020-03-15,46.0
United Arab Emirates,2020-03-22,100.0
United Arab Emirates,2020-03-29,62.0
United Arab Emirates,2020-04-05,81.0
United Arab Emirates,2020-04-12,90.0
United Arab Emirates,2020-04-19,72.0
United Arab Emirates,2020-04-26,46.0
United Arab Emirates,2020-05-03,37.0
United Arab Emirates,2020-05-10,45.0
United Arab Emirates,2020-05-17,62.0
United Arab Emirates,2020-05-24,67.0
United Arab Emirates,2020-05-31,40.0
United Arab Emirates,2020-06-07,42.0
United Arab Emirates,2020-06-14,44.0
United Arab Emirates,2020-06-21,45.0
United Arab Emirates,2020-06-28,29.0
United Arab Emirates,2020-07-05,20.0
United Arab Emirates,2020-07-12,16.0
United Arab Emirates,2020-07-19,15.0
United Arab Emirates,2020-07-26,15.0
United Arab Emirates,2020-08-02,10.0
United Arab Emirates,2020-08-09,8.0
United Arab Emirates,2020-08-16,15.0
United Arab Emirates,2020-08-23,20.0
United Arab Emirates,2020-08-30,11.0
United Arab Emirates,2020-09-06,13.0
United Arab Emirates,2020-09-13,10.0
United Arab Emirates,2020-09-20,12.0
United Arab Emirates,2020-09-27,9.0
United Arab Emirates,2020-10-04,8.0
United Arab Emirates,2020-10-11,9.0
United Arab Emirates,2020-10-18,8.0
United Arab Emirates,2020-10-25,13.0
United Arab Emirates,2020-11-01,18.0
United Arab Emirates,2020-11-08,10.0
United Arab Emirates,2020-11-15,12.0
United Arab Emirates,2020-11-22,16.0
United Arab Emirates,2020-11-29,9.0
United Arab Emirates,2020-12-06,6.0
United Arab Emirates,2020-12-13,13.0
United Arab Emirates,2020-12-20,31.0
United Arab Emirates,2020-12-27,14.0
United Arab Emirates,2021-01-03,20.0
United Arab Emirates,2021-01-10,11.0
United Arab Emirates,2021-01-17,12.0
United Arab Emirates,2021-01-24,17.0
United Arab Emirates,2021-01-31,15.0
United Arab Emirates,2021-02-07,11.0
United Arab Emirates,2021-02-14,9.0
United Arab Emirates,2021-02-21,12.0
United Arab Emirates,2021-02-28,6.0
United Arab Emirates,2021-03-07,9.0
United Arab Emirates,2021-03-14,13.0
United Arab Emirates,2021-03-21,16.0
United Arab Emirates,2021-03-28,15.0
United Arab Emirates,2021-04-04,18.0
United Arab Emirates,2021-04-11,17.0
United Arab Emirates,2021-04-18,21.0
United Arab Emirates,2021-04-25,19.0
United Arab Emirates,2021-05-02,18.0
United Arab Emirates,2021-05-09,14.0
United Arab Emirates,2021-05-16,12.0
United Arab Emirates,2021-05-23,12.0
United Arab Emirates,2021-05-30,11.0
United Arab Emirates,2021-06-06,10.0
United Arab Emirates,2021-06-13,10.0
United Arab Emirates,2021-06-20,7.0
United Arab Emirates,2021-06-27,7.0
United Arab Emirates,2021-07-04,8.0
United Arab Emirates,2021-07-11,11.0
United Arab Emirates,2021-07-18,15.0
United Arab Emirates,2021-07-25,11.0
United Arab Emirates,2021-08-01,9.0
United Arab Emirates,2021-08-08,5.0
United Arab Emirates,2021-08-15,9.0
United Arab Emirates,2021-08-22,4.0
United Arab Emirates,2021-08-29,3.0
United Arab Emirates,2021-09-05,4.0
United Arab Emirates,2021-09-12,3.0
United Arab Emirates,2021-09-19,3.0
United Arab Emirates,2021-09-26,3.0
United Arab Emirates,2021-10-03,2.0
United Arab Emirates,2021-10-10,2.0
United Arab Emirates,2021-10-17,3.0
United Arab Emirates,2021-10-24,4.0
United Arab Emirates,2021-10-31,3.0
United Arab Emirates,2021-11-07,3.0
United Arab Emirates,2021-11-14,7.0
United Arab Emirates,2021-11-21,8.0
United Arab Emirates,2021-11-28,11.0
United Arab Emirates,2021-12-05,7.0
United Arab Emirates,2021-12-12,7.0
United Arab Emirates,2021-12-19,10.0
United Arab Emirates,2021-12-26,8.0
United Arab Emirates,2022-01-02,12.0
United Arab Emirates,2022-01-09,7.0
United Arab Emirates,2022-01-16,4.0
United Arab Emirates,2022-01-23,2.0
United Arab Emirates,2022-01-30,3.0
United Arab Emirates,2022-02-06,2.0
United Arab Emirates,2022-02-13,2.0
United Arab Emirates,2022-02-20,1.0
United Arab Emirates,2022-02-27,2.0
United Arab Emirates,2022-03-06,2.0
United Arab Emirates,2022-03-13,5.0
United Arab Emirates,2022-03-20,3.0
United Arab Emirates,2022-03-27,2.0
United Arab Emirates,2022-04-03,2.0
United Arab Emirates,2022-04-10,4.0
