Category: All categories

Week,Marriage: (Australia)
2020-01-26,94
2020-02-02,87
2020-02-09,92
2020-02-16,92
2020-02-23,91
2020-03-01,87
2020-03-08,83
2020-03-15,72
2020-03-22,68
2020-03-29,73
2020-04-05,84
2020-04-12,89
2020-04-19,88
2020-04-26,88
2020-05-03,89
2020-05-10,88
2020-05-17,90
2020-05-24,88
2020-05-31,84
2020-06-07,89
2020-06-14,82
2020-06-21,83
2020-06-28,81
2020-07-05,80
2020-07-12,85
2020-07-19,85
2020-07-26,80
2020-08-02,78
2020-08-09,85
2020-08-16,86
2020-08-23,86
2020-08-30,86
2020-09-06,87
2020-09-13,90
2020-09-20,82
2020-09-27,78
2020-10-04,85
2020-10-11,97
2020-10-18,81
2020-10-25,81
2020-11-01,72
2020-11-08,79
2020-11-15,87
2020-11-22,84
2020-11-29,83
2020-12-06,82
2020-12-13,70
2020-12-20,71
2020-12-27,89
2021-01-03,89
2021-01-10,85
2021-01-17,86
2021-01-24,87
2021-01-31,89
2021-02-07,83
2021-02-14,86
2021-02-21,85
2021-02-28,86
2021-03-07,88
2021-03-14,85
2021-03-21,82
2021-03-28,84
2021-04-04,100
2021-04-11,97
2021-04-18,88
2021-04-25,82
2021-05-02,86
2021-05-09,79
2021-05-16,91
2021-05-23,85
2021-05-30,83
2021-06-06,80
2021-06-13,80
2021-06-20,80
2021-06-27,79
2021-07-04,81
2021-07-11,81
2021-07-18,79
2021-07-25,76
2021-08-01,75
2021-08-08,80
2021-08-15,79
2021-08-22,80
2021-08-29,81
2021-09-05,81
2021-09-12,80
2021-09-19,82
2021-09-26,84
2021-10-03,84
2021-10-10,82
2021-10-17,80
2021-10-24,73
2021-10-31,78
2021-11-07,80
2021-11-14,81
2021-11-21,78
2021-11-28,73
2021-12-05,78
2021-12-12,71
2021-12-19,70
2021-12-26,78
2022-01-02,86
2022-01-09,86
2022-01-16,86
2022-01-23,97
2022-01-30,98
2022-02-06,90
2022-02-13,86
2022-02-20,88
2022-02-27,88
2022-03-06,80
2022-03-13,81
2022-03-20,80
2022-03-27,96
2022-04-03,90
2022-04-10,93
