Category: All categories

Week,marriage: (Hong Kong)
2020-01-26,57
2020-02-02,56
2020-02-09,62
2020-02-16,59
2020-02-23,46
2020-03-01,52
2020-03-08,45
2020-03-15,45
2020-03-22,41
2020-03-29,48
2020-04-05,40
2020-04-12,57
2020-04-19,48
2020-04-26,41
2020-05-03,38
2020-05-10,46
2020-05-17,48
2020-05-24,42
2020-05-31,39
2020-06-07,37
2020-06-14,35
2020-06-21,33
2020-06-28,34
2020-07-05,46
2020-07-12,36
2020-07-19,36
2020-07-26,33
2020-08-02,31
2020-08-09,32
2020-08-16,36
2020-08-23,31
2020-08-30,35
2020-09-06,38
2020-09-13,38
2020-09-20,34
2020-09-27,33
2020-10-04,36
2020-10-11,32
2020-10-18,33
2020-10-25,37
2020-11-01,37
2020-11-08,39
2020-11-15,45
2020-11-22,35
2020-11-29,31
2020-12-06,38
2020-12-13,33
2020-12-20,32
2020-12-27,30
2021-01-03,31
2021-01-10,27
2021-01-17,34
2021-01-24,34
2021-01-31,44
2021-02-07,41
2021-02-14,28
2021-02-21,38
2021-02-28,26
2021-03-07,36
2021-03-14,42
2021-03-21,45
2021-03-28,32
2021-04-04,40
2021-04-11,42
2021-04-18,38
2021-04-25,27
2021-05-02,37
2021-05-09,37
2021-05-16,29
2021-05-23,37
2021-05-30,32
2021-06-06,34
2021-06-13,37
2021-06-20,31
2021-06-27,25
2021-07-04,30
2021-07-11,32
2021-07-18,36
2021-07-25,35
2021-08-01,29
2021-08-08,56
2021-08-15,30
2021-08-22,35
2021-08-29,24
2021-09-05,35
2021-09-12,36
2021-09-19,33
2021-09-26,38
2021-10-03,40
2021-10-10,28
2021-10-17,41
2021-10-24,38
2021-10-31,26
2021-11-07,41
2021-11-14,38
2021-11-21,42
2021-11-28,41
2021-12-05,43
2021-12-12,38
2021-12-19,30
2021-12-26,38
2022-01-02,28
2022-01-09,39
2022-01-16,33
2022-01-23,48
2022-01-30,69
2022-02-06,77
2022-02-13,75
2022-02-20,72
2022-02-27,83
2022-03-06,99
2022-03-13,86
2022-03-20,100
2022-03-27,97
2022-04-03,100
2022-04-10,81
