Category: All categories

Week,Marriage: (Cuba)
2020-01-26,59
2020-02-02,61
2020-02-09,71
2020-02-16,50
2020-02-23,67
2020-03-01,50
2020-03-08,52
2020-03-15,64
2020-03-22,30
2020-03-29,36
2020-04-05,43
2020-04-12,28
2020-04-19,64
2020-04-26,39
2020-05-03,25
2020-05-10,50
2020-05-17,49
2020-05-24,54
2020-05-31,51
2020-06-07,88
2020-06-14,57
2020-06-21,55
2020-06-28,57
2020-07-05,58
2020-07-12,45
2020-07-19,47
2020-07-26,46
2020-08-02,49
2020-08-09,48
2020-08-16,46
2020-08-23,44
2020-08-30,50
2020-09-06,56
2020-09-13,48
2020-09-20,47
2020-09-27,46
2020-10-04,56
2020-10-11,86
2020-10-18,50
2020-10-25,60
2020-11-01,42
2020-11-08,66
2020-11-15,45
2020-11-22,25
2020-11-29,40
2020-12-06,48
2020-12-13,65
2020-12-20,46
2020-12-27,66
2021-01-03,67
2021-01-10,63
2021-01-17,57
2021-01-24,55
2021-01-31,72
2021-02-07,63
2021-02-14,79
2021-02-21,78
2021-02-28,57
2021-03-07,54
2021-03-14,65
2021-03-21,65
2021-03-28,53
2021-04-04,56
2021-04-11,71
2021-04-18,70
2021-04-25,56
2021-05-02,56
2021-05-09,78
2021-05-16,72
2021-05-23,77
2021-05-30,72
2021-06-06,39
2021-06-13,47
2021-06-20,57
2021-06-27,62
2021-07-04,58
2021-07-11,41
2021-07-18,43
2021-07-25,60
2021-08-01,55
2021-08-08,50
2021-08-15,64
2021-08-22,67
2021-08-29,47
2021-09-05,54
2021-09-12,71
2021-09-19,64
2021-09-26,48
2021-10-03,76
2021-10-10,86
2021-10-17,51
2021-10-24,56
2021-10-31,56
2021-11-07,73
2021-11-14,67
2021-11-21,57
2021-11-28,77
2021-12-05,62
2021-12-12,60
2021-12-19,90
2021-12-26,61
2022-01-02,73
2022-01-09,57
2022-01-16,60
2022-01-23,89
2022-01-30,82
2022-02-06,100
2022-02-13,100
2022-02-20,62
2022-02-27,68
2022-03-06,83
2022-03-13,63
2022-03-20,62
2022-03-27,72
2022-04-03,65
2022-04-10,68
