Category: All categories

Week,marriage: (Israel)
2020-01-26,56
2020-02-02,67
2020-02-09,79
2020-02-16,38
2020-02-23,47
2020-03-01,42
2020-03-08,47
2020-03-15,48
2020-03-22,41
2020-03-29,44
2020-04-05,44
2020-04-12,58
2020-04-19,67
2020-04-26,55
2020-05-03,42
2020-05-10,52
2020-05-17,55
2020-05-24,66
2020-05-31,40
2020-06-07,42
2020-06-14,67
2020-06-21,67
2020-06-28,59
2020-07-05,62
2020-07-12,63
2020-07-19,46
2020-07-26,35
2020-08-02,35
2020-08-09,39
2020-08-16,59
2020-08-23,55
2020-08-30,61
2020-09-06,43
2020-09-13,39
2020-09-20,47
2020-09-27,52
2020-10-04,66
2020-10-11,46
2020-10-18,56
2020-10-25,48
2020-11-01,42
2020-11-08,39
2020-11-15,55
2020-11-22,24
2020-11-29,67
2020-12-06,52
2020-12-13,46
2020-12-20,54
2020-12-27,50
2021-01-03,68
2021-01-10,28
2021-01-17,59
2021-01-24,67
2021-01-31,48
2021-02-07,47
2021-02-14,33
2021-02-21,47
2021-02-28,52
2021-03-07,50
2021-03-14,45
2021-03-21,31
2021-03-28,55
2021-04-04,48
2021-04-11,42
2021-04-18,35
2021-04-25,43
2021-05-02,35
2021-05-09,45
2021-05-16,35
2021-05-23,58
2021-05-30,55
2021-06-06,47
2021-06-13,38
2021-06-20,52
2021-06-27,28
2021-07-04,48
2021-07-11,49
2021-07-18,32
2021-07-25,51
2021-08-01,59
2021-08-08,37
2021-08-15,50
2021-08-22,54
2021-08-29,30
2021-09-05,57
2021-09-12,57
2021-09-19,82
2021-09-26,66
2021-10-03,77
2021-10-10,79
2021-10-17,64
2021-10-24,42
2021-10-31,78
2021-11-07,39
2021-11-14,29
2021-11-21,55
2021-11-28,46
2021-12-05,44
2021-12-12,35
2021-12-19,64
2021-12-26,51
2022-01-02,43
2022-01-09,54
2022-01-16,40
2022-01-23,56
2022-01-30,51
2022-02-06,83
2022-02-13,84
2022-02-20,54
2022-02-27,94
2022-03-06,95
2022-03-13,92
2022-03-20,100
2022-03-27,99
2022-04-03,66
2022-04-10,100
