Category: All categories

Week,Marriage: (Mexico)
2020-01-26,63
2020-02-02,65
2020-02-09,72
2020-02-16,65
2020-02-23,63
2020-03-01,59
2020-03-08,54
2020-03-15,50
2020-03-22,50
2020-03-29,49
2020-04-05,51
2020-04-12,51
2020-04-19,49
2020-04-26,52
2020-05-03,50
2020-05-10,52
2020-05-17,54
2020-05-24,50
2020-05-31,53
2020-06-07,54
2020-06-14,56
2020-06-21,53
2020-06-28,59
2020-07-05,61
2020-07-12,66
2020-07-19,60
2020-07-26,100
2020-08-02,62
2020-08-09,58
2020-08-16,56
2020-08-23,50
2020-08-30,53
2020-09-06,52
2020-09-13,52
2020-09-20,54
2020-09-27,54
2020-10-04,56
2020-10-11,57
2020-10-18,62
2020-10-25,58
2020-11-01,56
2020-11-08,58
2020-11-15,62
2020-11-22,61
2020-11-29,55
2020-12-06,56
2020-12-13,57
2020-12-20,62
2020-12-27,64
2021-01-03,64
2021-01-10,58
2021-01-17,60
2021-01-24,63
2021-01-31,61
2021-02-07,67
2021-02-14,64
2021-02-21,63
2021-02-28,60
2021-03-07,62
2021-03-14,64
2021-03-21,61
2021-03-28,62
2021-04-04,70
2021-04-11,62
2021-04-18,65
2021-04-25,61
2021-05-02,59
2021-05-09,63
2021-05-16,62
2021-05-23,68
2021-05-30,62
2021-06-06,63
2021-06-13,62
2021-06-20,63
2021-06-27,63
2021-07-04,67
2021-07-11,63
2021-07-18,65
2021-07-25,64
2021-08-01,65
2021-08-08,66
2021-08-15,62
2021-08-22,64
2021-08-29,54
2021-09-05,53
2021-09-12,54
2021-09-19,61
2021-09-26,57
2021-10-03,57
2021-10-10,63
2021-10-17,65
2021-10-24,62
2021-10-31,60
2021-11-07,61
2021-11-14,63
2021-11-21,67
2021-11-28,61
2021-12-05,61
2021-12-12,63
2021-12-19,56
2021-12-26,61
2022-01-02,60
2022-01-09,60
2022-01-16,62
2022-01-23,62
2022-01-30,63
2022-02-06,63
2022-02-13,66
2022-02-20,61
2022-02-27,63
2022-03-06,58
2022-03-13,61
2022-03-20,61
2022-03-27,63
2022-04-03,62
2022-04-10,57
