Category: All categories

Week,marriage: (Netherlands)
2020-01-26,70
2020-02-02,71
2020-02-09,100
2020-02-16,68
2020-02-23,60
2020-03-01,67
2020-03-08,54
2020-03-15,54
2020-03-22,49
2020-03-29,53
2020-04-05,50
2020-04-12,55
2020-04-19,51
2020-04-26,65
2020-05-03,52
2020-05-10,55
2020-05-17,56
2020-05-24,50
2020-05-31,52
2020-06-07,57
2020-06-14,32
2020-06-21,59
2020-06-28,57
2020-07-05,59
2020-07-12,61
2020-07-19,58
2020-07-26,65
2020-08-02,55
2020-08-09,63
2020-08-16,53
2020-08-23,55
2020-08-30,56
2020-09-06,49
2020-09-13,66
2020-09-20,49
2020-09-27,44
2020-10-04,54
2020-10-11,64
2020-10-18,48
2020-10-25,49
2020-11-01,49
2020-11-08,48
2020-11-15,59
2020-11-22,51
2020-11-29,48
2020-12-06,48
2020-12-13,51
2020-12-20,47
2020-12-27,56
2021-01-03,52
2021-01-10,49
2021-01-17,45
2021-01-24,50
2021-01-31,53
2021-02-07,47
2021-02-14,55
2021-02-21,55
2021-02-28,48
2021-03-07,64
2021-03-14,57
2021-03-21,48
2021-03-28,57
2021-04-04,54
2021-04-11,50
2021-04-18,53
2021-04-25,44
2021-05-02,60
2021-05-09,39
2021-05-16,50
2021-05-23,51
2021-05-30,52
2021-06-06,43
2021-06-13,43
2021-06-20,57
2021-06-27,48
2021-07-04,37
2021-07-11,43
2021-07-18,49
2021-07-25,54
2021-08-01,50
2021-08-08,54
2021-08-15,66
2021-08-22,50
2021-08-29,50
2021-09-05,56
2021-09-12,43
2021-09-19,55
2021-09-26,60
2021-10-03,62
2021-10-10,56
2021-10-17,60
2021-10-24,56
2021-10-31,50
2021-11-07,44
2021-11-14,47
2021-11-21,44
2021-11-28,54
2021-12-05,61
2021-12-12,55
2021-12-19,37
2021-12-26,57
2022-01-02,50
2022-01-09,49
2022-01-16,52
2022-01-23,40
2022-01-30,52
2022-02-06,52
2022-02-13,45
2022-02-20,50
2022-02-27,46
2022-03-06,51
2022-03-13,45
2022-03-20,60
2022-03-27,72
2022-04-03,62
2022-04-10,59
