Category: All categories

Week,marriage: (Russia)
2020-01-26,47
2020-02-02,67
2020-02-09,66
2020-02-16,49
2020-02-23,63
2020-03-01,51
2020-03-08,52
2020-03-15,43
2020-03-22,34
2020-03-29,49
2020-04-05,50
2020-04-12,51
2020-04-19,51
2020-04-26,50
2020-05-03,48
2020-05-10,38
2020-05-17,38
2020-05-24,47
2020-05-31,44
2020-06-07,31
2020-06-14,49
2020-06-21,40
2020-06-28,44
2020-07-05,33
2020-07-12,42
2020-07-19,25
2020-07-26,34
2020-08-02,31
2020-08-09,31
2020-08-16,34
2020-08-23,37
2020-08-30,32
2020-09-06,28
2020-09-13,26
2020-09-20,25
2020-09-27,35
2020-10-04,45
2020-10-11,48
2020-10-18,25
2020-10-25,37
2020-11-01,40
2020-11-08,45
2020-11-15,41
2020-11-22,25
2020-11-29,28
2020-12-06,26
2020-12-13,32
2020-12-20,33
2020-12-27,42
2021-01-03,35
2021-01-10,32
2021-01-17,39
2021-01-24,40
2021-01-31,20
2021-02-07,27
2021-02-14,31
2021-02-21,37
2021-02-28,31
2021-03-07,28
2021-03-14,29
2021-03-21,41
2021-03-28,38
2021-04-04,35
2021-04-11,29
2021-04-18,46
2021-04-25,43
2021-05-02,52
2021-05-09,30
2021-05-16,39
2021-05-23,32
2021-05-30,33
2021-06-06,33
2021-06-13,38
2021-06-20,32
2021-06-27,35
2021-07-04,25
2021-07-11,36
2021-07-18,47
2021-07-25,37
2021-08-01,43
2021-08-08,41
2021-08-15,44
2021-08-22,48
2021-08-29,41
2021-09-05,51
2021-09-12,45
2021-09-19,36
2021-09-26,27
2021-10-03,30
2021-10-10,49
2021-10-17,20
2021-10-24,34
2021-10-31,29
2021-11-07,27
2021-11-14,41
2021-11-21,51
2021-11-28,51
2021-12-05,76
2021-12-12,65
2021-12-19,60
2021-12-26,67
2022-01-02,52
2022-01-09,60
2022-01-16,57
2022-01-23,100
2022-01-30,69
2022-02-06,68
2022-02-13,94
2022-02-20,74
2022-02-27,72
2022-03-06,62
2022-03-13,53
2022-03-20,80
2022-03-27,59
2022-04-03,58
2022-04-10,70
