Category: All categories

Week,marriage: (Saudi Arabia)
2020-01-26,67
2020-02-02,53
2020-02-09,66
2020-02-16,64
2020-02-23,56
2020-03-01,51
2020-03-08,41
2020-03-15,58
2020-03-22,47
2020-03-29,54
2020-04-05,54
2020-04-12,47
2020-04-19,36
2020-04-26,56
2020-05-03,49
2020-05-10,50
2020-05-17,45
2020-05-24,59
2020-05-31,56
2020-06-07,57
2020-06-14,57
2020-06-21,54
2020-06-28,45
2020-07-05,46
2020-07-12,46
2020-07-19,41
2020-07-26,42
2020-08-02,57
2020-08-09,52
2020-08-16,48
2020-08-23,42
2020-08-30,43
2020-09-06,34
2020-09-13,38
2020-09-20,40
2020-09-27,39
2020-10-04,35
2020-10-11,39
2020-10-18,40
2020-10-25,40
2020-11-01,40
2020-11-08,47
2020-11-15,44
2020-11-22,43
2020-11-29,41
2020-12-06,42
2020-12-13,41
2020-12-20,36
2020-12-27,48
2021-01-03,45
2021-01-10,39
2021-01-17,37
2021-01-24,45
2021-01-31,38
2021-02-07,33
2021-02-14,41
2021-02-21,43
2021-02-28,44
2021-03-07,46
2021-03-14,31
2021-03-21,37
2021-03-28,38
2021-04-04,46
2021-04-11,32
2021-04-18,32
2021-04-25,34
2021-05-02,36
2021-05-09,42
2021-05-16,46
2021-05-23,51
2021-05-30,60
2021-06-06,47
2021-06-13,46
2021-06-20,43
2021-06-27,43
2021-07-04,47
2021-07-11,43
2021-07-18,49
2021-07-25,52
2021-08-01,48
2021-08-08,49
2021-08-15,53
2021-08-22,39
2021-08-29,37
2021-09-05,42
2021-09-12,39
2021-09-19,35
2021-09-26,30
2021-10-03,52
2021-10-10,47
2021-10-17,51
2021-10-24,51
2021-10-31,41
2021-11-07,41
2021-11-14,37
2021-11-21,45
2021-11-28,51
2021-12-05,41
2021-12-12,46
2021-12-19,51
2021-12-26,30
2022-01-02,45
2022-01-09,47
2022-01-16,52
2022-01-23,56
2022-01-30,78
2022-02-06,84
2022-02-13,78
2022-02-20,88
2022-02-27,95
2022-03-06,100
2022-03-13,84
2022-03-20,88
2022-03-27,80
2022-04-03,87
2022-04-10,95
