Category: All categories

Week,marriage: (South Korea)
2020-01-26,72
2020-02-02,74
2020-02-09,98
2020-02-16,57
2020-02-23,67
2020-03-01,56
2020-03-08,100
2020-03-15,59
2020-03-22,52
2020-03-29,63
2020-04-05,70
2020-04-12,63
2020-04-19,75
2020-04-26,87
2020-05-03,79
2020-05-10,86
2020-05-17,82
2020-05-24,53
2020-05-31,78
2020-06-07,63
2020-06-14,69
2020-06-21,74
2020-06-28,40
2020-07-05,63
2020-07-12,63
2020-07-19,42
2020-07-26,52
2020-08-02,65
2020-08-09,66
2020-08-16,56
2020-08-23,39
2020-08-30,47
2020-09-06,51
2020-09-13,59
2020-09-20,69
2020-09-27,60
2020-10-04,70
2020-10-11,65
2020-10-18,72
2020-10-25,51
2020-11-01,55
2020-11-08,60
2020-11-15,70
2020-11-22,62
2020-11-29,53
2020-12-06,63
2020-12-13,79
2020-12-20,54
2020-12-27,52
2021-01-03,39
2021-01-10,38
2021-01-17,48
2021-01-24,57
2021-01-31,53
2021-02-07,47
2021-02-14,64
2021-02-21,47
2021-02-28,54
2021-03-07,84
2021-03-14,69
2021-03-21,94
2021-03-28,85
2021-04-04,99
2021-04-11,65
2021-04-18,66
2021-04-25,80
2021-05-02,80
2021-05-09,56
2021-05-16,87
2021-05-23,71
2021-05-30,61
2021-06-06,69
2021-06-13,78
2021-06-20,66
2021-06-27,69
2021-07-04,59
2021-07-11,76
2021-07-18,63
2021-07-25,92
2021-08-01,70
2021-08-08,71
2021-08-15,73
2021-08-22,68
2021-08-29,70
2021-09-05,52
2021-09-12,40
2021-09-19,62
2021-09-26,68
2021-10-03,53
2021-10-10,63
2021-10-17,83
2021-10-24,56
2021-10-31,49
2021-11-07,42
2021-11-14,45
2021-11-21,54
2021-11-28,42
2021-12-05,63
2021-12-12,51
2021-12-19,43
2021-12-26,36
2022-01-02,60
2022-01-09,45
2022-01-16,69
2022-01-23,76
2022-01-30,89
2022-02-06,63
2022-02-13,75
2022-02-20,61
2022-02-27,84
2022-03-06,48
2022-03-13,66
2022-03-20,50
2022-03-27,66
2022-04-03,67
2022-04-10,52
