Category: All categories

Week,marriage: (Switzerland)
2020-01-26,57
2020-02-02,61
2020-02-09,93
2020-02-16,78
2020-02-23,60
2020-03-01,45
2020-03-08,44
2020-03-15,33
2020-03-22,41
2020-03-29,53
2020-04-05,65
2020-04-12,53
2020-04-19,48
2020-04-26,32
2020-05-03,45
2020-05-10,59
2020-05-17,49
2020-05-24,63
2020-05-31,47
2020-06-07,60
2020-06-14,62
2020-06-21,57
2020-06-28,51
2020-07-05,46
2020-07-12,68
2020-07-19,37
2020-07-26,63
2020-08-02,42
2020-08-09,47
2020-08-16,44
2020-08-23,46
2020-08-30,64
2020-09-06,72
2020-09-13,54
2020-09-20,41
2020-09-27,50
2020-10-04,41
2020-10-11,51
2020-10-18,51
2020-10-25,44
2020-11-01,46
2020-11-08,46
2020-11-15,49
2020-11-22,39
2020-11-29,38
2020-12-06,29
2020-12-13,49
2020-12-20,38
2020-12-27,44
2021-01-03,38
2021-01-10,45
2021-01-17,44
2021-01-24,41
2021-01-31,46
2021-02-07,38
2021-02-14,41
2021-02-21,44
2021-02-28,39
2021-03-07,40
2021-03-14,43
2021-03-21,42
2021-03-28,37
2021-04-04,47
2021-04-11,49
2021-04-18,44
2021-04-25,44
2021-05-02,46
2021-05-09,31
2021-05-16,41
2021-05-23,71
2021-05-30,58
2021-06-06,32
2021-06-13,50
2021-06-20,32
2021-06-27,48
2021-07-04,58
2021-07-11,46
2021-07-18,47
2021-07-25,35
2021-08-01,53
2021-08-08,49
2021-08-15,69
2021-08-22,69
2021-08-29,38
2021-09-05,45
2021-09-12,46
2021-09-19,57
2021-09-26,100
2021-10-03,49
2021-10-10,55
2021-10-17,59
2021-10-24,42
2021-10-31,48
2021-11-07,42
2021-11-14,45
2021-11-21,51
2021-11-28,58
2021-12-05,49
2021-12-12,42
2021-12-19,44
2021-12-26,52
2022-01-02,59
2022-01-09,65
2022-01-16,55
2022-01-23,46
2022-01-30,57
2022-02-06,60
2022-02-13,43
2022-02-20,31
2022-02-27,41
2022-03-06,53
2022-03-13,44
2022-03-20,57
2022-03-27,59
2022-04-03,77
2022-04-10,71
