Country,Date,search_index
Belgium,2020-01-26,88.0
Belgium,2020-02-02,82.0
Belgium,2020-02-09,100.0
Belgium,2020-02-16,87.0
Belgium,2020-02-23,66.0
Belgium,2020-03-01,53.0
Belgium,2020-03-08,48.0
Belgium,2020-03-15,64.0
Belgium,2020-03-22,60.0
Belgium,2020-03-29,62.0
Belgium,2020-04-05,75.0
Belgium,2020-04-12,63.0
Belgium,2020-04-19,61.0
Belgium,2020-04-26,63.0
Belgium,2020-05-03,53.0
Belgium,2020-05-10,55.0
Belgium,2020-05-17,50.0
Belgium,2020-05-24,82.0
Belgium,2020-05-31,74.0
Belgium,2020-06-07,53.0
Belgium,2020-06-14,56.0
Belgium,2020-06-21,55.0
Belgium,2020-06-28,64.0
Belgium,2020-07-05,50.0
Belgium,2020-07-12,49.0
Belgium,2020-07-19,62.0
Belgium,2020-07-26,67.0
Belgium,2020-08-02,45.0
Belgium,2020-08-09,67.0
Belgium,2020-08-16,74.0
Belgium,2020-08-23,55.0
Belgium,2020-08-30,63.0
Belgium,2020-09-06,57.0
Belgium,2020-09-13,42.0
Belgium,2020-09-20,76.0
Belgium,2020-09-27,52.0
Belgium,2020-10-04,52.0
Belgium,2020-10-11,34.0
Belgium,2020-10-18,70.0
Belgium,2020-10-25,56.0
Belgium,2020-11-01,31.0
Belgium,2020-11-08,58.0
Belgium,2020-11-15,59.0
Belgium,2020-11-22,53.0
Belgium,2020-11-29,59.0
Belgium,2020-12-06,66.0
Belgium,2020-12-13,63.0
Belgium,2020-12-20,51.0
Belgium,2020-12-27,51.0
Belgium,2021-01-03,63.0
Belgium,2021-01-10,61.0
Belgium,2021-01-17,54.0
Belgium,2021-01-24,46.0
Belgium,2021-01-31,36.0
Belgium,2021-02-07,56.0
Belgium,2021-02-14,64.0
Belgium,2021-02-21,60.0
Belgium,2021-02-28,64.0
Belgium,2021-03-07,50.0
Belgium,2021-03-14,97.0
Belgium,2021-03-21,54.0
Belgium,2021-03-28,60.0
Belgium,2021-04-04,49.0
Belgium,2021-04-11,62.0
Belgium,2021-04-18,48.0
Belgium,2021-04-25,71.0
Belgium,2021-05-02,77.0
Belgium,2021-05-09,42.0
Belgium,2021-05-16,57.0
Belgium,2021-05-23,60.0
Belgium,2021-05-30,58.0
Belgium,2021-06-06,48.0
Belgium,2021-06-13,55.0
Belgium,2021-06-20,50.0
Belgium,2021-06-27,71.0
Belgium,2021-07-04,53.0
Belgium,2021-07-11,55.0
Belgium,2021-07-18,47.0
Belgium,2021-07-25,68.0
Belgium,2021-08-01,58.0
Belgium,2021-08-08,50.0
Belgium,2021-08-15,64.0
Belgium,2021-08-22,64.0
Belgium,2021-08-29,51.0
Belgium,2021-09-05,62.0
Belgium,2021-09-12,75.0
Belgium,2021-09-19,68.0
Belgium,2021-09-26,66.0
Belgium,2021-10-03,68.0
Belgium,2021-10-10,99.0
Belgium,2021-10-17,55.0
Belgium,2021-10-24,54.0
Belgium,2021-10-31,41.0
Belgium,2021-11-07,65.0
Belgium,2021-11-14,67.0
Belgium,2021-11-21,51.0
Belgium,2021-11-28,55.0
Belgium,2021-12-05,72.0
Belgium,2021-12-12,68.0
Belgium,2021-12-19,67.0
Belgium,2021-12-26,61.0
Belgium,2022-01-02,54.0
Belgium,2022-01-09,48.0
Belgium,2022-01-16,66.0
Belgium,2022-01-23,63.0
Belgium,2022-01-30,78.0
Belgium,2022-02-06,57.0
Belgium,2022-02-13,66.0
Belgium,2022-02-20,68.0
Belgium,2022-02-27,60.0
Belgium,2022-03-06,59.0
Belgium,2022-03-13,52.0
Belgium,2022-03-20,56.0
Belgium,2022-03-27,70.0
Belgium,2022-04-03,66.0
Belgium,2022-04-10,88.0
