Country,Date,search_index
Brazil,2020-01-26,77.0
Brazil,2020-02-02,72.0
Brazil,2020-02-09,74.0
Brazil,2020-02-16,66.0
Brazil,2020-02-23,72.0
Brazil,2020-03-01,69.0
Brazil,2020-03-08,71.0
Brazil,2020-03-15,55.0
Brazil,2020-03-22,50.0
Brazil,2020-03-29,50.0
Brazil,2020-04-05,50.0
Brazil,2020-04-12,54.0
Brazil,2020-04-19,59.0
Brazil,2020-04-26,61.0
Brazil,2020-05-03,55.0
Brazil,2020-05-10,54.0
Brazil,2020-05-17,56.0
Brazil,2020-05-24,56.0
Brazil,2020-05-31,55.0
Brazil,2020-06-07,65.0
Brazil,2020-06-14,57.0
Brazil,2020-06-21,57.0
Brazil,2020-06-28,55.0
Brazil,2020-07-05,59.0
Brazil,2020-07-12,62.0
Brazil,2020-07-19,60.0
Brazil,2020-07-26,61.0
Brazil,2020-08-02,58.0
Brazil,2020-08-09,55.0
Brazil,2020-08-16,57.0
Brazil,2020-08-23,57.0
Brazil,2020-08-30,61.0
Brazil,2020-09-06,69.0
Brazil,2020-09-13,65.0
Brazil,2020-09-20,68.0
Brazil,2020-09-27,100.0
Brazil,2020-10-04,73.0
Brazil,2020-10-11,71.0
Brazil,2020-10-18,73.0
Brazil,2020-10-25,71.0
Brazil,2020-11-01,70.0
Brazil,2020-11-08,71.0
Brazil,2020-11-15,61.0
Brazil,2020-11-22,66.0
Brazil,2020-11-29,66.0
Brazil,2020-12-06,70.0
Brazil,2020-12-13,66.0
Brazil,2020-12-20,59.0
Brazil,2020-12-27,63.0
Brazil,2021-01-03,72.0
Brazil,2021-01-10,76.0
Brazil,2021-01-17,72.0
Brazil,2021-01-24,71.0
Brazil,2021-01-31,68.0
Brazil,2021-02-07,65.0
Brazil,2021-02-14,66.0
Brazil,2021-02-21,64.0
Brazil,2021-02-28,59.0
Brazil,2021-03-07,55.0
Brazil,2021-03-14,54.0
Brazil,2021-03-21,52.0
Brazil,2021-03-28,50.0
Brazil,2021-04-04,53.0
Brazil,2021-04-11,57.0
Brazil,2021-04-18,61.0
Brazil,2021-04-25,56.0
Brazil,2021-05-02,55.0
Brazil,2021-05-09,61.0
Brazil,2021-05-16,69.0
Brazil,2021-05-23,75.0
Brazil,2021-05-30,67.0
Brazil,2021-06-06,63.0
Brazil,2021-06-13,63.0
Brazil,2021-06-20,63.0
Brazil,2021-06-27,60.0
Brazil,2021-07-04,63.0
Brazil,2021-07-11,68.0
Brazil,2021-07-18,70.0
Brazil,2021-07-25,68.0
Brazil,2021-08-01,60.0
Brazil,2021-08-08,65.0
Brazil,2021-08-15,67.0
Brazil,2021-08-22,67.0
Brazil,2021-08-29,72.0
Brazil,2021-09-05,77.0
Brazil,2021-09-12,76.0
Brazil,2021-09-19,75.0
Brazil,2021-09-26,72.0
Brazil,2021-10-03,70.0
Brazil,2021-10-10,77.0
Brazil,2021-10-17,79.0
Brazil,2021-10-24,78.0
Brazil,2021-10-31,78.0
Brazil,2021-11-07,74.0
Brazil,2021-11-14,75.0
Brazil,2021-11-21,68.0
Brazil,2021-11-28,66.0
Brazil,2021-12-05,67.0
Brazil,2021-12-12,65.0
Brazil,2021-12-19,56.0
Brazil,2021-12-26,61.0
Brazil,2022-01-02,73.0
Brazil,2022-01-09,75.0
Brazil,2022-01-16,72.0
Brazil,2022-01-23,73.0
Brazil,2022-01-30,73.0
Brazil,2022-02-06,65.0
Brazil,2022-02-13,65.0
Brazil,2022-02-20,64.0
Brazil,2022-02-27,68.0
Brazil,2022-03-06,64.0
Brazil,2022-03-13,66.0
Brazil,2022-03-20,66.0
Brazil,2022-03-27,64.0
Brazil,2022-04-03,66.0
Brazil,2022-04-10,65.0
