Country,Date,search_index
Canada,2020-01-26,93.0
Canada,2020-02-02,92.0
Canada,2020-02-09,97.0
Canada,2020-02-16,93.0
Canada,2020-02-23,86.0
Canada,2020-03-01,89.0
Canada,2020-03-08,77.0
Canada,2020-03-15,71.0
Canada,2020-03-22,73.0
Canada,2020-03-29,78.0
Canada,2020-04-05,81.0
Canada,2020-04-12,83.0
Canada,2020-04-19,84.0
Canada,2020-04-26,85.0
Canada,2020-05-03,81.0
Canada,2020-05-10,82.0
Canada,2020-05-17,83.0
Canada,2020-05-24,79.0
Canada,2020-05-31,80.0
Canada,2020-06-07,80.0
Canada,2020-06-14,84.0
Canada,2020-06-21,82.0
Canada,2020-06-28,84.0
Canada,2020-07-05,87.0
Canada,2020-07-12,90.0
Canada,2020-07-19,88.0
Canada,2020-07-26,82.0
Canada,2020-08-02,89.0
Canada,2020-08-09,89.0
Canada,2020-08-16,83.0
Canada,2020-08-23,87.0
Canada,2020-08-30,82.0
Canada,2020-09-06,84.0
Canada,2020-09-13,83.0
Canada,2020-09-20,79.0
Canada,2020-09-27,82.0
Canada,2020-10-04,84.0
Canada,2020-10-11,87.0
Canada,2020-10-18,92.0
Canada,2020-10-25,86.0
Canada,2020-11-01,74.0
Canada,2020-11-08,84.0
Canada,2020-11-15,90.0
Canada,2020-11-22,84.0
Canada,2020-11-29,86.0
Canada,2020-12-06,87.0
Canada,2020-12-13,86.0
Canada,2020-12-20,86.0
Canada,2020-12-27,99.0
Canada,2021-01-03,88.0
Canada,2021-01-10,89.0
Canada,2021-01-17,96.0
Canada,2021-01-24,86.0
Canada,2021-01-31,86.0
Canada,2021-02-07,89.0
Canada,2021-02-14,92.0
Canada,2021-02-21,90.0
Canada,2021-02-28,88.0
Canada,2021-03-07,93.0
Canada,2021-03-14,87.0
Canada,2021-03-21,81.0
Canada,2021-03-28,81.0
Canada,2021-04-04,88.0
Canada,2021-04-11,88.0
Canada,2021-04-18,84.0
Canada,2021-04-25,80.0
Canada,2021-05-02,83.0
Canada,2021-05-09,83.0
Canada,2021-05-16,87.0
Canada,2021-05-23,94.0
Canada,2021-05-30,82.0
Canada,2021-06-06,84.0
Canada,2021-06-13,83.0
Canada,2021-06-20,80.0
Canada,2021-06-27,84.0
Canada,2021-07-04,85.0
Canada,2021-07-11,90.0
Canada,2021-07-18,88.0
Canada,2021-07-25,85.0
Canada,2021-08-01,89.0
Canada,2021-08-08,87.0
Canada,2021-08-15,87.0
Canada,2021-08-22,87.0
Canada,2021-08-29,87.0
Canada,2021-09-05,85.0
Canada,2021-09-12,84.0
Canada,2021-09-19,84.0
Canada,2021-09-26,86.0
Canada,2021-10-03,82.0
Canada,2021-10-10,92.0
Canada,2021-10-17,90.0
Canada,2021-10-24,87.0
Canada,2021-10-31,83.0
Canada,2021-11-07,87.0
Canada,2021-11-14,83.0
Canada,2021-11-21,84.0
Canada,2021-11-28,82.0
Canada,2021-12-05,83.0
Canada,2021-12-12,82.0
Canada,2021-12-19,80.0
Canada,2021-12-26,93.0
Canada,2022-01-02,92.0
Canada,2022-01-09,90.0
Canada,2022-01-16,91.0
Canada,2022-01-23,87.0
Canada,2022-01-30,95.0
Canada,2022-02-06,92.0
Canada,2022-02-13,100.0
Canada,2022-02-20,97.0
Canada,2022-02-27,92.0
Canada,2022-03-06,94.0
Canada,2022-03-13,88.0
Canada,2022-03-20,92.0
Canada,2022-03-27,100.0
Canada,2022-04-03,91.0
Canada,2022-04-10,92.0
