Country,Date,search_index
Cuba,2020-01-26,59.0
Cuba,2020-02-02,61.0
Cuba,2020-02-09,71.0
Cuba,2020-02-16,50.0
Cuba,2020-02-23,67.0
Cuba,2020-03-01,50.0
Cuba,2020-03-08,52.0
Cuba,2020-03-15,64.0
Cuba,2020-03-22,30.0
Cuba,2020-03-29,36.0
Cuba,2020-04-05,43.0
Cuba,2020-04-12,28.0
Cuba,2020-04-19,64.0
Cuba,2020-04-26,39.0
Cuba,2020-05-03,25.0
Cuba,2020-05-10,50.0
Cuba,2020-05-17,49.0
Cuba,2020-05-24,54.0
Cuba,2020-05-31,51.0
Cuba,2020-06-07,88.0
Cuba,2020-06-14,57.0
Cuba,2020-06-21,55.0
Cuba,2020-06-28,57.0
Cuba,2020-07-05,58.0
Cuba,2020-07-12,45.0
Cuba,2020-07-19,47.0
Cuba,2020-07-26,46.0
Cuba,2020-08-02,49.0
Cuba,2020-08-09,48.0
Cuba,2020-08-16,46.0
Cuba,2020-08-23,44.0
Cuba,2020-08-30,50.0
Cuba,2020-09-06,56.0
Cuba,2020-09-13,48.0
Cuba,2020-09-20,47.0
Cuba,2020-09-27,46.0
Cuba,2020-10-04,56.0
Cuba,2020-10-11,86.0
Cuba,2020-10-18,50.0
Cuba,2020-10-25,60.0
Cuba,2020-11-01,42.0
Cuba,2020-11-08,66.0
Cuba,2020-11-15,45.0
Cuba,2020-11-22,25.0
Cuba,2020-11-29,40.0
Cuba,2020-12-06,48.0
Cuba,2020-12-13,65.0
Cuba,2020-12-20,46.0
Cuba,2020-12-27,66.0
Cuba,2021-01-03,67.0
Cuba,2021-01-10,63.0
Cuba,2021-01-17,57.0
Cuba,2021-01-24,55.0
Cuba,2021-01-31,72.0
Cuba,2021-02-07,63.0
Cuba,2021-02-14,79.0
Cuba,2021-02-21,78.0
Cuba,2021-02-28,57.0
Cuba,2021-03-07,54.0
Cuba,2021-03-14,65.0
Cuba,2021-03-21,65.0
Cuba,2021-03-28,53.0
Cuba,2021-04-04,56.0
Cuba,2021-04-11,71.0
Cuba,2021-04-18,70.0
Cuba,2021-04-25,56.0
Cuba,2021-05-02,56.0
Cuba,2021-05-09,78.0
Cuba,2021-05-16,72.0
Cuba,2021-05-23,77.0
Cuba,2021-05-30,72.0
Cuba,2021-06-06,39.0
Cuba,2021-06-13,47.0
Cuba,2021-06-20,57.0
Cuba,2021-06-27,62.0
Cuba,2021-07-04,58.0
Cuba,2021-07-11,41.0
Cuba,2021-07-18,43.0
Cuba,2021-07-25,60.0
Cuba,2021-08-01,55.0
Cuba,2021-08-08,50.0
Cuba,2021-08-15,64.0
Cuba,2021-08-22,67.0
Cuba,2021-08-29,47.0
Cuba,2021-09-05,54.0
Cuba,2021-09-12,71.0
Cuba,2021-09-19,64.0
Cuba,2021-09-26,48.0
Cuba,2021-10-03,76.0
Cuba,2021-10-10,86.0
Cuba,2021-10-17,51.0
Cuba,2021-10-24,56.0
Cuba,2021-10-31,56.0
Cuba,2021-11-07,73.0
Cuba,2021-11-14,67.0
Cuba,2021-11-21,57.0
Cuba,2021-11-28,77.0
Cuba,2021-12-05,62.0
Cuba,2021-12-12,60.0
Cuba,2021-12-19,90.0
Cuba,2021-12-26,61.0
Cuba,2022-01-02,73.0
Cuba,2022-01-09,57.0
Cuba,2022-01-16,60.0
Cuba,2022-01-23,89.0
Cuba,2022-01-30,82.0
Cuba,2022-02-06,100.0
Cuba,2022-02-13,100.0
Cuba,2022-02-20,62.0
Cuba,2022-02-27,68.0
Cuba,2022-03-06,83.0
Cuba,2022-03-13,63.0
Cuba,2022-03-20,62.0
Cuba,2022-03-27,72.0
Cuba,2022-04-03,65.0
Cuba,2022-04-10,68.0
