Country,Date,search_index
Israel,2020-01-26,56.0
Israel,2020-02-02,67.0
Israel,2020-02-09,79.0
Israel,2020-02-16,38.0
Israel,2020-02-23,47.0
Israel,2020-03-01,42.0
Israel,2020-03-08,47.0
Israel,2020-03-15,48.0
Israel,2020-03-22,41.0
Israel,2020-03-29,44.0
Israel,2020-04-05,44.0
Israel,2020-04-12,58.0
Israel,2020-04-19,67.0
Israel,2020-04-26,55.0
Israel,2020-05-03,42.0
Israel,2020-05-10,52.0
Israel,2020-05-17,55.0
Israel,2020-05-24,66.0
Israel,2020-05-31,40.0
Israel,2020-06-07,42.0
Israel,2020-06-14,67.0
Israel,2020-06-21,67.0
Israel,2020-06-28,59.0
Israel,2020-07-05,62.0
Israel,2020-07-12,63.0
Israel,2020-07-19,46.0
Israel,2020-07-26,35.0
Israel,2020-08-02,35.0
Israel,2020-08-09,39.0
Israel,2020-08-16,59.0
Israel,2020-08-23,55.0
Israel,2020-08-30,61.0
Israel,2020-09-06,43.0
Israel,2020-09-13,39.0
Israel,2020-09-20,47.0
Israel,2020-09-27,52.0
Israel,2020-10-04,66.0
Israel,2020-10-11,46.0
Israel,2020-10-18,56.0
Israel,2020-10-25,48.0
Israel,2020-11-01,42.0
Israel,2020-11-08,39.0
Israel,2020-11-15,55.0
Israel,2020-11-22,24.0
Israel,2020-11-29,67.0
Israel,2020-12-06,52.0
Israel,2020-12-13,46.0
Israel,2020-12-20,54.0
Israel,2020-12-27,50.0
Israel,2021-01-03,68.0
Israel,2021-01-10,28.0
Israel,2021-01-17,59.0
Israel,2021-01-24,67.0
Israel,2021-01-31,48.0
Israel,2021-02-07,47.0
Israel,2021-02-14,33.0
Israel,2021-02-21,47.0
Israel,2021-02-28,52.0
Israel,2021-03-07,50.0
Israel,2021-03-14,45.0
Israel,2021-03-21,31.0
Israel,2021-03-28,55.0
Israel,2021-04-04,48.0
Israel,2021-04-11,42.0
Israel,2021-04-18,35.0
Israel,2021-04-25,43.0
Israel,2021-05-02,35.0
Israel,2021-05-09,45.0
Israel,2021-05-16,35.0
Israel,2021-05-23,58.0
Israel,2021-05-30,55.0
Israel,2021-06-06,47.0
Israel,2021-06-13,38.0
Israel,2021-06-20,52.0
Israel,2021-06-27,28.0
Israel,2021-07-04,48.0
Israel,2021-07-11,49.0
Israel,2021-07-18,32.0
Israel,2021-07-25,51.0
Israel,2021-08-01,59.0
Israel,2021-08-08,37.0
Israel,2021-08-15,50.0
Israel,2021-08-22,54.0
Israel,2021-08-29,30.0
Israel,2021-09-05,57.0
Israel,2021-09-12,57.0
Israel,2021-09-19,82.0
Israel,2021-09-26,66.0
Israel,2021-10-03,77.0
Israel,2021-10-10,79.0
Israel,2021-10-17,64.0
Israel,2021-10-24,42.0
Israel,2021-10-31,78.0
Israel,2021-11-07,39.0
Israel,2021-11-14,29.0
Israel,2021-11-21,55.0
Israel,2021-11-28,46.0
Israel,2021-12-05,44.0
Israel,2021-12-12,35.0
Israel,2021-12-19,64.0
Israel,2021-12-26,51.0
Israel,2022-01-02,43.0
Israel,2022-01-09,54.0
Israel,2022-01-16,40.0
Israel,2022-01-23,56.0
Israel,2022-01-30,51.0
Israel,2022-02-06,83.0
Israel,2022-02-13,84.0
Israel,2022-02-20,54.0
Israel,2022-02-27,94.0
Israel,2022-03-06,95.0
Israel,2022-03-13,92.0
Israel,2022-03-20,100.0
Israel,2022-03-27,99.0
Israel,2022-04-03,66.0
Israel,2022-04-10,100.0
