Country,Date,search_index
Italy,2020-01-26,34.0
Italy,2020-02-02,35.0
Italy,2020-02-09,36.0
Italy,2020-02-16,36.0
Italy,2020-02-23,28.0
Italy,2020-03-01,32.0
Italy,2020-03-08,21.0
Italy,2020-03-15,19.0
Italy,2020-03-22,21.0
Italy,2020-03-29,24.0
Italy,2020-04-05,24.0
Italy,2020-04-12,29.0
Italy,2020-04-19,31.0
Italy,2020-04-26,31.0
Italy,2020-05-03,29.0
Italy,2020-05-10,30.0
Italy,2020-05-17,31.0
Italy,2020-05-24,31.0
Italy,2020-05-31,37.0
Italy,2020-06-07,39.0
Italy,2020-06-14,38.0
Italy,2020-06-21,38.0
Italy,2020-06-28,38.0
Italy,2020-07-05,38.0
Italy,2020-07-12,37.0
Italy,2020-07-19,42.0
Italy,2020-07-26,41.0
Italy,2020-08-02,39.0
Italy,2020-08-09,36.0
Italy,2020-08-16,41.0
Italy,2020-08-23,46.0
Italy,2020-08-30,59.0
Italy,2020-09-06,67.0
Italy,2020-09-13,53.0
Italy,2020-09-20,57.0
Italy,2020-09-27,66.0
Italy,2020-10-04,45.0
Italy,2020-10-11,41.0
Italy,2020-10-18,30.0
Italy,2020-10-25,26.0
Italy,2020-11-01,21.0
Italy,2020-11-08,24.0
Italy,2020-11-15,27.0
Italy,2020-11-22,24.0
Italy,2020-11-29,24.0
Italy,2020-12-06,26.0
Italy,2020-12-13,23.0
Italy,2020-12-20,25.0
Italy,2020-12-27,30.0
Italy,2021-01-03,30.0
Italy,2021-01-10,30.0
Italy,2021-01-17,30.0
Italy,2021-01-24,31.0
Italy,2021-01-31,31.0
Italy,2021-02-07,30.0
Italy,2021-02-14,35.0
Italy,2021-02-21,35.0
Italy,2021-02-28,32.0
Italy,2021-03-07,31.0
Italy,2021-03-14,32.0
Italy,2021-03-21,33.0
Italy,2021-03-28,30.0
Italy,2021-04-04,36.0
Italy,2021-04-11,40.0
Italy,2021-04-18,55.0
Italy,2021-04-25,64.0
Italy,2021-05-02,56.0
Italy,2021-05-09,66.0
Italy,2021-05-16,91.0
Italy,2021-05-23,55.0
Italy,2021-05-30,65.0
Italy,2021-06-06,64.0
Italy,2021-06-13,66.0
Italy,2021-06-20,71.0
Italy,2021-06-27,66.0
Italy,2021-07-04,64.0
Italy,2021-07-11,100.0
Italy,2021-07-18,64.0
Italy,2021-07-25,58.0
Italy,2021-08-01,51.0
Italy,2021-08-08,49.0
Italy,2021-08-15,47.0
Italy,2021-08-22,57.0
Italy,2021-08-29,70.0
Italy,2021-09-05,65.0
Italy,2021-09-12,59.0
Italy,2021-09-19,53.0
Italy,2021-09-26,45.0
Italy,2021-10-03,43.0
Italy,2021-10-10,40.0
Italy,2021-10-17,38.0
Italy,2021-10-24,34.0
Italy,2021-10-31,30.0
Italy,2021-11-07,29.0
Italy,2021-11-14,30.0
Italy,2021-11-21,28.0
Italy,2021-11-28,26.0
Italy,2021-12-05,29.0
Italy,2021-12-12,27.0
Italy,2021-12-19,27.0
Italy,2021-12-26,32.0
Italy,2022-01-02,32.0
Italy,2022-01-09,32.0
Italy,2022-01-16,35.0
Italy,2022-01-23,35.0
Italy,2022-01-30,35.0
Italy,2022-02-06,36.0
Italy,2022-02-13,39.0
Italy,2022-02-20,37.0
Italy,2022-02-27,36.0
Italy,2022-03-06,36.0
Italy,2022-03-13,43.0
Italy,2022-03-20,61.0
Italy,2022-03-27,44.0
Italy,2022-04-03,44.0
Italy,2022-04-10,45.0
