Country,Date,search_index
Japan,2020-01-26,47.0
Japan,2020-02-02,35.0
Japan,2020-02-09,46.0
Japan,2020-02-16,42.0
Japan,2020-02-23,42.0
Japan,2020-03-01,39.0
Japan,2020-03-08,49.0
Japan,2020-03-15,40.0
Japan,2020-03-22,38.0
Japan,2020-03-29,27.0
Japan,2020-04-05,35.0
Japan,2020-04-12,27.0
Japan,2020-04-19,36.0
Japan,2020-04-26,33.0
Japan,2020-05-03,37.0
Japan,2020-05-10,33.0
Japan,2020-05-17,41.0
Japan,2020-05-24,45.0
Japan,2020-05-31,32.0
Japan,2020-06-07,47.0
Japan,2020-06-14,39.0
Japan,2020-06-21,43.0
Japan,2020-06-28,49.0
Japan,2020-07-05,39.0
Japan,2020-07-12,42.0
Japan,2020-07-19,46.0
Japan,2020-07-26,29.0
Japan,2020-08-02,40.0
Japan,2020-08-09,39.0
Japan,2020-08-16,26.0
Japan,2020-08-23,40.0
Japan,2020-08-30,45.0
Japan,2020-09-06,37.0
Japan,2020-09-13,32.0
Japan,2020-09-20,40.0
Japan,2020-09-27,36.0
Japan,2020-10-04,29.0
Japan,2020-10-11,42.0
Japan,2020-10-18,42.0
Japan,2020-10-25,34.0
Japan,2020-11-01,41.0
Japan,2020-11-08,28.0
Japan,2020-11-15,37.0
Japan,2020-11-22,48.0
Japan,2020-11-29,42.0
Japan,2020-12-06,39.0
Japan,2020-12-13,53.0
Japan,2020-12-20,26.0
Japan,2020-12-27,28.0
Japan,2021-01-03,33.0
Japan,2021-01-10,38.0
Japan,2021-01-17,28.0
Japan,2021-01-24,41.0
Japan,2021-01-31,33.0
Japan,2021-02-07,34.0
Japan,2021-02-14,39.0
Japan,2021-02-21,33.0
Japan,2021-02-28,42.0
Japan,2021-03-07,38.0
Japan,2021-03-14,42.0
Japan,2021-03-21,34.0
Japan,2021-03-28,33.0
Japan,2021-04-04,36.0
Japan,2021-04-11,30.0
Japan,2021-04-18,38.0
Japan,2021-04-25,40.0
Japan,2021-05-02,38.0
Japan,2021-05-09,41.0
Japan,2021-05-16,37.0
Japan,2021-05-23,49.0
Japan,2021-05-30,39.0
Japan,2021-06-06,41.0
Japan,2021-06-13,34.0
Japan,2021-06-20,30.0
Japan,2021-06-27,38.0
Japan,2021-07-04,49.0
Japan,2021-07-11,32.0
Japan,2021-07-18,32.0
Japan,2021-07-25,35.0
Japan,2021-08-01,40.0
Japan,2021-08-08,39.0
Japan,2021-08-15,31.0
Japan,2021-08-22,22.0
Japan,2021-08-29,33.0
Japan,2021-09-05,36.0
Japan,2021-09-12,27.0
Japan,2021-09-19,36.0
Japan,2021-09-26,38.0
Japan,2021-10-03,27.0
Japan,2021-10-10,41.0
Japan,2021-10-17,44.0
Japan,2021-10-24,45.0
Japan,2021-10-31,31.0
Japan,2021-11-07,38.0
Japan,2021-11-14,37.0
Japan,2021-11-21,38.0
Japan,2021-11-28,49.0
Japan,2021-12-05,30.0
Japan,2021-12-12,31.0
Japan,2021-12-19,37.0
Japan,2021-12-26,37.0
Japan,2022-01-02,34.0
Japan,2022-01-09,37.0
Japan,2022-01-16,46.0
Japan,2022-01-23,48.0
Japan,2022-01-30,57.0
Japan,2022-02-06,73.0
Japan,2022-02-13,72.0
Japan,2022-02-20,59.0
Japan,2022-02-27,68.0
Japan,2022-03-06,88.0
Japan,2022-03-13,69.0
Japan,2022-03-20,100.0
Japan,2022-03-27,86.0
Japan,2022-04-03,61.0
Japan,2022-04-10,76.0
