Country,Date,search_index
Qatar,2020-01-26,54.0
Qatar,2020-02-02,53.0
Qatar,2020-02-09,60.0
Qatar,2020-02-16,51.0
Qatar,2020-02-23,48.0
Qatar,2020-03-01,38.0
Qatar,2020-03-08,43.0
Qatar,2020-03-15,43.0
Qatar,2020-03-22,37.0
Qatar,2020-03-29,34.0
Qatar,2020-04-05,28.0
Qatar,2020-04-12,46.0
Qatar,2020-04-19,39.0
Qatar,2020-04-26,42.0
Qatar,2020-05-03,31.0
Qatar,2020-05-10,51.0
Qatar,2020-05-17,38.0
Qatar,2020-05-24,46.0
Qatar,2020-05-31,35.0
Qatar,2020-06-07,48.0
Qatar,2020-06-14,62.0
Qatar,2020-06-21,49.0
Qatar,2020-06-28,66.0
Qatar,2020-07-05,56.0
Qatar,2020-07-12,46.0
Qatar,2020-07-19,32.0
Qatar,2020-07-26,29.0
Qatar,2020-08-02,37.0
Qatar,2020-08-09,42.0
Qatar,2020-08-16,47.0
Qatar,2020-08-23,35.0
Qatar,2020-08-30,44.0
Qatar,2020-09-06,50.0
Qatar,2020-09-13,44.0
Qatar,2020-09-20,35.0
Qatar,2020-09-27,35.0
Qatar,2020-10-04,33.0
Qatar,2020-10-11,39.0
Qatar,2020-10-18,48.0
Qatar,2020-10-25,39.0
Qatar,2020-11-01,42.0
Qatar,2020-11-08,50.0
Qatar,2020-11-15,50.0
Qatar,2020-11-22,56.0
Qatar,2020-11-29,52.0
Qatar,2020-12-06,53.0
Qatar,2020-12-13,47.0
Qatar,2020-12-20,49.0
Qatar,2020-12-27,33.0
Qatar,2021-01-03,46.0
Qatar,2021-01-10,54.0
Qatar,2021-01-17,41.0
Qatar,2021-01-24,39.0
Qatar,2021-01-31,32.0
Qatar,2021-02-07,48.0
Qatar,2021-02-14,41.0
Qatar,2021-02-21,39.0
Qatar,2021-02-28,40.0
Qatar,2021-03-07,48.0
Qatar,2021-03-14,53.0
Qatar,2021-03-21,42.0
Qatar,2021-03-28,35.0
Qatar,2021-04-04,41.0
Qatar,2021-04-11,29.0
Qatar,2021-04-18,40.0
Qatar,2021-04-25,38.0
Qatar,2021-05-02,39.0
Qatar,2021-05-09,29.0
Qatar,2021-05-16,40.0
Qatar,2021-05-23,38.0
Qatar,2021-05-30,44.0
Qatar,2021-06-06,46.0
Qatar,2021-06-13,29.0
Qatar,2021-06-20,44.0
Qatar,2021-06-27,37.0
Qatar,2021-07-04,40.0
Qatar,2021-07-11,43.0
Qatar,2021-07-18,44.0
Qatar,2021-07-25,48.0
Qatar,2021-08-01,33.0
Qatar,2021-08-08,42.0
Qatar,2021-08-15,42.0
Qatar,2021-08-22,44.0
Qatar,2021-08-29,39.0
Qatar,2021-09-05,52.0
Qatar,2021-09-12,44.0
Qatar,2021-09-19,33.0
Qatar,2021-09-26,45.0
Qatar,2021-10-03,38.0
Qatar,2021-10-10,43.0
Qatar,2021-10-17,37.0
Qatar,2021-10-24,39.0
Qatar,2021-10-31,31.0
Qatar,2021-11-07,56.0
Qatar,2021-11-14,43.0
Qatar,2021-11-21,39.0
Qatar,2021-11-28,43.0
Qatar,2021-12-05,50.0
Qatar,2021-12-12,50.0
Qatar,2021-12-19,45.0
Qatar,2021-12-26,42.0
Qatar,2022-01-02,41.0
Qatar,2022-01-09,41.0
Qatar,2022-01-16,40.0
Qatar,2022-01-23,52.0
Qatar,2022-01-30,63.0
Qatar,2022-02-06,80.0
Qatar,2022-02-13,80.0
Qatar,2022-02-20,77.0
Qatar,2022-02-27,90.0
Qatar,2022-03-06,94.0
Qatar,2022-03-13,95.0
Qatar,2022-03-20,100.0
Qatar,2022-03-27,74.0
Qatar,2022-04-03,78.0
Qatar,2022-04-10,76.0
