Country,Date,search_index
Russia,2020-01-26,47.0
Russia,2020-02-02,67.0
Russia,2020-02-09,66.0
Russia,2020-02-16,49.0
Russia,2020-02-23,63.0
Russia,2020-03-01,51.0
Russia,2020-03-08,52.0
Russia,2020-03-15,43.0
Russia,2020-03-22,34.0
Russia,2020-03-29,49.0
Russia,2020-04-05,50.0
Russia,2020-04-12,51.0
Russia,2020-04-19,51.0
Russia,2020-04-26,50.0
Russia,2020-05-03,48.0
Russia,2020-05-10,38.0
Russia,2020-05-17,38.0
Russia,2020-05-24,47.0
Russia,2020-05-31,44.0
Russia,2020-06-07,31.0
Russia,2020-06-14,49.0
Russia,2020-06-21,40.0
Russia,2020-06-28,44.0
Russia,2020-07-05,33.0
Russia,2020-07-12,42.0
Russia,2020-07-19,25.0
Russia,2020-07-26,34.0
Russia,2020-08-02,31.0
Russia,2020-08-09,31.0
Russia,2020-08-16,34.0
Russia,2020-08-23,37.0
Russia,2020-08-30,32.0
Russia,2020-09-06,28.0
Russia,2020-09-13,26.0
Russia,2020-09-20,25.0
Russia,2020-09-27,35.0
Russia,2020-10-04,45.0
Russia,2020-10-11,48.0
Russia,2020-10-18,25.0
Russia,2020-10-25,37.0
Russia,2020-11-01,40.0
Russia,2020-11-08,45.0
Russia,2020-11-15,41.0
Russia,2020-11-22,25.0
Russia,2020-11-29,28.0
Russia,2020-12-06,26.0
Russia,2020-12-13,32.0
Russia,2020-12-20,33.0
Russia,2020-12-27,42.0
Russia,2021-01-03,35.0
Russia,2021-01-10,32.0
Russia,2021-01-17,39.0
Russia,2021-01-24,40.0
Russia,2021-01-31,20.0
Russia,2021-02-07,27.0
Russia,2021-02-14,31.0
Russia,2021-02-21,37.0
Russia,2021-02-28,31.0
Russia,2021-03-07,28.0
Russia,2021-03-14,29.0
Russia,2021-03-21,41.0
Russia,2021-03-28,38.0
Russia,2021-04-04,35.0
Russia,2021-04-11,29.0
Russia,2021-04-18,46.0
Russia,2021-04-25,43.0
Russia,2021-05-02,52.0
Russia,2021-05-09,30.0
Russia,2021-05-16,39.0
Russia,2021-05-23,32.0
Russia,2021-05-30,33.0
Russia,2021-06-06,33.0
Russia,2021-06-13,38.0
Russia,2021-06-20,32.0
Russia,2021-06-27,35.0
Russia,2021-07-04,25.0
Russia,2021-07-11,36.0
Russia,2021-07-18,47.0
Russia,2021-07-25,37.0
Russia,2021-08-01,43.0
Russia,2021-08-08,41.0
Russia,2021-08-15,44.0
Russia,2021-08-22,48.0
Russia,2021-08-29,41.0
Russia,2021-09-05,51.0
Russia,2021-09-12,45.0
Russia,2021-09-19,36.0
Russia,2021-09-26,27.0
Russia,2021-10-03,30.0
Russia,2021-10-10,49.0
Russia,2021-10-17,20.0
Russia,2021-10-24,34.0
Russia,2021-10-31,29.0
Russia,2021-11-07,27.0
Russia,2021-11-14,41.0
Russia,2021-11-21,51.0
Russia,2021-11-28,51.0
Russia,2021-12-05,76.0
Russia,2021-12-12,65.0
Russia,2021-12-19,60.0
Russia,2021-12-26,67.0
Russia,2022-01-02,52.0
Russia,2022-01-09,60.0
Russia,2022-01-16,57.0
Russia,2022-01-23,100.0
Russia,2022-01-30,69.0
Russia,2022-02-06,68.0
Russia,2022-02-13,94.0
Russia,2022-02-20,74.0
Russia,2022-02-27,72.0
Russia,2022-03-06,62.0
Russia,2022-03-13,53.0
Russia,2022-03-20,80.0
Russia,2022-03-27,59.0
Russia,2022-04-03,58.0
Russia,2022-04-10,70.0
