Country,Date,search_index
Singapore,2020-01-26,78.0
Singapore,2020-02-02,71.0
Singapore,2020-02-09,70.0
Singapore,2020-02-16,82.0
Singapore,2020-02-23,80.0
Singapore,2020-03-01,77.0
Singapore,2020-03-08,72.0
Singapore,2020-03-15,65.0
Singapore,2020-03-22,60.0
Singapore,2020-03-29,61.0
Singapore,2020-04-05,67.0
Singapore,2020-04-12,71.0
Singapore,2020-04-19,68.0
Singapore,2020-04-26,73.0
Singapore,2020-05-03,84.0
Singapore,2020-05-10,90.0
Singapore,2020-05-17,90.0
Singapore,2020-05-24,85.0
Singapore,2020-05-31,79.0
Singapore,2020-06-07,79.0
Singapore,2020-06-14,73.0
Singapore,2020-06-21,73.0
Singapore,2020-06-28,77.0
Singapore,2020-07-05,68.0
Singapore,2020-07-12,74.0
Singapore,2020-07-19,78.0
Singapore,2020-07-26,74.0
Singapore,2020-08-02,67.0
Singapore,2020-08-09,73.0
Singapore,2020-08-16,69.0
Singapore,2020-08-23,74.0
Singapore,2020-08-30,72.0
Singapore,2020-09-06,77.0
Singapore,2020-09-13,73.0
Singapore,2020-09-20,76.0
Singapore,2020-09-27,77.0
Singapore,2020-10-04,79.0
Singapore,2020-10-11,73.0
Singapore,2020-10-18,80.0
Singapore,2020-10-25,81.0
Singapore,2020-11-01,64.0
Singapore,2020-11-08,73.0
Singapore,2020-11-15,80.0
Singapore,2020-11-22,78.0
Singapore,2020-11-29,76.0
Singapore,2020-12-06,77.0
Singapore,2020-12-13,81.0
Singapore,2020-12-20,77.0
Singapore,2020-12-27,83.0
Singapore,2021-01-03,74.0
Singapore,2021-01-10,67.0
Singapore,2021-01-17,78.0
Singapore,2021-01-24,74.0
Singapore,2021-01-31,72.0
Singapore,2021-02-07,78.0
Singapore,2021-02-14,76.0
Singapore,2021-02-21,72.0
Singapore,2021-02-28,77.0
Singapore,2021-03-07,77.0
Singapore,2021-03-14,80.0
Singapore,2021-03-21,85.0
Singapore,2021-03-28,74.0
Singapore,2021-04-04,77.0
Singapore,2021-04-11,70.0
Singapore,2021-04-18,74.0
Singapore,2021-04-25,64.0
Singapore,2021-05-02,89.0
Singapore,2021-05-09,78.0
Singapore,2021-05-16,72.0
Singapore,2021-05-23,85.0
Singapore,2021-05-30,78.0
Singapore,2021-06-06,87.0
Singapore,2021-06-13,72.0
Singapore,2021-06-20,72.0
Singapore,2021-06-27,75.0
Singapore,2021-07-04,66.0
Singapore,2021-07-11,69.0
Singapore,2021-07-18,69.0
Singapore,2021-07-25,76.0
Singapore,2021-08-01,75.0
Singapore,2021-08-08,78.0
Singapore,2021-08-15,72.0
Singapore,2021-08-22,76.0
Singapore,2021-08-29,78.0
Singapore,2021-09-05,70.0
Singapore,2021-09-12,76.0
Singapore,2021-09-19,74.0
Singapore,2021-09-26,82.0
Singapore,2021-10-03,77.0
Singapore,2021-10-10,95.0
Singapore,2021-10-17,100.0
Singapore,2021-10-24,90.0
Singapore,2021-10-31,88.0
Singapore,2021-11-07,88.0
Singapore,2021-11-14,80.0
Singapore,2021-11-21,84.0
Singapore,2021-11-28,74.0
Singapore,2021-12-05,84.0
Singapore,2021-12-12,86.0
Singapore,2021-12-19,87.0
Singapore,2021-12-26,85.0
Singapore,2022-01-02,77.0
Singapore,2022-01-09,78.0
Singapore,2022-01-16,76.0
Singapore,2022-01-23,69.0
Singapore,2022-01-30,84.0
Singapore,2022-02-06,79.0
Singapore,2022-02-13,87.0
Singapore,2022-02-20,87.0
Singapore,2022-02-27,90.0
Singapore,2022-03-06,85.0
Singapore,2022-03-13,87.0
Singapore,2022-03-20,83.0
Singapore,2022-03-27,85.0
Singapore,2022-04-03,81.0
Singapore,2022-04-10,84.0
