Country,Date,search_index
Switzerland,2020-01-26,57.0
Switzerland,2020-02-02,61.0
Switzerland,2020-02-09,93.0
Switzerland,2020-02-16,78.0
Switzerland,2020-02-23,60.0
Switzerland,2020-03-01,45.0
Switzerland,2020-03-08,44.0
Switzerland,2020-03-15,33.0
Switzerland,2020-03-22,41.0
Switzerland,2020-03-29,53.0
Switzerland,2020-04-05,65.0
Switzerland,2020-04-12,53.0
Switzerland,2020-04-19,48.0
Switzerland,2020-04-26,32.0
Switzerland,2020-05-03,45.0
Switzerland,2020-05-10,59.0
Switzerland,2020-05-17,49.0
Switzerland,2020-05-24,63.0
Switzerland,2020-05-31,47.0
Switzerland,2020-06-07,60.0
Switzerland,2020-06-14,62.0
Switzerland,2020-06-21,57.0
Switzerland,2020-06-28,51.0
Switzerland,2020-07-05,46.0
Switzerland,2020-07-12,68.0
Switzerland,2020-07-19,37.0
Switzerland,2020-07-26,63.0
Switzerland,2020-08-02,42.0
Switzerland,2020-08-09,47.0
Switzerland,2020-08-16,44.0
Switzerland,2020-08-23,46.0
Switzerland,2020-08-30,64.0
Switzerland,2020-09-06,72.0
Switzerland,2020-09-13,54.0
Switzerland,2020-09-20,41.0
Switzerland,2020-09-27,50.0
Switzerland,2020-10-04,41.0
Switzerland,2020-10-11,51.0
Switzerland,2020-10-18,51.0
Switzerland,2020-10-25,44.0
Switzerland,2020-11-01,46.0
Switzerland,2020-11-08,46.0
Switzerland,2020-11-15,49.0
Switzerland,2020-11-22,39.0
Switzerland,2020-11-29,38.0
Switzerland,2020-12-06,29.0
Switzerland,2020-12-13,49.0
Switzerland,2020-12-20,38.0
Switzerland,2020-12-27,44.0
Switzerland,2021-01-03,38.0
Switzerland,2021-01-10,45.0
Switzerland,2021-01-17,44.0
Switzerland,2021-01-24,41.0
Switzerland,2021-01-31,46.0
Switzerland,2021-02-07,38.0
Switzerland,2021-02-14,41.0
Switzerland,2021-02-21,44.0
Switzerland,2021-02-28,39.0
Switzerland,2021-03-07,40.0
Switzerland,2021-03-14,43.0
Switzerland,2021-03-21,42.0
Switzerland,2021-03-28,37.0
Switzerland,2021-04-04,47.0
Switzerland,2021-04-11,49.0
Switzerland,2021-04-18,44.0
Switzerland,2021-04-25,44.0
Switzerland,2021-05-02,46.0
Switzerland,2021-05-09,31.0
Switzerland,2021-05-16,41.0
Switzerland,2021-05-23,71.0
Switzerland,2021-05-30,58.0
Switzerland,2021-06-06,32.0
Switzerland,2021-06-13,50.0
Switzerland,2021-06-20,32.0
Switzerland,2021-06-27,48.0
Switzerland,2021-07-04,58.0
Switzerland,2021-07-11,46.0
Switzerland,2021-07-18,47.0
Switzerland,2021-07-25,35.0
Switzerland,2021-08-01,53.0
Switzerland,2021-08-08,49.0
Switzerland,2021-08-15,69.0
Switzerland,2021-08-22,69.0
Switzerland,2021-08-29,38.0
Switzerland,2021-09-05,45.0
Switzerland,2021-09-12,46.0
Switzerland,2021-09-19,57.0
Switzerland,2021-09-26,100.0
Switzerland,2021-10-03,49.0
Switzerland,2021-10-10,55.0
Switzerland,2021-10-17,59.0
Switzerland,2021-10-24,42.0
Switzerland,2021-10-31,48.0
Switzerland,2021-11-07,42.0
Switzerland,2021-11-14,45.0
Switzerland,2021-11-21,51.0
Switzerland,2021-11-28,58.0
Switzerland,2021-12-05,49.0
Switzerland,2021-12-12,42.0
Switzerland,2021-12-19,44.0
Switzerland,2021-12-26,52.0
Switzerland,2022-01-02,59.0
Switzerland,2022-01-09,65.0
Switzerland,2022-01-16,55.0
Switzerland,2022-01-23,46.0
Switzerland,2022-01-30,57.0
Switzerland,2022-02-06,60.0
Switzerland,2022-02-13,43.0
Switzerland,2022-02-20,31.0
Switzerland,2022-02-27,41.0
Switzerland,2022-03-06,53.0
Switzerland,2022-03-13,44.0
Switzerland,2022-03-20,57.0
Switzerland,2022-03-27,59.0
Switzerland,2022-04-03,77.0
Switzerland,2022-04-10,71.0
