Country,Date,search_index
Thailand,2020-01-26,52.0
Thailand,2020-02-02,49.0
Thailand,2020-02-09,57.0
Thailand,2020-02-16,50.0
Thailand,2020-02-23,41.0
Thailand,2020-03-01,39.0
Thailand,2020-03-08,46.0
Thailand,2020-03-15,41.0
Thailand,2020-03-22,44.0
Thailand,2020-03-29,41.0
Thailand,2020-04-05,48.0
Thailand,2020-04-12,56.0
Thailand,2020-04-19,71.0
Thailand,2020-04-26,70.0
Thailand,2020-05-03,66.0
Thailand,2020-05-10,62.0
Thailand,2020-05-17,56.0
Thailand,2020-05-24,42.0
Thailand,2020-05-31,39.0
Thailand,2020-06-07,43.0
Thailand,2020-06-14,34.0
Thailand,2020-06-21,40.0
Thailand,2020-06-28,31.0
Thailand,2020-07-05,45.0
Thailand,2020-07-12,36.0
Thailand,2020-07-19,32.0
Thailand,2020-07-26,38.0
Thailand,2020-08-02,32.0
Thailand,2020-08-09,28.0
Thailand,2020-08-16,38.0
Thailand,2020-08-23,42.0
Thailand,2020-08-30,40.0
Thailand,2020-09-06,30.0
Thailand,2020-09-13,37.0
Thailand,2020-09-20,33.0
Thailand,2020-09-27,30.0
Thailand,2020-10-04,28.0
Thailand,2020-10-11,27.0
Thailand,2020-10-18,32.0
Thailand,2020-10-25,26.0
Thailand,2020-11-01,25.0
Thailand,2020-11-08,30.0
Thailand,2020-11-15,40.0
Thailand,2020-11-22,42.0
Thailand,2020-11-29,36.0
Thailand,2020-12-06,38.0
Thailand,2020-12-13,41.0
Thailand,2020-12-20,35.0
Thailand,2020-12-27,36.0
Thailand,2021-01-03,27.0
Thailand,2021-01-10,36.0
Thailand,2021-01-17,30.0
Thailand,2021-01-24,39.0
Thailand,2021-01-31,37.0
Thailand,2021-02-07,40.0
Thailand,2021-02-14,41.0
Thailand,2021-02-21,41.0
Thailand,2021-02-28,30.0
Thailand,2021-03-07,40.0
Thailand,2021-03-14,37.0
Thailand,2021-03-21,33.0
Thailand,2021-03-28,29.0
Thailand,2021-04-04,29.0
Thailand,2021-04-11,38.0
Thailand,2021-04-18,42.0
Thailand,2021-04-25,46.0
Thailand,2021-05-02,23.0
Thailand,2021-05-09,38.0
Thailand,2021-05-16,32.0
Thailand,2021-05-23,31.0
Thailand,2021-05-30,38.0
Thailand,2021-06-06,42.0
Thailand,2021-06-13,36.0
Thailand,2021-06-20,85.0
Thailand,2021-06-27,100.0
Thailand,2021-07-04,58.0
Thailand,2021-07-11,52.0
Thailand,2021-07-18,53.0
Thailand,2021-07-25,44.0
Thailand,2021-08-01,45.0
Thailand,2021-08-08,57.0
Thailand,2021-08-15,46.0
Thailand,2021-08-22,58.0
Thailand,2021-08-29,37.0
Thailand,2021-09-05,38.0
Thailand,2021-09-12,37.0
Thailand,2021-09-19,36.0
Thailand,2021-09-26,43.0
Thailand,2021-10-03,41.0
Thailand,2021-10-10,37.0
Thailand,2021-10-17,32.0
Thailand,2021-10-24,41.0
Thailand,2021-10-31,43.0
Thailand,2021-11-07,55.0
Thailand,2021-11-14,45.0
Thailand,2021-11-21,41.0
Thailand,2021-11-28,40.0
Thailand,2021-12-05,32.0
Thailand,2021-12-12,42.0
Thailand,2021-12-19,32.0
Thailand,2021-12-26,71.0
Thailand,2022-01-02,50.0
Thailand,2022-01-09,49.0
Thailand,2022-01-16,52.0
Thailand,2022-01-23,41.0
Thailand,2022-01-30,41.0
Thailand,2022-02-06,43.0
Thailand,2022-02-13,43.0
Thailand,2022-02-20,50.0
Thailand,2022-02-27,42.0
Thailand,2022-03-06,49.0
Thailand,2022-03-13,44.0
Thailand,2022-03-20,51.0
Thailand,2022-03-27,37.0
Thailand,2022-04-03,43.0
Thailand,2022-04-10,52.0
